page,kind,breed,file,rows,columns,metrics,issues
57,animal_summary,Brahman,page_057__IPP_P120_P210_P450_PE365_MGTe.csv,38,33,IPP|P120|P210|P450|PE365|MGTe,[]
58,animal_summary,Brahman,page_058__P120_P210_P365_P450_PE365_MGTe.csv,25,33,P120|P210|P365|P450|PE365|MGTe,[]
59,animal_summary,Brahman,page_059__IPP_P450_PE365_AOL_ACAB_MGTe.csv,20,33,IPP|P450|PE365|AOL|ACAB|MGTe,[]
60,animal_summary,Brahman,page_060__IPP_P450_PE365_AOL_ACAB_MGTe.csv,18,33,IPP|P450|PE365|AOL|ACAB|MGTe,[]
61,trait_summary,,,0,0,,not_animal_table
62,other,,,0,0,,not_animal_table
63,animal_summary,Tabapuã,page_063__IPP_MP120_P210_P450_PE365_MGTe.csv,11,33,IPP|MP120|P210|P450|PE365|MGTe,[]
64,animal_summary,Tabapuã,page_064__MGTe_CR_MGTe_RE_MGTe.csv,11,21,MGTe_CR|MGTe_RE|MGTe,[]
65,animal_summary,Tabapuã,page_065__IPP_MP120_STAY_P450_PE365_MGTe.csv,18,33,IPP|MP120|STAY|P450|PE365|MGTe,[]
66,animal_summary,Tabapuã,page_066__IPP_MP120_STAY_P450_MGTe.csv,21,29,IPP|MP120|STAY|P450|MGTe,[]
67,animal_summary,Tabapuã,page_067__IPP_MP120_STAY_P450_PE365_MGTe.csv,40,33,IPP|MP120|STAY|P450|PE365|MGTe,[]
68,animal_summary,Tabapuã,page_068__IPP_MP120_MP210_PAC_P450_MGTe.csv,2,33,IPP|MP120|MP210|PAC|P450|MGTe,[]
69,animal_summary,Tabapuã,page_069__MP120_P120_P210_P450_PE365_MGTe.csv,20,33,MP120|P120|P210|P450|PE365|MGTe,[]
70,animal_summary,Tabapuã,page_070__MP120_P210_P365_P450_PE365_MGTe.csv,26,33,MP120|P210|P365|P450|PE365|MGTe,[]
71,animal_summary,Tabapuã,page_071__IPP_P450_PE365_AOL_ACAB_MGTe.csv,10,33,IPP|P450|PE365|AOL|ACAB|MGTe,[]
72,animal_summary,Tabapuã,page_072__IPP_P450_PE365_AOL_ACAB_MGTe.csv,5,33,IPP|P450|PE365|AOL|ACAB|MGTe,[]
73,trait_summary,,,0,0,,not_animal_table
74,other,,,0,0,,not_animal_table
75,animal_summary,Sindi,page_075__MP120_STAY_P210_P450_PE365_MGTe.csv,23,33,MP120|STAY|P210|P450|PE365|MGTe,[]
76,animal_summary,Sindi,page_076__IPP_MP120_STAY_P450_PE365_MGTe.csv,7,33,IPP|MP120|STAY|P450|PE365|MGTe,[]
77,animal_summary,Sindi,page_077__3P_MP120_STAY_P450_MGTe.csv,10,29,3P|MP120|STAY|P450|MGTe,[]
78,animal_summary,Sindi,page_078__3P_MP120_STAY_P450_PE365_MGTe.csv,16,33,3P|MP120|STAY|P450|PE365|MGTe,[]
79,animal_summary,Sindi,page_079__MP120_MP210_PAC_P450_MGTe.csv,8,29,MP120|MP210|PAC|P450|MGTe,[]
80,animal_summary,Sindi,page_080__MP120_P120_P210_P450_PE365_MGTe.csv,2,33,MP120|P120|P210|P450|PE365|MGTe,[]
81,animal_summary,Sindi,page_081__MP120_P210_P365_P450_PE365_MGTe.csv,1,33,MP120|P210|P365|P450|PE365|MGTe,[]
82,animal_summary,Sindi,page_082__IPP_P450_PE365_AOL_ACAB_MGTe.csv,27,33,IPP|P450|PE365|AOL|ACAB|MGTe,[]
83,animal_summary,Sindi,page_083__IPP_P450_PE365_AOL_ACAB_MGTe.csv,25,33,IPP|P450|PE365|AOL|ACAB|MGTe,[]
84,trait_summary,,,0,0,,not_animal_table
85,methodology,,,0,0,,not_animal_table
86,methodology,,,0,0,,not_animal_table
87,methodology,,,0,0,,not_animal_table
88,methodology,,,0,0,,not_animal_table
89,methodology,,,0,0,,not_animal_table
90,index_or_definition,,,0,0,,not_animal_table
91,methodology,,,0,0,,not_animal_table
92,other,,,0,0,,not_animal_table
93,methodology,,,0,0,,not_animal_table
94,methodology,,,0,0,,not_animal_table
95,methodology,,,0,0,,not_animal_table
96,other,,,0,0,,not_animal_table
97,index_or_definition,,,0,0,,not_animal_table
98,index_or_definition,,,0,0,,not_animal_table
99,index_or_definition,,,0,0,,not_animal_table
100,index_or_definition,,,0,0,,not_animal_table
101,schedule,,,0,0,,not_animal_table
102,methodology,,,0,0,,not_animal_table
103,schedule,,,0,0,,not_animal_table
104,methodology,,,0,0,,not_animal_table
105,methodology,,,0,0,,not_animal_table
106,other,,,0,0,,not_animal_table
107,other,,,0,0,,not_animal_table
108,other,,,0,0,,not_animal_table
109,other,,,0,0,,not_animal_table
110,other,,,0,0,,not_animal_table
111,other,,,0,0,,not_animal_table
112,other,,,0,0,,not_animal_table
113,other,,,0,0,,not_animal_table
114,other,,,0,0,,not_animal_table
