breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MGTe_CRdep,MGTe_CRac,MGTe_CRtop,MGTe_CRtop_pct,MGTe_REdep,MGTe_REac,MGTe_REtop,MGTe_REtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Tabapuã,ALD 2413,11/16,BENEDITO DO COCA,G,MBF 1871,64,ALD 2413 11/16 BENEDITO DO COCA G MBF 1871 30.73 42 2% 25.79 46 1% 71 6 29.46 42 1%,30.73,42,2%,2.0,25.79,46,1%,1.0,29.46,42,1%,1.0,"MGTe_CR,MGTe_RE,MGTe"
Tabapuã,NGT 124,11/07,BEETHOVEN DA NGT,G,FEP 1034,64,"NGT 124 11/07 BEETHOVEN DA NGT G FEP 1034 25.19 31 3% 30.73 31 0,5% 13 4 26.84 31 2%",25.19,31,3%,3.0,30.73,31,"0,5%",0.5,26.84,31,2%,2.0,"MGTe_CR,MGTe_RE,MGTe"
Tabapuã,GEGO 1111,08/12,NATUR FIV DOGOIAS,G,FEP 1034,64,GEGO 1111 08/12 NATUR FIV DOGOIAS G FEP 1034 23.30 31 4% 24.21 41 1% 20 3 23.53 31 3%,23.3,31,4%,4.0,24.21,41,1%,1.0,23.53,31,3%,3.0,"MGTe_CR,MGTe_RE,MGTe"
Tabapuã,DORN 289,11/06,CERTEIRO FIV DA DORN,G,NYFP 1459,64,DORN 289 11/06 CERTEIRO FIV DA DORN G NYFP 1459 26.52 39 3% 9.88 40 15% 11 2 21.75 39 4%,26.52,39,3%,3.0,9.88,40,15%,15.0,21.75,39,4%,4.0,"MGTe_CR,MGTe_RE,MGTe"
Tabapuã,NGT 507,01/09,DOBRADO FIV DA NGT,G,FEP 1034,64,NGT 507 01/09 DOBRADO FIV DA NGT G FEP 1034 22.37 32 5% 20.11 43 3% 10 2 21.59 32 4%,22.37,32,5%,5.0,20.11,43,3%,3.0,21.59,32,4%,4.0,"MGTe_CR,MGTe_RE,MGTe"
Tabapuã,NGT 772,11/09,DGANO FIV DA NGT,G,1206,64,NGT 772 11/09 DGANO FIV DA NGT G 1206 24.58 33 4% 14.10 40 9% 11 1 21.47 33 4%,24.58,33,4%,4.0,14.1,40,9%,9.0,21.47,33,4%,4.0,"MGTe_CR,MGTe_RE,MGTe"
Tabapuã,PRTA 325,06/10,RAMBO FIV DA PRATA,G,NCG 1396,64,PRTA 325 06/10 RAMBO FIV DA PRATA G NCG 1396 21.86 34 6% 18.23 55 4% 105 5 20.80 34 5%,21.86,34,6%,6.0,18.23,55,4%,4.0,20.8,34,5%,5.0,"MGTe_CR,MGTe_RE,MGTe"
Tabapuã,TJG 1015,10/16,HASTIL TJG,G,PRTA 325,64,TJG 1015 10/16 HASTIL TJG G PRTA 325 18.72 32 10% 20.04 43 3% 27 1 19.05 32 6%,18.72,32,10%,10.0,20.04,43,3%,3.0,19.05,32,6%,6.0,"MGTe_CR,MGTe_RE,MGTe"
Tabapuã,ALD 2105,01/14,VERISSIMO DO COCA,G,ALD 1119,64,ALD 2105 01/14 VERISSIMO DO COCA G ALD 1119 8.69 38 28% 23.30 43 1% 14 1 12.98 38 16%,8.69,38,28%,28.0,23.3,43,1%,1.0,12.98,38,16%,16.0,"MGTe_CR,MGTe_RE,MGTe"
Tabapuã,JCVZ 10,12/07,MAJESTOSO FIV,G,TABA R2198,64,JCVZ 10 12/07 MAJESTOSO FIV G TABA R2198 18.88 38 9% -2.01 41 84% 30 1 12.66 38 16%,18.88,38,9%,9.0,-2.01,41,84%,84.0,12.66,38,16%,16.0,"MGTe_CR,MGTe_RE,MGTe"
Tabapuã,UZI 156,01/10,MANDELA FIV UZI,G,650,64,UZI 156 01/10 MANDELA FIV UZI G 650 11.70 31 21% -3.02 35 91% 15 1 7.30 31 29%,11.7,31,21%,21.0,-3.02,35,91%,91.0,7.3,31,29%,29.0,"MGTe_CR,MGTe_RE,MGTe"
