breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,3Pdep,3Pac,3Ptop,3Ptop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,RDM A1190,08/18,DESTINO MAT.,G,BRMG 2299,15,RDM A1190 08/18 DESTINO MAT. G BRMG 2299 80.29 73 29% 5.47 47 2% 81.25 69 14% 37.82 72 1% 1.79 66 3% 2.86 65 15% 31.23 47 3%,80.29,73,29%,29.0,5.47,47,2%,2.0,81.25,69,14%,14.0,37.82,72,1%,1.0,1.79,66,3%,3.0,2.86,65,15%,15.0,31.23,47,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,EAO B6305,01/21,EXTRATO DA EAO,G,REM A1811,15,"EAO B6305 01/21 EXTRATO DA EAO G REM A1811 79.37 72 33% 6.39 47 0,5% 79.15 68 18% 34.46 70 2% 1.43 62 6% 4.53 66 4% 31.22 47 3%",79.37,72,33%,33.0,6.39,47,"0,5%",0.5,79.15,68,18%,18.0,34.46,70,2%,2.0,1.43,62,6%,6.0,4.53,66,4%,4.0,31.22,47,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FGP A2101,07/21,HEROICO FIV GUADALUPE,G,REMP 816,15,FGP A2101 07/21 HEROICO FIV GUADALUPE G REMP 816 89.37 77 3% 4.14 46 6% 89.23 69 5% 32.04 67 3% 1.56 59 5% 4.40 65 5% 31.16 46 3%,89.37,77,3%,3.0,4.14,46,6%,6.0,89.23,69,5%,5.0,32.04,67,3%,3.0,1.56,59,5%,5.0,4.4,65,5%,5.0,31.16,46,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,REM 10846,09/19,REM INTER GEN. ADT,G,REM A192,15,"REM 10846 09/19 REM INTER GEN. ADT G REM A192 94.77 87 0,5% 2.64 53 19% 98.31 80 2% 30.06 89 5% 1.62 83 4% 4.39 86 5% 31.14 53 3%",94.77,87,"0,5%",0.5,2.64,53,19%,19.0,98.31,80,2%,2.0,30.06,89,5%,5.0,1.62,83,4%,4.0,4.39,86,5%,5.0,31.14,53,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FZNM 14815,11/19,MARATA 14815,G,REMC 8053,15,"FZNM 14815 11/19 MARATA 14815 G REMC 8053 89.62 57 3% 2.13 44 28% 78.73 49 18% 37.54 71 1% 1.49 63 6% 6.55 60 0,5% 31.13 44 3%",89.62,57,3%,3.0,2.13,44,28%,28.0,78.73,49,18%,18.0,37.54,71,1%,1.0,1.49,63,6%,6.0,6.55,60,"0,5%",0.5,31.13,44,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,EPCF 5754,01/22,5754 FIV DA TERRA BRA,G,REM A1553,15,EPCF 5754 01/22 5754 FIV DA TERRA BRA G REM A1553 85.17 71 10% 3.87 44 8% 87.68 68 7% 30.70 64 4% 1.51 56 5% 6.13 60 1% 31.12 44 3%,85.17,71,10%,10.0,3.87,44,8%,8.0,87.68,68,7%,7.0,30.7,64,4%,4.0,1.51,56,5%,5.0,6.13,60,1%,1.0,31.12,44,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,EAO A8881,07/18,8881 FIV DA EAO,G,REM 6447,15,"EAO A8881 07/18 8881 FIV DA EAO G REM 6447 78.73 87 36% 8.14 52 0,1% 81.85 80 13% 25.40 81 10% 0.98 71 15% 6.28 73 0,5% 31.11 52 3%",78.73,87,36%,36.0,8.14,52,"0,1%",0.1,81.85,80,13%,13.0,25.4,81,10%,10.0,0.98,71,15%,15.0,6.28,73,"0,5%",0.5,31.11,52,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,EAO B5221,09/20,DEMOLIDOR FIV DA EAO,G,REM A1936,15,EAO B5221 09/20 DEMOLIDOR FIV DA EAO G REM A1936 83.42 73 16% 3.47 48 10% 93.46 67 3% 29.85 93 5% 1.93 89 2% 3.86 90 8% 31.11 48 3%,83.42,73,16%,16.0,3.47,48,10%,10.0,93.46,67,3%,3.0,29.85,93,5%,5.0,1.93,89,2%,2.0,3.86,90,8%,8.0,31.11,48,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,ANP 1081,10/21,CORINGA DA ANP,G,REMP 816,15,"ANP 1081 10/21 CORINGA DA ANP G REMP 816 84.31 74 13% 1.33 45 49% 84.84 67 9% 35.48 70 2% 2.24 61 0,5% 6.32 67 0,5% 31.11 45 3%",84.31,74,13%,13.0,1.33,45,49%,49.0,84.84,67,9%,9.0,35.48,70,2%,2.0,2.24,61,"0,5%",0.5,6.32,67,"0,5%",0.5,31.11,45,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FANO 2523,11/19,DONALD DA AGRONOVA,G,MATI 1788,15,FANO 2523 11/19 DONALD DA AGRONOVA G MATI 1788 81.87 85 22% 5.20 50 3% 98.10 82 2% 24.96 85 11% 1.11 73 12% 5.28 77 2% 31.10 50 3%,81.87,85,22%,22.0,5.2,50,3%,3.0,98.1,82,2%,2.0,24.96,85,11%,11.0,1.11,73,12%,12.0,5.28,77,2%,2.0,31.1,50,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
