breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,3Pdep,3Pac,3Ptop,3Ptop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,MMVA 4179,09/20,BRUTAL FIV DA JACAMIM,G,MMVA 1270,14,MMVA 4179 09/20 BRUTAL FIV DA JACAMIM G MMVA 1270 83.57 76 15% 3.93 47 7% 97.72 69 2% 33.94 70 2% 0.76 62 22% 4.33 66 5% 32.68 47 2%,83.57,76,15%,15.0,3.93,47,7%,7.0,97.72,69,2%,2.0,33.94,70,2%,2.0,0.76,62,22%,22.0,4.33,66,5%,5.0,32.68,47,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,EAO B7486,09/21,ESSENCIAL DA EAO,G,REM A1936,14,"EAO B7486 09/21 ESSENCIAL DA EAO G REM A1936 91.25 73 2% 2.33 45 24% 84.32 67 10% 39.79 66 0,5% 2.18 58 0,5% 3.78 64 8% 32.55 45 2%",91.25,73,2%,2.0,2.33,45,24%,24.0,84.32,67,10%,10.0,39.79,66,"0,5%",0.5,2.18,58,"0,5%",0.5,3.78,64,8%,8.0,32.55,45,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,RDM A5488,07/21,GARCIA MAT.,G,SINO 1730,14,RDM A5488 07/21 GARCIA MAT. G SINO 1730 91.03 73 2% 2.76 43 18% 80.75 69 15% 34.10 80 2% 1.70 75 3% 5.76 74 1% 32.48 43 2%,91.03,73,2%,2.0,2.76,43,18%,18.0,80.75,69,15%,15.0,34.1,80,2%,2.0,1.7,75,3%,3.0,5.76,74,1%,1.0,32.48,43,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,EAO B5278,09/20,B5278 FIV DA EAO,G,ACNP 3146,14,EAO B5278 09/20 B5278 FIV DA EAO G ACNP 3146 85.83 73 9% 2.40 46 23% 98.90 67 1% 37.34 77 1% 2.14 68 1% 3.31 64 11% 32.45 46 2%,85.83,73,9%,9.0,2.4,46,23%,23.0,98.9,67,1%,1.0,37.34,77,1%,1.0,2.14,68,1%,1.0,3.31,64,11%,11.0,32.45,46,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,AGJZ 878,07/21,JAMBU FIV DA GAROUPA,G,REMP 816,14,AGJZ 878 07/21 JAMBU FIV DA GAROUPA G REMP 816 91.86 73 1% 5.76 45 2% 91.13 68 4% 32.04 69 3% 1.60 66 4% 3.45 63 10% 32.45 45 2%,91.86,73,1%,1.0,5.76,45,2%,2.0,91.13,68,4%,4.0,32.04,69,3%,3.0,1.6,66,4%,4.0,3.45,63,10%,10.0,32.45,45,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,GRI C585,02/20,CASSINO FIV DA S.NICE,G,LBMN D4685,14,"GRI C585 02/20 CASSINO FIV DA S.NICE G LBMN D4685 85.54 85 10% 8.50 47 0,1% 98.34 84 2% 28.54 90 6% 0.94 84 16% 3.35 87 11% 32.44 47 2%",85.54,85,10%,10.0,8.5,47,"0,1%",0.1,98.34,84,2%,2.0,28.54,90,6%,6.0,0.94,84,16%,16.0,3.35,87,11%,11.0,32.44,47,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,PAU 5360,09/21,RECEIO FIV DA PAULETE,G,REM A1576,14,"PAU 5360 09/21 RECEIO FIV DA PAULETE G REM A1576 79.59 73 32% 3.74 43 8% 83.57 68 11% 38.79 66 0,5% 1.35 55 8% 5.30 60 2% 32.43 43 2%",79.59,73,32%,32.0,3.74,43,8%,8.0,83.57,68,11%,11.0,38.79,66,"0,5%",0.5,1.35,55,8%,8.0,5.3,60,2%,2.0,32.43,43,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,HORA 6160,11/21,LOOP DA HORA,G,SINO 1730,14,"HORA 6160 11/21 LOOP DA HORA G SINO 1730 83.05 73 17% 3.56 44 10% 78.52 67 19% 41.09 69 0,1% 1.58 60 5% 4.94 63 3% 32.42 44 2%",83.05,73,17%,17.0,3.56,44,10%,10.0,78.52,67,19%,19.0,41.09,69,"0,1%",0.1,1.58,60,5%,5.0,4.94,63,3%,3.0,32.42,44,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FLPE 7880,11/20,GOLF FIV DA COMETA,G,REMC 5326,14,FLPE 7880 11/20 GOLF FIV DA COMETA G REMC 5326 87.12 73 6% 5.14 51 3% 97.45 68 2% 30.02 78 5% 1.66 65 4% 4.89 75 3% 32.41 51 2%,87.12,73,6%,6.0,5.14,51,3%,3.0,97.45,68,2%,2.0,30.02,78,5%,5.0,1.66,65,4%,4.0,4.89,75,3%,3.0,32.41,51,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,REMP 1513,09/21,REM LARIAT FIV GEN.AD,G,REMP 816,14,REMP 1513 09/21 REM LARIAT FIV GEN.AD G REMP 816 85.57 72 9% 4.40 47 5% 88.23 68 6% 36.13 74 2% 1.64 71 4% 3.98 65 7% 32.38 47 2%,85.57,72,9%,9.0,4.4,47,5%,5.0,88.23,68,6%,6.0,36.13,74,2%,2.0,1.64,71,4%,4.0,3.98,65,7%,7.0,32.38,47,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,REMP 1425,07/21,REM LUTADOR FIV GEN.A,G,REM A2239,14,"REMP 1425 07/21 REM LUTADOR FIV GEN.A G REM A2239 93.00 71 1% 2.39 42 23% 86.90 68 7% 35.20 67 2% 1.64 56 4% 6.95 60 0,1% 32.36 42 2%",93.0,71,1%,1.0,2.39,42,23%,23.0,86.9,68,7%,7.0,35.2,67,2%,2.0,1.64,56,4%,4.0,6.95,60,"0,1%",0.1,32.36,42,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,MMVA 5159,10/21,COMANDER FIV DA JACAM,G,MMVA 2725,14,MMVA 5159 10/21 COMANDER FIV DA JACAM G MMVA 2725 87.94 71 5% 5.80 48 1% 98.63 67 1% 30.78 68 4% 1.61 60 4% 3.35 65 11% 32.34 48 2%,87.94,71,5%,5.0,5.8,48,1%,1.0,98.63,67,1%,1.0,30.78,68,4%,4.0,1.61,60,4%,4.0,3.35,65,11%,11.0,32.34,48,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,EAO A8720,05/18,8720 FIV DA EAO,G,RDM 5049,14,EAO A8720 05/18 8720 FIV DA EAO G RDM 5049 87.27 85 6% 5.59 53 2% 93.16 81 3% 30.46 79 5% 0.76 68 22% 5.01 76 3% 32.23 53 2%,87.27,85,6%,6.0,5.59,53,2%,2.0,93.16,81,3%,3.0,30.46,79,5%,5.0,0.76,68,22%,22.0,5.01,76,3%,3.0,32.23,53,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FGP A1608,10/20,GRAFITE FIV GUADALUPE,G,REM A1811,14,FGP A1608 10/20 GRAFITE FIV GUADALUPE G REM A1811 87.42 74 6% 5.78 48 2% 90.38 68 5% 32.43 73 3% 1.28 68 9% 4.98 65 3% 32.22 48 2%,87.42,74,6%,6.0,5.78,48,2%,2.0,90.38,68,5%,5.0,32.43,73,3%,3.0,1.28,68,9%,9.0,4.98,65,3%,3.0,32.22,48,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,IPB 6553,09/19,F19 FIV DA IPB,G,REMC A657,14,IPB 6553 09/19 F19 FIV DA IPB G REMC A657 90.07 83 3% 3.18 53 13% 91.10 81 4% 35.03 87 2% 1.76 77 3% 5.85 83 1% 32.21 53 2%,90.07,83,3%,3.0,3.18,53,13%,13.0,91.1,81,4%,4.0,35.03,87,2%,2.0,1.76,77,3%,3.0,5.85,83,1%,1.0,32.21,53,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,RGM 6452,08/20,NEVOEIRO FIV RG,G,RGM 4376,14,"RGM 6452 08/20 NEVOEIRO FIV RG G RGM 4376 93.88 75 0,5% 2.79 41 17% 98.49 68 2% 34.05 64 2% 1.02 55 14% 2.03 64 23% 32.21 41 2%",93.88,75,"0,5%",0.5,2.79,41,17%,17.0,98.49,68,2%,2.0,34.05,64,2%,2.0,1.02,55,14%,14.0,2.03,64,23%,23.0,32.21,41,2%,2.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,HORA 6190,11/21,LUTHER DA HORA,G,HORA 3986,14,"HORA 6190 11/21 LUTHER DA HORA G HORA 3986 86.54 71 7% 2.90 43 16% 77.18 69 21% 40.56 71 0,5% 1.51 62 5% 5.14 64 3% 32.08 43 3%",86.54,71,7%,7.0,2.9,43,16%,16.0,77.18,69,21%,21.0,40.56,71,"0,5%",0.5,1.51,62,5%,5.0,5.14,64,3%,3.0,32.08,43,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,AZAP 3282,09/21,ASSOBIO FIV DA BELA,G,COL 25550,14,AZAP 3282 09/21 ASSOBIO FIV DA BELA G COL 25550 92.34 73 1% 4.35 42 5% 99.07 68 1% 27.92 68 7% 1.62 56 4% 4.65 61 4% 32.07 42 3%,92.34,73,1%,1.0,4.35,42,5%,5.0,99.07,68,1%,1.0,27.92,68,7%,7.0,1.62,56,4%,4.0,4.65,61,4%,4.0,32.07,42,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,EAO B4051,07/20,D8 DA EAO,G,REM A7,14,"EAO B4051 07/20 D8 DA EAO G REM A7 86.89 87 7% 7.57 47 0,1% 82.36 80 12% 27.03 95 8% 1.80 86 3% 3.83 90 8% 31.99 47 3%",86.89,87,7%,7.0,7.57,47,"0,1%",0.1,82.36,80,12%,12.0,27.03,95,8%,8.0,1.8,86,3%,3.0,3.83,90,8%,8.0,31.99,47,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FANO 2879,08/20,ELOQUENDE DA AGRONOVA,G,BONS 3108,14,"FANO 2879 08/20 ELOQUENDE DA AGRONOVA G BONS 3108 75.08 84 53% 5.22 52 2% 94.49 83 3% 29.02 83 6% 2.18 75 0,5% 5.43 84 2% 31.92 52 3%",75.08,84,53%,53.0,5.22,52,2%,2.0,94.49,83,3%,3.0,29.02,83,6%,6.0,2.18,75,"0,5%",0.5,5.43,84,2%,2.0,31.92,52,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,JHVM 19651,10/19,NOTAVEL FIV CAMPARINO,G,REMC 5326,14,JHVM 19651 10/19 NOTAVEL FIV CAMPARINO G REMC 5326 93.14 87 1% 6.28 51 1% 98.14 80 2% 26.36 84 9% 1.21 71 10% 3.92 72 7% 31.92 51 3%,93.14,87,1%,1.0,6.28,51,1%,1.0,98.14,80,2%,2.0,26.36,84,9%,9.0,1.21,71,10%,10.0,3.92,72,7%,7.0,31.92,51,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,RDM A3560,07/20,FEDERAL MAT.,G,REMC 8332,14,RDM A3560 07/20 FEDERAL MAT. G REMC 8332 87.69 74 5% 2.51 47 21% 86.72 69 7% 36.49 67 1% 1.57 59 5% 6.07 65 1% 31.92 47 3%,87.69,74,5%,5.0,2.51,47,21%,21.0,86.72,69,7%,7.0,36.49,67,1%,1.0,1.57,59,5%,5.0,6.07,65,1%,1.0,31.92,47,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,RDM A5969,08/21,GUAPORE MAT.,G,REMP 816,14,RDM A5969 08/21 GUAPORE MAT. G REMP 816 83.10 59 17% 4.15 50 6% 82.25 53 13% 38.29 69 1% 1.49 61 6% 4.07 65 6% 31.80 50 3%,83.1,59,17%,17.0,4.15,50,6%,6.0,82.25,53,13%,13.0,38.29,69,1%,1.0,1.49,61,6%,6.0,4.07,65,6%,6.0,31.8,50,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,GRI C3319,12/21,DESTEMIDO DA S.NICE,G,REM A1936,14,GRI C3319 12/21 DESTEMIDO DA S.NICE G REM A1936 89.32 76 3% 1.94 47 32% 84.94 66 9% 34.11 70 2% 2.14 61 1% 4.94 64 3% 31.79 47 3%,89.32,76,3%,3.0,1.94,47,32%,32.0,84.94,66,9%,9.0,34.11,70,2%,2.0,2.14,61,1%,1.0,4.94,64,3%,3.0,31.79,47,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,DIM A2066,11/21,POCHA FIV MACHADINHO,G,SINO 1730,14,DIM A2066 11/21 POCHA FIV MACHADINHO G SINO 1730 85.23 73 10% 3.87 48 8% 79.85 66 16% 35.45 71 2% 1.50 62 5% 6.05 67 1% 31.76 48 3%,85.23,73,10%,10.0,3.87,48,8%,8.0,79.85,66,16%,16.0,35.45,71,2%,2.0,1.5,62,5%,5.0,6.05,67,1%,1.0,31.76,48,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FANO 3294,12/20,ELO DA AGRONOVA,G,PAU 2753,14,"FANO 3294 12/20 ELO DA AGRONOVA G PAU 2753 82.48 73 19% 1.81 49 35% 87.33 69 7% 30.13 84 5% 1.30 77 8% 8.02 81 0,1% 31.70 49 3%",82.48,73,19%,19.0,1.81,49,35%,35.0,87.33,69,7%,7.0,30.13,84,5%,5.0,1.3,77,8%,8.0,8.02,81,"0,1%",0.1,31.7,49,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,RDM A7202,07/22,HEZBOLLAH MAT.,G,FANO 2762,14,RDM A7202 07/22 HEZBOLLAH MAT. G FANO 2762 85.16 74 10% 4.37 47 5% 87.22 69 7% 32.96 69 3% 1.31 62 8% 5.09 66 3% 31.69 47 3%,85.16,74,10%,10.0,4.37,47,5%,5.0,87.22,69,7%,7.0,32.96,69,3%,3.0,1.31,62,8%,8.0,5.09,66,3%,3.0,31.69,47,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FLOC 342,11/20,FAHAL OL TIMBO,G,REM A1576,14,"FLOC 342 11/20 FAHAL OL TIMBO G REM A1576 82.14 73 21% 3.37 47 11% 93.88 68 3% 39.97 71 0,5% 1.75 63 3% 3.02 63 14% 31.67 47 3%",82.14,73,21%,21.0,3.37,47,11%,11.0,93.88,68,3%,3.0,39.97,71,"0,5%",0.5,1.75,63,3%,3.0,3.02,63,14%,14.0,31.67,47,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,DIM A1300,10/20,OBAMA FIV MACHADINHO,G,ACNP 3146,14,DIM A1300 10/20 OBAMA FIV MACHADINHO G ACNP 3146 86.25 86 8% 2.46 46 22% 99.07 82 1% 33.68 79 3% 1.37 71 7% 5.26 78 2% 31.61 46 3%,86.25,86,8%,8.0,2.46,46,22%,22.0,99.07,82,1%,1.0,33.68,79,3%,3.0,1.37,71,7%,7.0,5.26,78,2%,2.0,31.61,46,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FZNM 16842,10/20,MARATA 16842 FIV,G,REM A1811,14,"FZNM 16842 10/20 MARATA 16842 FIV G REM A1811 94.61 56 0,5% 5.93 45 1% 89.91 48 5% 31.21 74 4% 1.03 68 14% 3.66 63 9% 31.56 45 3%",94.61,56,"0,5%",0.5,5.93,45,1%,1.0,89.91,48,5%,5.0,31.21,74,4%,4.0,1.03,68,14%,14.0,3.66,63,9%,9.0,31.56,45,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FBFM 11398,09/21,SHOW BATUQUE,G,FBFM 8950,14,FBFM 11398 09/21 SHOW BATUQUE G FBFM 8950 87.43 72 6% 5.70 41 2% 97.92 68 2% 25.27 66 10% 1.33 56 8% 5.08 57 3% 31.56 41 3%,87.43,72,6%,6.0,5.7,41,2%,2.0,97.92,68,2%,2.0,25.27,66,10%,10.0,1.33,56,8%,8.0,5.08,57,3%,3.0,31.56,41,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,EDD 7627,11/20,7627 EDD DA FV,G,REMC 5326,14,EDD 7627 11/20 7627 EDD DA FV G REMC 5326 84.79 50 11% 4.22 46 6% 91.24 45 4% 27.06 63 8% 1.52 57 5% 6.09 55 1% 31.53 45 3%,84.79,50,11%,11.0,4.22,46,6%,6.0,91.24,45,4%,4.0,27.06,63,8%,8.0,1.52,57,5%,5.0,6.09,55,1%,1.0,31.53,45,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,RGM 7749,11/21,OSCAR FIV RG,G,GRI B6777,14,RGM 7749 11/21 OSCAR FIV RG G GRI B6777 87.45 75 6% 4.61 47 4% 92.90 70 3% 29.41 72 5% 1.50 66 5% 3.76 68 8% 31.48 47 3%,87.45,75,6%,6.0,4.61,47,4%,4.0,92.9,70,3%,3.0,29.41,72,5%,5.0,1.5,66,5%,5.0,3.76,68,8%,8.0,31.48,47,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FVC 14840,07/20,KIEV FIV FVC,G,ACNP 3146,14,FVC 14840 07/20 KIEV FIV FVC G ACNP 3146 87.36 73 6% 4.05 51 7% 98.46 67 2% 32.80 75 3% 1.78 67 3% 3.70 66 9% 31.46 51 3%,87.36,73,6%,6.0,4.05,51,7%,7.0,98.46,67,2%,2.0,32.8,75,3%,3.0,1.78,67,3%,3.0,3.7,66,9%,9.0,31.46,51,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,ACNP 3165,07/17,BRUTHO J MACHADO,G,REMC 5326,14,"ACNP 3165 07/17 BRUTHO J MACHADO G REMC 5326 85.27 84 10% 8.39 52 0,1% 96.43 84 2% 26.88 80 8% 1.41 75 7% 3.32 72 11% 31.45 52 3%",85.27,84,10%,10.0,8.39,52,"0,1%",0.1,96.43,84,2%,2.0,26.88,80,8%,8.0,1.41,75,7%,7.0,3.32,72,11%,11.0,31.45,52,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FGP 9684,08/19,FABULOSO FIV GUADALUP,G,REMC 8053,14,FGP 9684 08/19 FABULOSO FIV GUADALUP G REMC 8053 90.75 87 2% 3.44 57 11% 84.30 83 10% 33.55 93 3% 1.41 89 7% 5.84 93 1% 31.40 57 3%,90.75,87,2%,2.0,3.44,57,11%,11.0,84.3,83,10%,10.0,33.55,93,3%,3.0,1.41,89,7%,7.0,5.84,93,1%,1.0,31.4,57,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,JHVM 20573,08/20,HANOVER FIV CAMPARINO,G,JHVM 16068,14,"JHVM 20573 08/20 HANOVER FIV CAMPARINO G JHVM 16068 87.12 72 6% 0.93 42 63% 96.09 69 2% 38.80 68 0,5% 1.84 56 2% 4.85 63 3% 31.38 42 3%",87.12,72,6%,6.0,0.93,42,63%,63.0,96.09,69,2%,2.0,38.8,68,"0,5%",0.5,1.84,56,2%,2.0,4.85,63,3%,3.0,31.38,42,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FVCP 1710,07/21,RICO FIV FVC,G,BONS 3108,14,"FVCP 1710 07/21 RICO FIV FVC G BONS 3108 86.30 54 8% 5.75 50 2% 92.39 47 4% 27.66 69 7% 2.23 61 0,5% 3.99 66 7% 31.37 47 3%",86.3,54,8%,8.0,5.75,50,2%,2.0,92.39,47,4%,4.0,27.66,69,7%,7.0,2.23,61,"0,5%",0.5,3.99,66,7%,7.0,31.37,47,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,RDM A3096,09/19,ESPARTANO MAT.,G,BONS 3108,14,RDM A3096 09/19 ESPARTANO MAT. G BONS 3108 80.16 86 29% 3.44 68 11% 95.27 83 2% 34.67 98 2% 1.09 93 13% 4.79 93 3% 31.36 68 3%,80.16,86,29%,29.0,3.44,68,11%,11.0,95.27,83,2%,2.0,34.67,98,2%,2.0,1.09,93,13%,13.0,4.79,93,3%,3.0,31.36,68,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,RSAN A978,10/21,ROCCO RSAN,G,BONS 3108,14,RSAN A978 10/21 ROCCO RSAN G BONS 3108 88.26 74 4% 4.16 45 6% 89.42 69 5% 32.17 68 3% 1.70 58 3% 4.87 60 3% 31.29 45 3%,88.26,74,4%,4.0,4.16,45,6%,6.0,89.42,69,5%,5.0,32.17,68,3%,3.0,1.7,58,3%,3.0,4.87,60,3%,3.0,31.29,45,3%,3.0,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
