breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MP120dep,MP120ac,MP120top,MP120top_pct,P210dep,P210ac,P210top,P210top_pct,P365dep,P365ac,P365top,P365top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Tabapuã,ALD 2413,11/16,BENEDITO DO COCA,G,MBF 1871,70,"ALD 2413 11/16 BENEDITO DO COCA G MBF 1871 3.76 46 0,5% 9.88 45 0,5% 20.99 48 0,1% 33.67 46 0,1% 0.25 64 18% 71 6 29.46 42 1%",3.76,46,"0,5%",0.5,9.88,45,"0,5%",0.5,20.99,48,"0,1%",0.1,33.67,46,"0,1%",0.1,0.25,64,18%,18.0,29.46,42,1%,1.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,ALD 2367,08/16,BARETA DO COCA,G,UZI 171,70,"ALD 2367 08/16 BARETA DO COCA G UZI 171 2.19 43 6% 8.19 47 1% 12.62 48 1% 22.04 42 0,5% 0.03 43 41% 7 1 21.82 36 4%",2.19,43,6%,6.0,8.19,47,1%,1.0,12.62,48,1%,1.0,22.04,42,"0,5%",0.5,0.03,43,41%,41.0,21.82,36,4%,4.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,UFLT 110,08/19,ILUSTRE DA UFLA,G,MBF 3129,70,"UFLT 110 08/19 ILUSTRE DA UFLA G MBF 3129 -2.01 42 100% 1.11 47 31% 10.88 49 2% 21.78 50 0,5% -0.17 42 71% 4 1 6.54 42 32%",-2.01,42,100%,100.0,1.11,47,31%,31.0,10.88,49,2%,2.0,21.78,50,"0,5%",0.5,-0.17,42,71%,71.0,6.54,42,32%,32.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,DORN 289,11/06,CERTEIRO FIV DA DORN,G,NYFP 1459,70,"DORN 289 11/06 CERTEIRO FIV DA DORN G NYFP 1459 3.47 52 0,5% 8.26 51 1% 12.53 44 1% 20.27 42 0,5% 0.69 39 7% 11 2 21.75 39 4%",3.47,52,"0,5%",0.5,8.26,51,1%,1.0,12.53,44,1%,1.0,20.27,42,"0,5%",0.5,0.69,39,7%,7.0,21.75,39,4%,4.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,RNF 2523,04/12,TOTEM FIV RF 4 IRMAS,G,RNF 1769,70,"RNF 2523 04/12 TOTEM FIV RF 4 IRMAS G RNF 1769 -0.12 50 93% 6.80 48 3% 12.05 45 1% 20.20 48 0,5% 0.88 45 6% 7 2 27.95 37 2%",-0.12,50,93%,93.0,6.8,48,3%,3.0,12.05,45,1%,1.0,20.2,48,"0,5%",0.5,0.88,45,6%,6.0,27.95,37,2%,2.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,NGT 124,11/07,BEETHOVEN DA NGT,G,FEP 1034,70,"NGT 124 11/07 BEETHOVEN DA NGT G FEP 1034 0.31 43 70% 6.35 31 4% 14.18 31 0,5% 19.04 36 1% 0.09 43 32% 13 4 26.84 31 2%",0.31,43,70%,70.0,6.35,31,4%,4.0,14.18,31,"0,5%",0.5,19.04,36,1%,1.0,0.09,43,32%,32.0,26.84,31,2%,2.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,TRO 820,10/17,DESTRO TRO,G,TROA 1915,70,TRO 820 10/17 DESTRO TRO G TROA 1915 1.71 52 14% 3.23 40 15% 12.17 40 1% 18.27 42 1% 0.78 48 6% 4 2 23.63 40 3%,1.71,52,14%,14.0,3.23,40,15%,15.0,12.17,40,1%,1.0,18.27,42,1%,1.0,0.78,48,6%,6.0,23.63,40,3%,3.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,TJG 1061,10/16,HOMOGRAFO TJG,,FZCH 1085,70,TJG 1061 10/16 HOMOGRAFO TJG FZCH 1085 1.89 9 11% 5.48 16 6% 12.29 14 1% 17.51 31 1% 0.98 20 5% 17 2 22.80 6 3%,1.89,9,11%,11.0,5.48,16,6%,6.0,12.29,14,1%,1.0,17.51,31,1%,1.0,0.98,20,5%,5.0,22.8,6,3%,3.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,CSC 9974,08/08,RUSSEL DO CÃ“RREGO,,TABA R2816,70,"CSC 9974 08/08 RUSSEL DO CÃ“RREGO TABA R2816 2.08 14 7% 6.41 37 4% 6.85 18 7% 13.95 46 3% 2.78 56 0,5% 32 2 32.39 14 0,5%",2.08,14,7%,7.0,6.41,37,4%,4.0,6.85,18,7%,7.0,13.95,46,3%,3.0,2.78,56,"0,5%",0.5,32.39,14,"0,5%",0.5,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,PRTA 325,06/10,RAMBO FIV DA PRATA,G,NCG 1396,70,PRTA 325 06/10 RAMBO FIV DA PRATA G NCG 1396 0.77 50 42% 6.83 39 3% 6.19 54 9% 13.38 55 3% 0.27 70 16% 105 5 20.80 34 5%,0.77,50,42%,42.0,6.83,39,3%,3.0,6.19,54,9%,9.0,13.38,55,3%,3.0,0.27,70,16%,16.0,20.8,34,5%,5.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,NGT 772,11/09,DGANO FIV DA NGT,G,1206,70,"NGT 772 11/09 DGANO FIV DA NGT G 1206 3.23 45 0,5% 5.45 51 6% 10.24 47 2% 13.13 49 4% 0.04 39 39% 11 1 21.47 33 4%",3.23,45,"0,5%",0.5,5.45,51,6%,6.0,10.24,47,2%,2.0,13.13,49,4%,4.0,0.04,39,39%,39.0,21.47,33,4%,4.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,GEGO 1111,08/12,NATUR FIV DOGOIAS,G,FEP 1034,70,GEGO 1111 08/12 NATUR FIV DOGOIAS G FEP 1034 2.02 46 8% 5.46 31 6% 6.88 30 7% 12.35 41 5% 0.51 45 9% 20 3 23.53 31 3%,2.02,46,8%,8.0,5.46,31,6%,6.0,6.88,30,7%,7.0,12.35,41,5%,5.0,0.51,45,9%,9.0,23.53,31,3%,3.0,"MP120,P210,P365,P450,PE365,MGTe"
Tabapuã,TJG 1297,09/17,IGUAL TJG,,PRTA 325,70,TJG 1297 09/17 IGUAL TJG PRTA 325 -0.99 12 100% 7.01 36 3% 6.85 37 7% 11.22 40 6% 0.22 24 20% 64 1 25.13 10 3%,-0.99,12,100%,100.0,7.01,36,3%,3.0,6.85,37,7%,7.0,11.22,40,6%,6.0,0.22,24,20%,20.0,25.13,10,3%,3.0,"MP120,P210,P365,P450,PE365,MGTe"
