breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MP120dep,MP120ac,MP120top,MP120top_pct,P120dep,P120ac,P120top,P120top_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,RGM 8447,08/22,PARA TUDO RG,G,GRI C630,25,"RGM 8447 08/22 PARA TUDO RG G GRI C630 5.40 46 2% 15.59 61 0,1% 28.68 62 0,1% 49.96 66 0,1% 2.26 60 0,5% 142 12 39.46 42 0,1%",5.4,46,2%,2.0,15.59,61,"0,1%",0.1,28.68,62,"0,1%",0.1,49.96,66,"0,1%",0.1,2.26,60,"0,5%",0.5,39.46,42,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,MCPJ 8259,08/22,FAROESTE FIV JMP,G,IPB 6732,25,"MCPJ 8259 08/22 FAROESTE FIV JMP G IPB 6732 10.10 47 0,1% 17.80 63 0,1% 28.12 66 0,1% 48.86 68 0,1% 1.60 62 4% 499 38 44.02 47 0,1%",10.1,47,"0,1%",0.1,17.8,63,"0,1%",0.1,28.12,66,"0,1%",0.1,48.86,68,"0,1%",0.1,1.6,62,4%,4.0,44.02,47,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,COLM 6700,10/22,XARP COL,G,FANO 2762,25,"COLM 6700 10/22 XARP COL G FANO 2762 3.94 42 7% 16.32 59 0,1% 27.91 61 0,1% 39.70 66 0,5% 1.51 60 5% 818 54 37.57 30 0,1%",3.94,42,7%,7.0,16.32,59,"0,1%",0.1,27.91,61,"0,1%",0.1,39.7,66,"0,5%",0.5,1.51,60,5%,5.0,37.57,30,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,KAPO 1500,08/17,NOGARA KA,G,KAPM 1905,25,"KAPO 1500 08/17 NOGARA KA G KAPM 1905 5.38 61 2% 15.40 82 0,1% 27.82 83 0,1% 38.96 90 0,5% 1.25 81 9% 187 6 32.69 61 2%",5.38,61,2%,2.0,15.4,82,"0,1%",0.1,27.82,83,"0,1%",0.1,38.96,90,"0,5%",0.5,1.25,81,9%,9.0,32.69,61,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,MCPJ 8196,07/22,8196P FIV JMP,G,IPB 6732,25,"MCPJ 8196 07/22 8196P FIV JMP G IPB 6732 4.17 45 6% 16.97 59 0,1% 26.79 64 0,1% 40.40 69 0,5% 1.88 59 2% 104 5 36.46 45 0,1%",4.17,45,6%,6.0,16.97,59,"0,1%",0.1,26.79,64,"0,1%",0.1,40.4,69,"0,5%",0.5,1.88,59,2%,2.0,36.46,45,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,FANO 2995,09/20,ESTUDANTE DA AGRONOVA,G,FANO 1509,25,"FANO 2995 09/20 ESTUDANTE DA AGRONOVA G FANO 1509 3.33 47 12% 16.27 88 0,1% 26.75 90 0,1% 45.27 81 0,1% 1.83 80 2% 937 60 37.68 47 0,1%",3.33,47,12%,12.0,16.27,88,"0,1%",0.1,26.75,90,"0,1%",0.1,45.27,81,"0,1%",0.1,1.83,80,2%,2.0,37.68,47,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,SINO 3015,03/22,IRMAO SINO,G,SINO 1730,25,"SINO 3015 03/22 IRMAO SINO G SINO 1730 5.33 45 2% 15.69 60 0,1% 26.65 63 0,1% 49.90 69 0,1% 1.25 59 9% 75 10 38.98 45 0,1%",5.33,45,2%,2.0,15.69,60,"0,1%",0.1,26.65,63,"0,1%",0.1,49.9,69,"0,1%",0.1,1.25,59,9%,9.0,38.98,45,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,COL 28419,11/21,VESTIGIO FIV COL,G,AZAN 2343,25,"COL 28419 11/21 VESTIGIO FIV COL G AZAN 2343 6.50 42 0,5% 14.50 61 0,1% 25.55 62 0,1% 45.31 64 0,1% 1.36 56 7% 53 6 37.21 42 0,1%",6.5,42,"0,5%",0.5,14.5,61,"0,1%",0.1,25.55,62,"0,1%",0.1,45.31,64,"0,1%",0.1,1.36,56,7%,7.0,37.21,42,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,FNAN 23,11/21,FNAN AUSPICIOSO,G,LCCF 619,25,"FNAN 23 11/21 FNAN AUSPICIOSO G LCCF 619 1.59 42 40% 13.97 61 0,1% 25.49 61 0,1% 36.14 66 2% 1.65 55 4% 77 12 34.34 42 1%",1.59,42,40%,40.0,13.97,61,"0,1%",0.1,25.49,61,"0,1%",0.1,36.14,66,2%,2.0,1.65,55,4%,4.0,34.34,42,1%,1.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,MCPJ 6525,06/21,6525C FIV JMP,G,REM 10447,25,"MCPJ 6525 06/21 6525C FIV JMP G REM 10447 7.78 43 0,1% 14.52 87 0,1% 25.26 88 0,1% 45.32 81 0,1% 1.61 76 4% 901 60 37.84 43 0,1%",7.78,43,"0,1%",0.1,14.52,87,"0,1%",0.1,25.26,88,"0,1%",0.1,45.32,81,"0,1%",0.1,1.61,76,4%,4.0,37.84,43,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,FANO 3050,09/20,ESPLENDOROSO DA AGRON,G,REM A7,25,"FANO 3050 09/20 ESPLENDOROSO DA AGRON G REM A7 3.31 50 12% 13.71 64 0,5% 25.24 67 0,1% 38.81 70 0,5% 2.14 63 1% 41 5 36.59 50 0,1%",3.31,50,12%,12.0,13.71,64,"0,5%",0.5,25.24,67,"0,1%",0.1,38.81,70,"0,5%",0.5,2.14,63,1%,1.0,36.59,50,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,RDM A7667,08/22,HINDU MAT.,G,FANO 2762,25,"RDM A7667 08/22 HINDU MAT. G FANO 2762 2.35 48 24% 14.19 62 0,1% 25.13 66 0,1% 47.83 69 0,1% 1.21 63 10% 194 12 36.85 48 0,1%",2.35,48,24%,24.0,14.19,62,"0,1%",0.1,25.13,66,"0,1%",0.1,47.83,69,"0,1%",0.1,1.21,63,10%,10.0,36.85,48,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,RDM A5492,07/21,GURUPI MAT.,G,REMP 602,25,"RDM A5492 07/21 GURUPI MAT. G REMP 602 6.92 44 0,1% 14.80 86 0,1% 24.90 91 0,1% 38.06 84 1% 2.46 81 0,1% 1555 83 35.73 44 0,5%",6.92,44,"0,1%",0.1,14.8,86,"0,1%",0.1,24.9,91,"0,1%",0.1,38.06,84,1%,1.0,2.46,81,"0,1%",0.1,35.73,44,"0,5%",0.5,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,SINO 2365,09/20,G7 SINO,G,REMC A223,25,"SINO 2365 09/20 G7 SINO G REMC A223 4.22 43 6% 14.12 59 0,1% 24.73 60 0,1% 44.79 64 0,1% 2.39 56 0,1% 63 11 36.19 43 0,1%",4.22,43,6%,6.0,14.12,59,"0,1%",0.1,24.73,60,"0,1%",0.1,44.79,64,"0,1%",0.1,2.39,56,"0,1%",0.1,36.19,43,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,FANO 3542,02/21,EPITACIO DA AGRONOVA,G,ACNP 3146,25,"FANO 3542 02/21 EPITACIO DA AGRONOVA G ACNP 3146 3.66 49 9% 13.42 64 0,5% 24.70 68 0,1% 45.29 71 0,1% 1.89 63 2% 47 3 38.08 49 0,1%",3.66,49,9%,9.0,13.42,64,"0,5%",0.5,24.7,68,"0,1%",0.1,45.29,71,"0,1%",0.1,1.89,63,2%,2.0,38.08,49,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
