breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,P450dep,P450ac,P450top,P450top_pct,CARdep,CARac,CARtop,CARtop_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MARdep,MARac,MARtop,MARtop_pct,MGTe_F1dep,MGTe_F1ac,MGTe_F1top,MGTe_F1top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,FLOC 517,11/21,GÃŠNESIS FIV FLOC,G,REMP 816,18,"FLOC 517 11/21 GÃŠNESIS FIV FLOC G REMP 816 38.31 69 1% -0.070 43 23% 6.86 63 0,1% 1.00 63 2% 0.25 58 0,5% 36.57 43 0,1% 36.50 46 0,1%",38.31,69,1%,1.0,-0.07,43,23%,23.0,6.86,63,"0,1%",0.1,1.0,63,2%,2.0,0.25,58,"0,5%",0.5,36.57,43,"0,1%",0.1,36.5,46,"0,1%",0.1,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,EAO B1830,08/19,CAPITAL FIV DA EAO,G,LBMN D4685,18,"EAO B1830 08/19 CAPITAL FIV DA EAO G LBMN D4685 27.03 75 8% -0.145 44 2% 3.20 67 12% 1.43 66 0,1% 0.27 62 0,1% 36.03 44 0,1% 28.52 51 5%",27.03,75,8%,8.0,-0.145,44,2%,2.0,3.2,67,12%,12.0,1.43,66,"0,1%",0.1,0.27,62,"0,1%",0.1,36.03,44,"0,1%",0.1,28.52,51,5%,5.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,HORA 3948,07/19,ITO TE DA HORA,G,REMC 5326,18,"HORA 3948 07/19 ITO TE DA HORA G REMC 5326 25.50 76 10% -0.240 50 0,1% 5.82 69 1% 0.78 69 4% 0.23 63 0,5% 35.65 50 0,1% 30.20 51 4%",25.5,76,10%,10.0,-0.24,50,"0,1%",0.1,5.82,69,1%,1.0,0.78,69,4%,4.0,0.23,63,"0,5%",0.5,35.65,50,"0,1%",0.1,30.2,51,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,BOA A3238,06/22,QUARTZO FIV TERRA BOA,G,REM A1936,18,"BOA A3238 06/22 QUARTZO FIV TERRA BOA G REM A1936 29.04 68 6% -0.160 40 1% 4.54 61 4% 1.39 62 0,1% 0.10 57 9% 35.28 40 0,1% 30.13 45 4%",29.04,68,6%,6.0,-0.16,40,1%,1.0,4.54,61,4%,4.0,1.39,62,"0,1%",0.1,0.1,57,9%,9.0,35.28,40,"0,1%",0.1,30.13,45,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,FANO 2762,01/20,DIPLOMATA DA AGRONOVA,G,REM A7,18,"FANO 2762 01/20 DIPLOMATA DA AGRONOVA G REM A7 33.52 97 3% -0.130 89 3% 5.50 96 2% 1.21 97 1% 0.11 95 8% 34.81 89 0,1% 32.98 82 2%",33.52,97,3%,3.0,-0.13,89,3%,3.0,5.5,96,2%,2.0,1.21,97,1%,1.0,0.11,95,8%,8.0,34.81,89,"0,1%",0.1,32.98,82,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,ANP 1101,10/21,CAPITÃƒO DA ANP,G,REMP 816,18,"ANP 1101 10/21 CAPITÃƒO DA ANP G REMP 816 34.01 68 2% -0.023 42 53% 6.46 62 0,5% 1.22 62 1% 0.20 59 2% 34.81 42 0,1% 30.19 30 4%",34.01,68,2%,2.0,-0.023,42,53%,53.0,6.46,62,"0,5%",0.5,1.22,62,1%,1.0,0.2,59,2%,2.0,34.81,42,"0,1%",0.1,30.19,30,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,EAO B4846,08/20,DECRETO FIV DA EAO,G,LBMN D4685,18,"EAO B4846 08/20 DECRETO FIV DA EAO G LBMN D4685 24.89 77 11% -0.120 46 4% 3.15 74 13% 1.67 73 0,1% 0.14 64 4% 34.60 46 0,1% 29.03 50 5%",24.89,77,11%,11.0,-0.12,46,4%,4.0,3.15,74,13%,13.0,1.67,73,"0,1%",0.1,0.14,64,4%,4.0,34.6,46,"0,1%",0.1,29.03,50,5%,5.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,PHOC 1882,10/20,1882 FIV PHOC,G,GRI B2887,18,"PHOC 1882 10/20 1882 FIV PHOC G GRI B2887 31.41 70 4% -0.063 42 27% 6.17 68 0,5% 1.14 67 1% 0.21 63 1% 34.57 42 0,1% 32.62 31 2%",31.41,70,4%,4.0,-0.063,42,27%,27.0,6.17,68,"0,5%",0.5,1.14,67,1%,1.0,0.21,63,1%,1.0,34.57,42,"0,1%",0.1,32.62,31,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,REM 12551,08/22,REM MAESTRO GENETICA,G,REMP 816,18,"REM 12551 08/22 REM MAESTRO GENETICA G REMP 816 24.25 66 12% -0.078 46 19% 5.12 62 3% 1.48 61 0,1% 0.15 58 4% 34.56 46 0,1% 27.75 32 6%",24.25,66,12%,12.0,-0.078,46,19%,19.0,5.12,62,3%,3.0,1.48,61,"0,1%",0.1,0.15,58,4%,4.0,34.56,46,"0,1%",0.1,27.75,32,6%,6.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
Nelore,REM 11271,08/20,REM JATO GEN. ADT,G,REM A1576,18,"REM 11271 08/20 REM JATO GEN. ADT G REM A1576 28.71 90 6% -0.039 68 43% 5.29 82 2% 1.39 81 0,1% 0.19 82 2% 34.12 68 0,1% 29.80 48 4%",28.71,90,6%,6.0,-0.039,68,43%,43.0,5.29,82,2%,2.0,1.39,81,"0,1%",0.1,0.19,82,2%,2.0,34.12,68,"0,1%",0.1,29.8,48,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_F1,MGTe"
