breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P120dep,P120ac,P120top,P120top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,OBGP 5672,09/20,SELETO FIV OB,G,UBER 461,51,"OBGP 5672 09/20 SELETO FIV OB G UBER 461 -0.29 44 47% 62.28 42 12% 7.78 46 2% 19.91 41 0,5% 0.45 56 21% 38 2 20.79 39 0,5%",-0.29,44,47%,47.0,62.28,42,12%,12.0,7.78,46,2%,2.0,19.91,41,"0,5%",0.5,0.45,56,21%,21.0,20.79,39,"0,5%",0.5,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,UBER 656,12/10,MR UBER POI 656,G,718788,51,"UBER 656 12/10 MR UBER POI 656 G 718788 -0.52 31 25% 71.85 45 2% 10.43 59 0,1% 8.60 60 22% 0.61 76 7% 141 5 18.42 31 1%",-0.52,31,25%,25.0,71.85,45,2%,2.0,10.43,59,"0,1%",0.1,8.6,60,22%,22.0,0.61,76,7%,7.0,18.42,31,1%,1.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,202068EE,11/20,BROTEAS DE ESP̥RITU,G,161487EE,51,202068EE 11/20 BROTEAS DE ESP̥RITU G 161487EE 0.13 46 95% 65.57 49 6% 5.04 58 9% 16.28 51 2% 0.52 66 13% 71 3 17.88 39 2%,0.13,46,95%,95.0,65.57,49,6%,6.0,5.04,58,9%,9.0,16.28,51,2%,2.0,0.52,66,13%,13.0,17.88,39,2%,2.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,OBGP 5677,10/20,SERPENTINO OB,G,OBGP 4230,51,OBGP 5677 10/20 SERPENTINO OB G OBGP 4230 -0.29 45 47% 63.44 48 9% 6.79 42 4% 12.69 49 7% 0.35 56 33% 31 1 17.40 40 2%,-0.29,45,47%,47.0,63.44,48,9%,9.0,6.79,42,4%,4.0,12.69,49,7%,7.0,0.35,56,33%,33.0,17.4,40,2%,2.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,190816EE,09/19,ACRON DE ESP̥RITU,G,100826EE,51,190816EE 09/19 ACRON DE ESP̥RITU G 100826EE 0.00 31 85% 64.17 39 8% 5.11 62 9% 16.14 61 2% 0.58 75 9% 101 2 17.11 31 2%,0.0,31,85%,85.0,64.17,39,8%,8.0,5.11,62,9%,9.0,16.14,61,2%,2.0,0.58,75,9%,9.0,17.11,31,2%,2.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,UBER 1622,09/17,MR UBER BACKUP 1622,G,UBER 461,51,"UBER 1622 09/17 MR UBER BACKUP 1622 G UBER 461 -0.04 43 80% 62.71 50 11% 10.15 59 0,1% 15.26 57 3% 0.33 70 36% 95 4 16.56 39 3%",-0.04,43,80%,80.0,62.71,50,11%,11.0,10.15,59,"0,1%",0.1,15.26,57,3%,3.0,0.33,70,36%,36.0,16.56,39,3%,3.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,KDO 4942,08/18,DON JUAN DE K DE ORO,G,BRCL 694,51,KDO 4942 08/18 DON JUAN DE K DE ORO G BRCL 694 -1.11 43 1% 64.75 46 7% 0.61 41 52% 10.90 42 12% 0.60 51 8% 27 1 15.94 42 4%,-1.11,43,1%,1.0,64.75,46,7%,7.0,0.61,41,52%,52.0,10.9,42,12%,12.0,0.6,51,8%,8.0,15.94,42,4%,4.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,OBGP 5664,09/20,SOBRADO FIV OB,G,UBER 461,51,OBGP 5664 09/20 SOBRADO FIV OB G UBER 461 -0.43 45 33% 60.41 44 19% 3.44 48 18% 13.03 39 5% 0.32 53 37% 34 1 15.51 39 4%,-0.43,45,33%,33.0,60.41,44,19%,19.0,3.44,48,18%,18.0,13.03,39,5%,5.0,0.32,53,37%,37.0,15.51,39,4%,4.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,UBER 401,02/09,MR UBER POI 401,G,718788,51,UBER 401 02/09 MR UBER POI 401 G 718788 -0.46 48 30% 62.50 51 12% 3.16 56 20% 10.19 63 15% 0.36 71 32% 87 9 15.23 48 5%,-0.46,48,30%,30.0,62.5,51,12%,12.0,3.16,56,20%,20.0,10.19,63,15%,15.0,0.36,71,32%,32.0,15.23,48,5%,5.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,OBGP 1193,09/09,MATRIX OB,G,OBGP 367,51,OBGP 1193 09/09 MATRIX OB G OBGP 367 -0.55 59 23% 57.48 67 47% 6.08 74 5% 14.95 79 3% 0.28 86 44% 518 9 14.95 59 5%,-0.55,59,23%,23.0,57.48,67,47%,47.0,6.08,74,5%,5.0,14.95,79,3%,3.0,0.28,86,44%,44.0,14.95,59,5%,5.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,KDO 5021,08/18,MR. APOLO FIV K DE OR,G,BRCL 694,51,KDO 5021 08/18 MR. APOLO FIV K DE OR G BRCL 694 -0.58 43 20% 67.67 42 3% 1.45 42 38% 12.06 40 9% 0.57 65 10% 76 3 14.06 40 7%,-0.58,43,20%,20.0,67.67,42,3%,3.0,1.45,42,38%,38.0,12.06,40,9%,9.0,0.57,65,10%,10.0,14.06,40,7%,7.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,OBGP 4947,09/17,KEMBALI OB,G,OBGP 1193,51,OBGP 4947 09/17 KEMBALI OB G OBGP 1193 -0.54 31 24% 56.51 50 59% 4.19 45 13% 6.78 48 33% 0.41 73 26% 111 3 13.28 31 8%,-0.54,31,24%,24.0,56.51,50,59%,59.0,4.19,45,13%,13.0,6.78,48,33%,33.0,0.41,73,26%,26.0,13.28,31,8%,8.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,UBER 1540,08/16,MR UBER MARABA 1540,G,UBER 656,51,UBER 1540 08/16 MR UBER MARABA 1540 G UBER 656 -0.40 43 35% 61.07 41 16% 1.74 47 34% 6.36 48 36% 0.49 66 17% 54 4 12.29 39 11%,-0.4,43,35%,35.0,61.07,41,16%,16.0,1.74,47,34%,34.0,6.36,48,36%,36.0,0.49,66,17%,17.0,12.29,39,11%,11.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,UBER 1506,12/15,MR UBER JATOBA 1506,G,UBER 783,51,UBER 1506 12/15 MR UBER JATOBA 1506 G UBER 783 0.21 37 98% 58.04 47 31% 3.88 59 15% 11.21 59 11% 0.35 71 33% 90 5 12.04 37 12%,0.21,37,98%,98.0,58.04,47,31%,31.0,3.88,59,15%,15.0,11.21,59,11%,11.0,0.35,71,33%,33.0,12.04,37,12%,12.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,AMRO 806,11/12,MR BR 77 806 FIV,G,727046,51,AMRO 806 11/12 MR BR 77 806 FIV G 727046 -0.19 46 63% 62.25 49 12% 7.66 61 2% 12.32 63 8% 0.34 78 35% 254 8 12.03 44 12%,-0.19,46,63%,63.0,62.25,49,12%,12.0,7.66,61,2%,2.0,12.32,63,8%,8.0,0.34,78,35%,35.0,12.03,44,12%,12.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,940813,04/15,JDH SIR ELIAS MANSO 1,G,864762,51,940813 04/15 JDH SIR ELIAS MANSO 1 G 864762 -0.74 45 10% 57.77 44 41% 3.89 44 15% 10.68 43 13% 0.44 49 22% 28 3 11.41 42 14%,-0.74,45,10%,10.0,57.77,44,41%,41.0,3.89,44,15%,15.0,10.68,43,13%,13.0,0.44,49,22%,22.0,11.41,42,14%,14.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,OBGP 3777,12/13,ATICO OB,G,OMBD 114,51,"OBGP 3777 12/13 ATICO OB G OMBD 114 -0.54 43 24% 53.42 43 86% 7.89 65 2% 19.97 71 0,5% 0.50 85 16% 333 3 10.80 43 16%",-0.54,43,24%,24.0,53.42,43,86%,86.0,7.89,65,2%,2.0,19.97,71,"0,5%",0.5,0.5,85,16%,16.0,10.8,43,16%,16.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,AMRO 1392,05/16,MR BR 77 1392,G,864762,51,AMRO 1392 05/16 MR BR 77 1392 G 864762 -0.47 44 29% 63.30 47 10% 5.35 51 8% 9.47 54 17% 0.43 74 23% 136 4 10.79 39 16%,-0.47,44,29%,29.0,63.3,47,10%,10.0,5.35,51,8%,8.0,9.47,54,17%,17.0,0.43,74,23%,23.0,10.79,39,16%,16.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,AMRO 480,07/10,MR BR 77 480,G,AMRO 95,51,AMRO 480 07/10 MR BR 77 480 G AMRO 95 -0.20 43 62% 54.32 44 79% 7.98 49 2% 12.09 38 9% -0.16 73 92% 168 5 10.62 38 17%,-0.2,43,62%,62.0,54.32,44,79%,79.0,7.98,49,2%,2.0,12.09,38,9%,9.0,-0.16,73,92%,92.0,10.62,38,17%,17.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,EAOH 775,08/08,NALTO TE DA EAO,G,2505,51,EAOH 775 08/08 NALTO TE DA EAO G 2505 -0.95 43 3% 65.61 47 6% 0.28 50 58% 6.86 44 32% 0.68 54 3% 36 2 10.40 43 18%,-0.95,43,3%,3.0,65.61,47,6%,6.0,0.28,50,58%,58.0,6.86,44,32%,32.0,0.68,54,3%,3.0,10.4,43,18%,18.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,191151EE,09/19,191151 DE ESPIRITU,G,131146EE,51,191151EE 09/19 191151 DE ESPIRITU G 131146EE 0.48 45 100% 63.31 51 10% 1.44 45 38% 13.32 49 5% 0.33 59 36% 31 1 10.09 40 19%,0.48,45,100%,100.0,63.31,51,10%,10.0,1.44,45,38%,38.0,13.32,49,5%,5.0,0.33,59,36%,36.0,10.09,40,19%,19.0,"IPP,STAY,P120,P450,PE365,MGTe"
Brahman,UBER 461,10/09,MR UBER ARAGUAIA 461,G,UBER 153,51,UBER 461 10/09 MR UBER ARAGUAIA 461 G UBER 153 -0.46 54 30% 62.12 54 13% 3.11 69 20% 3.32 73 77% 0.28 81 44% 206 17 9.69 52 21%,-0.46,54,30%,30.0,62.12,54,13%,13.0,3.11,69,20%,20.0,3.32,73,77%,77.0,0.28,81,44%,44.0,9.69,52,21%,21.0,"IPP,STAY,P120,P450,PE365,MGTe"
