breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,902044,03/11,JDH CLANTON DE,,MANSO 839863,53,"902044 03/11 JDH CLANTON DE MANSO 839863 -1.51 22 0,1% 60.42 17 19% 2.99 53 18% 15.99 71 2% 0.77 71 2% 20 5 13.00 17 9%",-1.51,22,"0,1%",0.1,60.42,17,19%,19.0,2.99,53,18%,18.0,15.99,71,2%,2.0,0.77,71,2%,2.0,13.0,17,9%,9.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,KDO 4942,08/18,DON JUAN DE K DE ORO,G,BRCL 694,53,KDO 4942 08/18 DON JUAN DE K DE ORO G BRCL 694 -1.11 43 1% 64.75 46 7% 3.84 48 14% 10.90 42 12% 0.60 51 8% 15 1 15.94 42 4%,-1.11,43,1%,1.0,64.75,46,7%,7.0,3.84,48,14%,14.0,10.9,42,12%,12.0,0.6,51,8%,8.0,15.94,42,4%,4.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,UBER 1075,12/12,MR UBER TANQUE 1075,G,846561,53,UBER 1075 12/12 MR UBER TANQUE 1075 G 846561 -0.97 31 3% 54.75 38 76% 5.35 47 8% 7.27 44 29% 0.53 44 13% 7 1 11.94 31 12%,-0.97,31,3%,3.0,54.75,38,76%,76.0,5.35,47,8%,8.0,7.27,44,29%,29.0,0.53,44,13%,13.0,11.94,31,12%,12.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,EAOH 775,08/08,NALTO TE DA EAO,G,2505,53,EAOH 775 08/08 NALTO TE DA EAO G 2505 -0.95 43 3% 65.61 47 6% 0.19 47 63% 6.86 44 32% 0.68 54 3% 16 1 10.40 43 18%,-0.95,43,3%,3.0,65.61,47,6%,6.0,0.19,47,63%,63.0,6.86,44,32%,32.0,0.68,54,3%,3.0,10.4,43,18%,18.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,KDO 3695,04/15,3695 DE K DE ORO,G,REA 144,53,KDO 3695 04/15 3695 DE K DE ORO G REA 144 -0.93 34 4% 70.46 39 2% 0.99 43 39% 3.95 38 72% -0.33 67 99% 9 1 7.46 34 35%,-0.93,34,4%,4.0,70.46,39,2%,2.0,0.99,43,39%,39.0,3.95,38,72%,72.0,-0.33,67,99%,99.0,7.46,34,35%,35.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,CABR 1769,09/11,CABR IOTIN,,1769 846561,53,"CABR 1769 09/11 CABR IOTIN 1769 846561 -0.81 20 8% 56.78 29 56% 7.24 33 4% 15.44 23 2% 0.72 51 3% 12 2 19.84 20 0,5%",-0.81,20,8%,8.0,56.78,29,56%,56.0,7.24,33,4%,4.0,15.44,23,2%,2.0,0.72,51,3%,3.0,19.84,20,"0,5%",0.5,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,940813,04/15,JDH SIR ELIAS MANSO 1,G,864762,53,940813 04/15 JDH SIR ELIAS MANSO 1 G 864762 -0.74 45 10% 57.77 44 41% 2.07 42 25% 10.68 43 13% 0.44 49 22% 3 2 11.41 42 14%,-0.74,45,10%,10.0,57.77,44,41%,41.0,2.07,42,25%,25.0,10.68,43,13%,13.0,0.44,49,22%,22.0,11.41,42,14%,14.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,BRCL 694,11/11,MR BCOL FRATELLO,,GOOD 92,53,"BRCL 694 11/11 MR BCOL FRATELLO GOOD 92 -0.74 26 10% 76.98 51 0,5% 3.44 47 16% 16.90 46 1% 0.66 61 4% 20 1 21.57 12 0,5%",-0.74,26,10%,10.0,76.98,51,"0,5%",0.5,3.44,47,16%,16.0,16.9,46,1%,1.0,0.66,61,4%,4.0,21.57,12,"0,5%",0.5,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,REPL 656,04/17,MR 656,,REPOL 801153,53,REPL 656 04/17 MR 656 REPOL 801153 -0.74 23 10% 68.57 18 3% 0.78 44 42% 2.45 15 83% -0.06 59 86% 31 1 8.36 11 28%,-0.74,23,10%,10.0,68.57,18,3%,3.0,0.78,44,42%,42.0,2.45,15,83%,83.0,-0.06,59,86%,86.0,8.36,11,28%,28.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,GOOD 1068,11/07,GOOD BRAHMANIA,,1068 660295,53,GOOD 1068 11/07 GOOD BRAHMANIA 1068 660295 -0.74 20 10% 66.51 33 5% 1.84 38 28% 11.42 9 10% 0.62 52 7% 16 2 14.32 9 6%,-0.74,20,10%,10.0,66.51,33,5%,5.0,1.84,38,28%,28.0,11.42,9,10%,10.0,0.62,52,7%,7.0,14.32,9,6%,6.0,"IPP,STAY,P210,P450,PE365,MGTe"
