breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MP120dep,MP120ac,MP120top,MP120top_pct,P120dep,P120ac,P120top,P120top_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Tabapuã,ALD 2413,11/16,BENEDITO DO COCA,G,MBF 1871,69,"ALD 2413 11/16 BENEDITO DO COCA G MBF 1871 3.76 46 0,5% 5.83 39 0,1% 9.88 45 0,5% 33.67 46 0,1% 0.25 64 18% 131 6 29.46 42 1%",3.76,46,"0,5%",0.5,5.83,39,"0,1%",0.1,9.88,45,"0,5%",0.5,33.67,46,"0,1%",0.1,0.25,64,18%,18.0,29.46,42,1%,1.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,RNF 3282,09/16,TROUBLE FIV RF 4 IRMA,,TABA R2816,69,"RNF 3282 09/16 TROUBLE FIV RF 4 IRMA TABA R2816 3.25 18 0,5% 1.95 39 12% 8.41 42 1% 9.04 25 11% 0.52 51 9% 82 1 26.38 18 2%",3.25,18,"0,5%",0.5,1.95,39,12%,12.0,8.41,42,1%,1.0,9.04,25,11%,11.0,0.52,51,9%,9.0,26.38,18,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,OEJ 102,01/11,SANCAO,,ALN 628,69,OEJ 102 01/11 SANCAO ALN 628 3.14 26 1% 2.11 31 10% 8.29 44 1% 11.71 18 5% 0.52 65 9% 134 4 17.81 18 8%,3.14,26,1%,1.0,2.11,31,10%,10.0,8.29,44,1%,1.0,11.71,18,5%,5.0,0.52,65,9%,9.0,17.81,18,8%,8.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,DORN 289,11/06,CERTEIRO FIV DA DORN,G,NYFP 1459,69,"DORN 289 11/06 CERTEIRO FIV DA DORN G NYFP 1459 3.47 52 0,5% 4.48 49 1% 8.26 51 1% 20.27 42 0,5% 0.69 39 7% 12 2 21.75 39 4%",3.47,52,"0,5%",0.5,4.48,49,1%,1.0,8.26,51,1%,1.0,20.27,42,"0,5%",0.5,0.69,39,7%,7.0,21.75,39,4%,4.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,ALD 2367,08/16,BARETA DO COCA,G,UZI 171,69,"ALD 2367 08/16 BARETA DO COCA G UZI 171 2.19 43 6% 2.60 47 7% 8.19 47 1% 22.04 42 0,5% 0.03 43 41% 9 1 21.82 36 4%",2.19,43,6%,6.0,2.6,47,7%,7.0,8.19,47,1%,1.0,22.04,42,"0,5%",0.5,0.03,43,41%,41.0,21.82,36,4%,4.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,TRO 207,10/06,OPUSCULO TRO,,NYFP 2497,69,"TRO 207 10/06 OPUSCULO TRO NYFP 2497 3.81 23 0,5% 3.90 18 2% 7.59 35 2% 8.95 10 11% 0.54 59 9% 88 1 14.60 10 13%",3.81,23,"0,5%",0.5,3.9,18,2%,2.0,7.59,35,2%,2.0,8.95,10,11%,11.0,0.54,59,9%,9.0,14.6,10,13%,13.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,GER 5035,11/06,5035 DA,,COPAC. A130,69,GER 5035 11/06 5035 DA COPAC. A130 2.33 18 5% 4.40 31 1% 7.02 42 3% 9.51 61 9% 0.36 68 13% 106 1 15.11 18 12%,2.33,18,5%,5.0,4.4,31,1%,1.0,7.02,42,3%,3.0,9.51,61,9%,9.0,0.36,68,13%,13.0,15.11,18,12%,12.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,TJG 1297,09/17,IGUAL TJG,,PRTA 325,69,TJG 1297 09/17 IGUAL TJG PRTA 325 -0.99 12 100% 1.28 28 21% 7.01 36 3% 11.22 40 6% 0.22 24 20% 72 1 25.13 10 3%,-0.99,12,100%,100.0,1.28,28,21%,21.0,7.01,36,3%,3.0,11.22,40,6%,6.0,0.22,24,20%,20.0,25.13,10,3%,3.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,PRTA 325,06/10,RAMBO FIV DA PRATA,G,NCG 1396,69,PRTA 325 06/10 RAMBO FIV DA PRATA G NCG 1396 0.77 50 42% -0.77 50 83% 6.83 39 3% 13.38 55 3% 0.27 70 16% 79 7 20.80 34 5%,0.77,50,42%,42.0,-0.77,50,83%,83.0,6.83,39,3%,3.0,13.38,55,3%,3.0,0.27,70,16%,16.0,20.8,34,5%,5.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,CSC 9974,08/08,RUSSEL DO CÃ“RREGO,,TABA R2816,69,"CSC 9974 08/08 RUSSEL DO CÃ“RREGO TABA R2816 2.08 14 7% 2.75 23 6% 6.41 37 4% 13.95 46 3% 2.78 56 0,5% 88 3 32.39 14 0,5%",2.08,14,7%,7.0,2.75,23,6%,6.0,6.41,37,4%,4.0,13.95,46,3%,3.0,2.78,56,"0,5%",0.5,32.39,14,"0,5%",0.5,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,NGT 124,11/07,BEETHOVEN DA NGT,G,FEP 1034,69,NGT 124 11/07 BEETHOVEN DA NGT G FEP 1034 0.31 43 70% 3.01 45 5% 6.35 31 4% 19.04 36 1% 0.09 43 32% 33 4 26.84 31 2%,0.31,43,70%,70.0,3.01,45,5%,5.0,6.35,31,4%,4.0,19.04,36,1%,1.0,0.09,43,32%,32.0,26.84,31,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,DORN 618,04/09,EROS FIV DA DORN,G,NYFP 4183,69,DORN 618 04/09 EROS FIV DA DORN G NYFP 4183 -2.69 44 100% -0.07 42 59% 6.18 40 4% 1.50 43 57% 0.25 43 18% 44 4 9.72 33 23%,-2.69,44,100%,100.0,-0.07,42,59%,59.0,6.18,40,4%,4.0,1.5,43,57%,57.0,0.25,43,18%,18.0,9.72,33,23%,23.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,JCVZ 10,12/07,MAJESTOSO FIV,G,TABA R2198,69,JCVZ 10 12/07 MAJESTOSO FIV G TABA R2198 0.48 38 58% 3.81 44 2% 5.47 46 6% 5.17 42 22% 0.21 47 20% 42 3 12.66 38 16%,0.48,38,58%,58.0,3.81,44,2%,2.0,5.47,46,6%,6.0,5.17,42,22%,22.0,0.21,47,20%,20.0,12.66,38,16%,16.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,GEGO 1111,08/12,NATUR FIV DOGOIAS,G,FEP 1034,69,GEGO 1111 08/12 NATUR FIV DOGOIAS G FEP 1034 2.02 46 8% 2.56 35 7% 5.46 31 6% 12.35 41 5% 0.51 45 9% 17 2 23.53 31 3%,2.02,46,8%,8.0,2.56,35,7%,7.0,5.46,31,6%,6.0,12.35,41,5%,5.0,0.51,45,9%,9.0,23.53,31,3%,3.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,ALD 1871,11/11,ULCERANTE DO,,COCA 8801,69,"ALD 1871 11/11 ULCERANTE DO COCA 8801 3.52 21 0,5% 3.68 30 2% 4.29 32 10% 7.82 9 14% -0.07 30 56% 15 1 14.12 9 13%",3.52,21,"0,5%",0.5,3.68,30,2%,2.0,4.29,32,10%,10.0,7.82,9,14%,14.0,-0.07,30,56%,56.0,14.12,9,13%,13.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,ALD 2105,01/14,VERISSIMO DO COCA,G,ALD 1119,69,ALD 2105 01/14 VERISSIMO DO COCA G ALD 1119 -0.39 50 97% 0.29 51 45% 4.10 50 11% 6.81 44 17% -0.53 41 100% 15 1 12.98 38 16%,-0.39,50,97%,97.0,0.29,51,45%,45.0,4.1,50,11%,11.0,6.81,44,17%,17.0,-0.53,41,100%,100.0,12.98,38,16%,16.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,PRT 5229,08/06,NAUÃƒ DA PRATA,G,PRT 4450,69,PRT 5229 08/06 NAUÃƒ DA PRATA G PRT 4450 1.85 49 11% -0.10 39 60% 4.09 51 11% 5.32 40 21% 0.96 51 5% 10 3 23.40 40 3%,1.85,49,11%,11.0,-0.1,39,60%,60.0,4.09,51,11%,11.0,5.32,40,21%,21.0,0.96,51,5%,5.0,23.4,40,3%,3.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,NGT 507,01/09,DOBRADO FIV DA NGT,G,FEP 1034,69,NGT 507 01/09 DOBRADO FIV DA NGT G FEP 1034 1.73 32 14% -1.21 38 93% 3.91 41 11% 7.16 44 16% -0.28 35 86% 6 1 21.59 32 4%,1.73,32,14%,14.0,-1.21,38,93%,93.0,3.91,41,11%,11.0,7.16,44,16%,16.0,-0.28,35,86%,86.0,21.59,32,4%,4.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,GER 5694,10/08,5694 DA COPAC.,,TABA R2816,69,GER 5694 10/08 5694 DA COPAC. TABA R2816 2.00 14 9% 1.49 25 18% 3.78 34 12% 10.72 35 7% 2.43 49 2% 37 1 26.03 13 2%,2.0,14,9%,9.0,1.49,25,18%,18.0,3.78,34,12%,12.0,10.72,35,7%,7.0,2.43,49,2%,2.0,26.03,13,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Tabapuã,TRO 820,10/17,DESTRO TRO,G,TROA 1915,69,TRO 820 10/17 DESTRO TRO G TROA 1915 1.71 52 14% 1.55 46 17% 3.23 40 15% 18.27 42 1% 0.78 48 6% 4 2 23.63 40 3%,1.71,52,14%,14.0,1.55,46,17%,17.0,3.23,40,15%,15.0,18.27,42,1%,1.0,0.78,48,6%,6.0,23.63,40,3%,3.0,"MP120,P120,P210,P450,PE365,MGTe"
