breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MGTe_CRdep,MGTe_CRac,MGTe_CRtop,MGTe_CRtop_pct,MGTe_REdep,MGTe_REac,MGTe_REtop,MGTe_REtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,OBGP 5672,09/20,SELETO FIV OB,G,UBER 461,52,"OBGP 5672 09/20 SELETO FIV OB G UBER 461 14.02 39 7% 36.40 41 0,1% 38 2 20.79 39 0,5%",14.02,39,7%,7.0,36.4,41,"0,1%",0.1,20.79,39,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe"
Brahman,UBER 656,12/10,MR UBER POI 656,G,718788,52,UBER 656 12/10 MR UBER POI 656 G 718788 19.00 31 2% 17.10 43 5% 141 5 18.42 31 1%,19.0,31,2%,2.0,17.1,43,5%,5.0,18.42,31,1%,1.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,202068EE,11/20,BROTEAS DE ESP̥RITU,G,161487EE,52,202068EE 11/20 BROTEAS DE ESP̥RITU G 161487EE 15.64 40 4% 22.89 39 1% 71 3 17.88 39 2%,15.64,40,4%,4.0,22.89,39,1%,1.0,17.88,39,2%,2.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,OBGP 5677,10/20,SERPENTINO OB,G,OBGP 4230,52,"OBGP 5677 10/20 SERPENTINO OB G OBGP 4230 14.10 41 7% 24.92 40 0,5% 31 1 17.40 40 2%",14.1,41,7%,7.0,24.92,40,"0,5%",0.5,17.4,40,2%,2.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,190816EE,09/19,ACRON DE ESP̥RITU,G,100826EE,52,190816EE 09/19 ACRON DE ESP̥RITU G 100826EE 14.15 31 7% 23.74 61 1% 101 2 17.11 31 2%,14.15,31,7%,7.0,23.74,61,1%,1.0,17.11,31,2%,2.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,UBER 1622,09/17,MR UBER BACKUP 1622,G,UBER 461,52,UBER 1622 09/17 MR UBER BACKUP 1622 G UBER 461 14.27 39 6% 21.67 42 2% 95 4 16.56 39 3%,14.27,39,6%,6.0,21.67,42,2%,2.0,16.56,39,3%,3.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,KDO 4942,08/18,DON JUAN DE K DE ORO,G,BRCL 694,52,KDO 4942 08/18 DON JUAN DE K DE ORO G BRCL 694 14.66 43 5% 18.71 42 4% 27 1 15.94 42 4%,14.66,43,5%,5.0,18.71,42,4%,4.0,15.94,42,4%,4.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,OBGP 5664,09/20,SOBRADO FIV OB,G,UBER 461,52,"OBGP 5664 09/20 SOBRADO FIV OB G UBER 461 11.30 39 15% 25.28 39 0,5% 34 1 15.51 39 4%",11.3,39,15%,15.0,25.28,39,"0,5%",0.5,15.51,39,4%,4.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,UBER 401,02/09,MR UBER POI 401,G,718788,52,UBER 401 02/09 MR UBER POI 401 G 718788 14.82 48 5% 16.17 55 6% 87 9 15.23 48 5%,14.82,48,5%,5.0,16.17,55,6%,6.0,15.23,48,5%,5.0,"MGTe_CR,MGTe_RE,MGTe"
Brahman,OBGP 1193,09/09,MATRIX OB,G,OBGP 367,52,OBGP 1193 09/09 MATRIX OB G OBGP 367 12.36 59 11% 20.71 79 2% 518 9 14.95 59 5%,12.36,59,11%,11.0,20.71,79,2%,2.0,14.95,59,5%,5.0,"MGTe_CR,MGTe_RE,MGTe"
