breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Tabapuã,TJG 1297,09/17,IGUAL TJG,,PRTA 325,71,"TJG 1297 09/17 IGUAL TJG PRTA 325 -0.90 20 0,5% 11.22 40 6% 0.22 24 20% 4.60 43 0,1% 0.19 40 31% 25.13 10 3%",-0.9,20,"0,5%",0.5,11.22,40,6%,6.0,0.22,24,20%,20.0,4.6,43,"0,1%",0.1,0.19,40,31%,31.0,25.13,10,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Tabapuã,TROA 2561,08/15,BALANCETE TRO,,TABA R2816,71,"TROA 2561 08/15 BALANCETE TRO TABA R2816 -0.42 20 6% 7.75 51 14% 0.94 49 5% 3.23 53 0,5% -0.12 50 78% 23.70 16 3%",-0.42,20,6%,6.0,7.75,51,14%,14.0,0.94,49,5%,5.0,3.23,53,"0,5%",0.5,-0.12,50,78%,78.0,23.7,16,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Tabapuã,GEGO 1111,08/12,NATUR FIV DOGOIAS,G,FEP 1034,71,"GEGO 1111 08/12 NATUR FIV DOGOIAS G FEP 1034 -0.46 47 5% 12.35 41 5% 0.51 45 9% 2.82 43 0,5% -0.18 46 87% 23.53 31 3%",-0.46,47,5%,5.0,12.35,41,5%,5.0,0.51,45,9%,9.0,2.82,43,"0,5%",0.5,-0.18,46,87%,87.0,23.53,31,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Tabapuã,CSC 9643,09/07,POLITZ DO CORREGO,,TABA R2816,71,"CSC 9643 09/07 POLITZ DO CORREGO TABA R2816 -0.55 13 3% 17.89 21 1% 0.66 43 7% 2.81 31 0,5% 0.27 28 18% 30.20 13 1%",-0.55,13,3%,3.0,17.89,21,1%,1.0,0.66,43,7%,7.0,2.81,31,"0,5%",0.5,0.27,28,18%,18.0,30.2,13,1%,1.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Tabapuã,JAAX 247,10/18,GLADIADOR,G,GCK 1876,71,"JAAX 247 10/18 GLADIADOR G GCK 1876 -0.43 39 6% 2.16 39 49% 0.26 45 17% 2.77 40 0,5% 0.52 39 1% 20.73 39 5%",-0.43,39,6%,6.0,2.16,39,49%,49.0,0.26,45,17%,17.0,2.77,40,"0,5%",0.5,0.52,39,1%,1.0,20.73,39,5%,5.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Tabapuã,DAGA 29,07/18,AVAIANO FIV DAGA,,TABA R2816,71,"DAGA 29 07/18 AVAIANO FIV DAGA TABA R2816 -0.38 10 8% 10.72 21 7% 1.02 18 5% 2.72 17 0,5% 0.16 15 37% 25.38 10 3%",-0.38,10,8%,8.0,10.72,21,7%,7.0,1.02,18,5%,5.0,2.72,17,"0,5%",0.5,0.16,15,37%,37.0,25.38,10,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Tabapuã,TJG 1015,10/16,HASTIL TJG,G,PRTA 325,71,"TJG 1015 10/16 HASTIL TJG G PRTA 325 -0.98 32 0,5% 4.38 43 26% 0.54 40 9% 2.65 55 0,5% 0.24 52 23% 19.05 32 6%",-0.98,32,"0,5%",0.5,4.38,43,26%,26.0,0.54,40,9%,9.0,2.65,55,"0,5%",0.5,0.24,52,23%,23.0,19.05,32,6%,6.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Tabapuã,RNF 3282,09/16,TROUBLE FIV RF 4 IRMA,,TABA R2816,71,RNF 3282 09/16 TROUBLE FIV RF 4 IRMA TABA R2816 -0.32 20 11% 9.04 25 11% 0.52 51 9% 2.02 29 1% -0.06 25 70% 26.38 18 2%,-0.32,20,11%,11.0,9.04,25,11%,11.0,0.52,51,9%,9.0,2.02,29,1%,1.0,-0.06,25,70%,70.0,26.38,18,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Tabapuã,PRTA 325,06/10,RAMBO FIV DA PRATA,G,NCG 1396,71,"PRTA 325 06/10 RAMBO FIV DA PRATA G NCG 1396 -1.26 34 0,1% 13.38 55 3% 0.27 70 16% 1.49 62 3% -0.19 59 88% 20.80 34 5%",-1.26,34,"0,1%",0.1,13.38,55,3%,3.0,0.27,70,16%,16.0,1.49,62,3%,3.0,-0.19,59,88%,88.0,20.8,34,5%,5.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Tabapuã,CSC 11626,11/16,CISQUEIRO DO CORREGO,,CSC 9643,71,CSC 11626 11/16 CISQUEIRO DO CORREGO CSC 9643 0.27 6 86% -1.17 36 94% 0.67 32 7% 0.83 41 10% 0.56 37 1% 15.21 6 12%,0.27,6,86%,86.0,-1.17,36,94%,94.0,0.67,32,7%,7.0,0.83,41,10%,10.0,0.56,37,1%,1.0,15.21,6,12%,12.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
