breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,P450dep,P450ac,P450top,P450top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTe_REdep,MGTe_REac,MGTe_REtop,MGTe_REtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,EAO B7661,09/21,ESTEIO DA EAO,G,REM A7,17,"EAO B7661 09/21 ESTEIO DA EAO G REM A7 43.96 77 0,1% 5.26 70 2% 1.29 68 0,5% 45.41 68 0,1% 37.26 49 0,1%",43.96,77,"0,1%",0.1,5.26,70,2%,2.0,1.29,68,"0,5%",0.5,45.41,68,"0,1%",0.1,37.26,49,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,FLOC 517,11/21,GÃŠNESIS FIV FLOC,G,REMP 816,17,"FLOC 517 11/21 GÃŠNESIS FIV FLOC G REMP 816 38.31 69 1% 6.86 63 0,1% 1.00 63 2% 45.31 63 0,1% 36.50 46 0,1%",38.31,69,1%,1.0,6.86,63,"0,1%",0.1,1.0,63,2%,2.0,45.31,63,"0,1%",0.1,36.5,46,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,REM 12045,08/21,REM LEGACY GEN.ADT,G,REM A1576,17,"REM 12045 08/21 REM LEGACY GEN.ADT G REM A1576 40.35 72 0,5% 6.61 66 0,5% 0.76 65 4% 45.01 65 0,1% 33.60 44 2%",40.35,72,"0,5%",0.5,6.61,66,"0,5%",0.5,0.76,65,4%,4.0,45.01,65,"0,1%",0.1,33.6,44,2%,2.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,RDM A4814,10/20,FALCAO MAT.,G,SINO 1647,17,"RDM A4814 10/20 FALCAO MAT. G SINO 1647 47.17 68 0,1% 5.32 69 2% 0.55 68 8% 44.86 68 0,1% 37.84 42 0,1%",47.17,68,"0,1%",0.1,5.32,69,2%,2.0,0.55,68,8%,8.0,44.86,68,"0,1%",0.1,37.84,42,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,KPA 12,09/20,QUAZAR KA,G,RDM A99,17,"KPA 12 09/20 QUAZAR KA G RDM A99 38.44 85 1% 7.18 75 0,1% 0.60 73 7% 44.82 73 0,1% 34.65 43 1%",38.44,85,1%,1.0,7.18,75,"0,1%",0.1,0.6,73,7%,7.0,44.82,73,"0,1%",0.1,34.65,43,1%,1.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,FANO 3294,12/20,ELO DA AGRONOVA,G,PAU 2753,17,"FANO 3294 12/20 ELO DA AGRONOVA G PAU 2753 30.13 84 5% 8.02 81 0,1% 1.24 79 0,5% 44.38 79 0,1% 31.70 49 3%",30.13,84,5%,5.0,8.02,81,"0,1%",0.1,1.24,79,"0,5%",0.5,44.38,79,"0,1%",0.1,31.7,49,3%,3.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,AGJZ 774,08/20,IGAON FIV DA GAROUPA,G,REM A1553,17,"AGJZ 774 08/20 IGAON FIV DA GAROUPA G REM A1553 38.47 80 1% 7.14 80 0,1% 0.49 76 9% 44.34 76 0,1% 36.90 45 0,1%",38.47,80,1%,1.0,7.14,80,"0,1%",0.1,0.49,76,9%,9.0,44.34,76,"0,1%",0.1,36.9,45,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,REMP 1660,11/21,REM LEGIONARIO FIV GE,G,REM A2239,17,"REMP 1660 11/21 REM LEGIONARIO FIV GE G REM A2239 38.29 69 1% 6.66 62 0,5% 0.82 61 3% 44.12 61 0,1% 35.47 46 0,5%",38.29,69,1%,1.0,6.66,62,"0,5%",0.5,0.82,61,3%,3.0,44.12,61,"0,1%",0.1,35.47,46,"0,5%",0.5,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,RDM A5310,06/21,GLOBAL MAT.,G,SINO 1730,17,"RDM A5310 06/21 GLOBAL MAT. G SINO 1730 38.75 78 0,5% 7.10 73 0,1% 0.34 70 14% 43.84 70 0,1% 36.14 44 0,1%",38.75,78,"0,5%",0.5,7.1,73,"0,1%",0.1,0.34,70,14%,14.0,43.84,70,"0,1%",0.1,36.14,44,"0,1%",0.1,"P450,AOL,ACAB,MGTe_RE,MGTe"
Nelore,REMP 1611,10/21,REM1611L FIV GENETICA,G,REMP 816,17,"REMP 1611 10/21 REM1611L FIV GENETICA G REMP 816 37.40 70 1% 5.79 64 1% 1.54 63 0,1% 43.80 63 0,1% 34.96 46 1%",37.4,70,1%,1.0,5.79,64,1%,1.0,1.54,63,"0,1%",0.1,43.8,63,"0,1%",0.1,34.96,46,1%,1.0,"P450,AOL,ACAB,MGTe_RE,MGTe"
