breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MP120dep,MP120ac,MP120top,MP120top_pct,P120dep,P120ac,P120top,P120top_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,HORA 6190,11/21,LUTHER DA HORA,G,HORA 3986,26,"HORA 6190 11/21 LUTHER DA HORA G HORA 3986 2.90 43 16% 15.24 67 0,1% 23.55 73 0,1% 40.56 71 0,5% 1.51 62 5% 109 17 32.08 43 3%",2.9,43,16%,16.0,15.24,67,"0,1%",0.1,23.55,73,"0,1%",0.1,40.56,71,"0,5%",0.5,1.51,62,5%,5.0,32.08,43,3%,3.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,REM 12045,08/21,REM LEGACY GEN.ADT,G,REM A1576,26,"REM 12045 08/21 REM LEGACY GEN.ADT G REM A1576 3.19 44 13% 11.82 74 2% 21.04 76 1% 40.35 72 0,5% 1.45 60 6% 164 15 33.60 44 2%",3.19,44,13%,13.0,11.82,74,2%,2.0,21.04,76,1%,1.0,40.35,72,"0,5%",0.5,1.45,60,6%,6.0,33.6,44,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,AZAN 2509,07/19,TIRAMISU DA BELA,G,AZAN 1397,26,"AZAN 2509 07/19 TIRAMISU DA BELA G AZAN 1397 1.89 40 33% 12.14 65 1% 21.20 67 1% 40.26 70 0,5% 1.64 61 4% 67 6 30.35 40 4%",1.89,40,33%,33.0,12.14,65,1%,1.0,21.2,67,1%,1.0,40.26,70,"0,5%",0.5,1.64,61,4%,4.0,30.35,40,4%,4.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,FLOC 342,11/20,FAHAL OL TIMBO,G,REM A1576,26,"FLOC 342 11/20 FAHAL OL TIMBO G REM A1576 3.37 47 11% 9.52 68 6% 19.03 70 3% 39.97 71 0,5% 1.75 63 3% 42 3 31.67 47 3%",3.37,47,11%,11.0,9.52,68,6%,6.0,19.03,70,3%,3.0,39.97,71,"0,5%",0.5,1.75,63,3%,3.0,31.67,47,3%,3.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,REMP 726,10/18,REM HUJALA FIV GEN AD,G,REM 8933,26,"REMP 726 10/18 REM HUJALA FIV GEN AD G REM 8933 4.49 59 5% 12.15 86 1% 21.55 87 1% 39.85 93 0,5% 1.39 85 7% 528 32 32.84 59 2%",4.49,59,5%,5.0,12.15,86,1%,1.0,21.55,87,1%,1.0,39.85,93,"0,5%",0.5,1.39,85,7%,7.0,32.84,59,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,SINO 2878,10/21,HERON SINO,G,RDM A2162,26,"SINO 2878 10/21 HERON SINO G RDM A2162 7.95 41 0,1% 10.62 88 3% 22.67 90 0,5% 39.16 82 0,5% 2.48 79 0,1% 852 54 40.36 41 0,1%",7.95,41,"0,1%",0.1,10.62,88,3%,3.0,22.67,90,"0,5%",0.5,39.16,82,"0,5%",0.5,2.48,79,"0,1%",0.1,40.36,41,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,KAPO 1500,08/17,NOGARA KA,G,KAPM 1905,26,"KAPO 1500 08/17 NOGARA KA G KAPM 1905 5.38 61 2% 15.40 82 0,1% 27.82 83 0,1% 38.96 90 0,5% 1.25 81 9% 163 6 32.69 61 2%",5.38,61,2%,2.0,15.4,82,"0,1%",0.1,27.82,83,"0,1%",0.1,38.96,90,"0,5%",0.5,1.25,81,9%,9.0,32.69,61,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,JHVM 20573,08/20,HANOVER FIV CAMPARINO,G,JHVM 16068,26,"JHVM 20573 08/20 HANOVER FIV CAMPARINO G JHVM 16068 0.93 42 63% 10.22 64 4% 19.66 68 2% 38.80 68 0,5% 1.84 56 2% 81 10 31.38 42 3%",0.93,42,63%,63.0,10.22,64,4%,4.0,19.66,68,2%,2.0,38.8,68,"0,5%",0.5,1.84,56,2%,2.0,31.38,42,3%,3.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,PAU 5360,09/21,RECEIO FIV DA PAULETE,G,REM A1576,26,"PAU 5360 09/21 RECEIO FIV DA PAULETE G REM A1576 3.74 43 8% 12.46 65 1% 21.35 67 1% 38.79 66 0,5% 1.35 55 8% 48 5 32.43 43 2%",3.74,43,8%,8.0,12.46,65,1%,1.0,21.35,67,1%,1.0,38.79,66,"0,5%",0.5,1.35,55,8%,8.0,32.43,43,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,RDM A5310,06/21,GLOBAL MAT.,G,SINO 1730,26,"RDM A5310 06/21 GLOBAL MAT. G SINO 1730 3.99 44 7% 13.74 80 0,5% 24.11 81 0,1% 38.75 78 0,5% 1.33 70 8% 175 10 36.14 44 0,1%",3.99,44,7%,7.0,13.74,80,"0,5%",0.5,24.11,81,"0,1%",0.1,38.75,78,"0,5%",0.5,1.33,70,8%,8.0,36.14,44,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,KAPM 10287,11/19,PHD KA,G,REM 6447,26,"KAPM 10287 11/19 PHD KA G REM 6447 2.95 48 15% 14.42 80 0,1% 23.86 83 0,1% 38.73 82 0,5% 1.82 68 2% 344 5 33.76 48 2%",2.95,48,15%,15.0,14.42,80,"0,1%",0.1,23.86,83,"0,1%",0.1,38.73,82,"0,5%",0.5,1.82,68,2%,2.0,33.76,48,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,RDM A5295,06/21,GARFIELD MAT.,G,SINO 1730,26,"RDM A5295 06/21 GARFIELD MAT. G SINO 1730 4.88 50 3% 10.96 76 3% 21.18 75 1% 38.63 72 0,5% 1.80 66 3% 131 18 33.94 50 2%",4.88,50,3%,3.0,10.96,76,3%,3.0,21.18,75,1%,1.0,38.63,72,"0,5%",0.5,1.8,66,3%,3.0,33.94,50,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,REM 10447,11/18,REM HERCULES,G,REM 8933,26,"REM 10447 11/18 REM HERCULES G REM 8933 1.75 59 36% 13.73 84 0,5% 23.36 87 0,5% 38.57 86 0,5% 1.37 77 7% 363 18 29.74 59 4%",1.75,59,36%,36.0,13.73,84,"0,5%",0.5,23.36,87,"0,5%",0.5,38.57,86,"0,5%",0.5,1.37,77,7%,7.0,29.74,59,4%,4.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,AGJZ 774,08/20,IGAON FIV DA GAROUPA,G,REM A1553,26,"AGJZ 774 08/20 IGAON FIV DA GAROUPA G REM A1553 4.91 45 3% 11.44 75 2% 21.76 77 1% 38.47 80 1% 1.76 71 3% 178 23 36.90 45 0,1%",4.91,45,3%,3.0,11.44,75,2%,2.0,21.76,77,1%,1.0,38.47,80,1%,1.0,1.76,71,3%,3.0,36.9,45,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,KPA 12,09/20,QUAZAR KA,G,RDM A99,26,KPA 12 09/20 QUAZAR KA G RDM A99 4.16 43 6% 10.20 86 4% 19.02 89 3% 38.44 85 1% 2.00 76 1% 647 25 34.65 43 1%,4.16,43,6%,6.0,10.2,86,4%,4.0,19.02,89,3%,3.0,38.44,85,1%,1.0,2.0,76,1%,1.0,34.65,43,1%,1.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,FLOC 517,11/21,GÃŠNESIS FIV FLOC,G,REMP 816,26,"FLOC 517 11/21 GÃŠNESIS FIV FLOC G REMP 816 4.44 46 5% 7.91 71 11% 17.27 72 4% 38.31 69 1% 2.87 60 0,1% 174 16 36.50 46 0,1%",4.44,46,5%,5.0,7.91,71,11%,11.0,17.27,72,4%,4.0,38.31,69,1%,1.0,2.87,60,"0,1%",0.1,36.5,46,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,REMP 1660,11/21,REM LEGIONARIO FIV GE,G,REM A2239,26,"REMP 1660 11/21 REM LEGIONARIO FIV GE G REM A2239 2.78 46 17% 10.52 69 3% 19.70 73 2% 38.29 69 1% 1.36 58 7% 153 12 35.47 46 0,5%",2.78,46,17%,17.0,10.52,69,3%,3.0,19.7,73,2%,2.0,38.29,69,1%,1.0,1.36,58,7%,7.0,35.47,46,"0,5%",0.5,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,RDM A5492,07/21,GURUPI MAT.,G,REMP 602,26,"RDM A5492 07/21 GURUPI MAT. G REMP 602 6.92 44 0,1% 14.80 86 0,1% 24.90 91 0,1% 38.06 84 1% 2.46 81 0,1% 776 61 35.73 44 0,5%",6.92,44,"0,1%",0.1,14.8,86,"0,1%",0.1,24.9,91,"0,1%",0.1,38.06,84,1%,1.0,2.46,81,"0,1%",0.1,35.73,44,"0,5%",0.5,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,MDLO 2230,08/21,I2230 DA MDLO,G,SINO 1730,26,"MDLO 2230 08/21 I2230 DA MDLO G SINO 1730 4.27 46 6% 16.45 66 0,1% 22.72 71 0,5% 37.99 69 1% 1.44 58 6% 102 7 34.55 46 1%",4.27,46,6%,6.0,16.45,66,"0,1%",0.1,22.72,71,"0,5%",0.5,37.99,69,1%,1.0,1.44,58,6%,6.0,34.55,46,1%,1.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,MMVA 2510,12/17,GALACTICO DA JACAMIM,G,RDM 4153,26,MMVA 2510 12/17 GALACTICO DA JACAMIM G RDM 4153 2.62 53 19% 11.51 72 2% 20.02 76 2% 37.52 78 1% 0.90 72 18% 67 5 27.67 53 6%,2.62,53,19%,19.0,11.51,72,2%,2.0,20.02,76,2%,2.0,37.52,78,1%,1.0,0.9,72,18%,18.0,27.67,53,6%,6.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,XRGM 4111,08/19,IDEALIZADOR FIV DA XA,G,REMC 8053,26,"XRGM 4111 08/19 IDEALIZADOR FIV DA XA G REMC 8053 2.90 50 16% 12.09 73 2% 23.96 75 0,1% 37.34 78 1% 1.66 69 4% 78 20 33.62 50 2%",2.9,50,16%,16.0,12.09,73,2%,2.0,23.96,75,"0,1%",0.1,37.34,78,1%,1.0,1.66,69,4%,4.0,33.62,50,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,EAO B5278,09/20,B5278 FIV DA EAO,G,ACNP 3146,26,EAO B5278 09/20 B5278 FIV DA EAO G ACNP 3146 2.40 46 23% 10.39 73 4% 20.01 73 2% 37.34 77 1% 2.14 68 1% 69 5 32.45 46 2%,2.4,46,23%,23.0,10.39,73,4%,4.0,20.01,73,2%,2.0,37.34,77,1%,1.0,2.14,68,1%,1.0,32.45,46,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,EPCF 4353,08/20,ROLEX FIV DA TERRA BR,G,REM A1811,26,EPCF 4353 08/20 ROLEX FIV DA TERRA BR G REM A1811 5.41 49 2% 8.86 93 7% 15.94 92 6% 37.22 89 1% 1.00 85 15% 1279 72 34.75 49 1%,5.41,49,2%,2.0,8.86,93,7%,7.0,15.94,92,6%,6.0,37.22,89,1%,1.0,1.0,85,15%,15.0,34.75,49,1%,1.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,SINO 1730,01/19,EL ZORRERO SINO,G,REM A7,26,SINO 1730 01/19 EL ZORRERO SINO G REM A7 2.28 82 25% 12.05 97 2% 21.10 98 1% 37.18 99 1% 1.57 95 5% 4233 176 30.08 82 4%,2.28,82,25%,25.0,12.05,97,2%,2.0,21.1,98,1%,1.0,37.18,99,1%,1.0,1.57,95,5%,5.0,30.08,82,4%,4.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,BRMG 3862,10/19,BRASIL DA BEABISA,G,FPO 2683,26,"BRMG 3862 10/19 BRASIL DA BEABISA G FPO 2683 2.65 56 19% 12.95 84 1% 22.13 82 0,5% 37.01 88 1% 2.38 80 0,1% 323 40 35.49 56 0,5%",2.65,56,19%,19.0,12.95,84,1%,1.0,22.13,82,"0,5%",0.5,37.01,88,1%,1.0,2.38,80,"0,1%",0.1,35.49,56,"0,5%",0.5,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,RDM A5722,07/21,GOLDMAN MAT.,G,REMP 602,26,"RDM A5722 07/21 GOLDMAN MAT. G REMP 602 5.17 46 3% 10.15 86 4% 18.95 90 3% 36.61 86 1% 2.31 79 0,5% 827 33 33.25 46 2%",5.17,46,3%,3.0,10.15,86,4%,4.0,18.95,90,3%,3.0,36.61,86,1%,1.0,2.31,79,"0,5%",0.5,33.25,46,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,FVCP 1891,08/21,HERCULES FIV FVC,G,REMP 602,26,"FVCP 1891 08/21 HERCULES FIV FVC G REMP 602 8.28 45 0,1% 12.55 64 1% 19.55 66 2% 36.30 69 2% 2.65 59 0,1% 62 6 36.89 45 0,1%",8.28,45,"0,1%",0.1,12.55,64,1%,1.0,19.55,66,2%,2.0,36.3,69,2%,2.0,2.65,59,"0,1%",0.1,36.89,45,"0,1%",0.1,"MP120,P120,P210,P450,PE365,MGTe"
Nelore,ACNP 3587,09/18,CARVEN J MACHADO,G,REM 9449,26,ACNP 3587 09/18 CARVEN J MACHADO G REM 9449 0.25 49 82% 12.77 72 1% 20.93 75 1% 36.18 81 2% 1.31 73 8% 86 8 29.38 49 5%,0.25,49,82%,82.0,12.77,72,1%,1.0,20.93,75,1%,1.0,36.18,81,2%,2.0,1.31,73,8%,8.0,29.38,49,5%,5.0,"MP120,P120,P210,P450,PE365,MGTe"
