breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,MP210dep,MP210ac,MP210top,MP210top_pct,PACdep,PACac,PACtop,PACtop_pct,P450dep,P450ac,P450top,P450top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,UBER 1622,09/17,MR UBER BACKUP 1622,G,UBER 461,56,"UBER 1622 09/17 MR UBER BACKUP 1622 G UBER 461 -0.04 43 80% 3.80 39 0,5% 2.47 47 5% 0.21 33 58% 15.26 57 3% 36 2 16.56 39 3%",-0.04,43,80%,80.0,3.8,39,"0,5%",0.5,2.47,47,5%,5.0,0.21,33,58%,58.0,15.26,57,3%,3.0,16.56,39,3%,3.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Brahman,UBER 401,02/09,MR UBER POI 401,G,718788,56,UBER 401 02/09 MR UBER POI 401 G 718788 -0.46 48 30% 3.37 49 1% 2.56 40 5% 1.34 36 17% 10.19 63 15% 60 6 15.23 48 5%,-0.46,48,30%,30.0,3.37,49,1%,1.0,2.56,40,5%,5.0,1.34,36,17%,17.0,10.19,63,15%,15.0,15.23,48,5%,5.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Brahman,UBER 461,10/09,MR UBER ARAGUAIA 461,G,UBER 153,56,UBER 461 10/09 MR UBER ARAGUAIA 461 G UBER 153 -0.46 54 30% 2.35 52 4% 1.34 42 13% 0.36 34 52% 3.32 73 77% 79 9 9.69 52 21%,-0.46,54,30%,30.0,2.35,52,4%,4.0,1.34,42,13%,13.0,0.36,34,52%,52.0,3.32,73,77%,77.0,9.69,52,21%,21.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Brahman,UBER 1506,12/15,MR UBER JATOBA 1506,G,UBER 783,56,UBER 1506 12/15 MR UBER JATOBA 1506 G UBER 783 0.21 37 98% 2.00 40 6% -2.06 44 92% 2.02 42 7% 11.21 59 11% 25 2 12.04 37 12%,0.21,37,98%,98.0,2.0,40,6%,6.0,-2.06,44,92%,92.0,2.02,42,7%,7.0,11.21,59,11%,11.0,12.04,37,12%,12.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Brahman,UBER 656,12/10,MR UBER POI 656,G,718788,56,UBER 656 12/10 MR UBER POI 656 G 718788 -0.52 31 25% 1.97 38 6% -3.06 49 98% -1.36 44 98% 8.60 60 22% 5 3 18.42 31 1%,-0.52,31,25%,25.0,1.97,38,6%,6.0,-3.06,49,98%,98.0,-1.36,44,98%,98.0,8.6,60,22%,22.0,18.42,31,1%,1.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Brahman,EAOH 775,08/08,NALTO TE DA EAO,G,2505,56,EAOH 775 08/08 NALTO TE DA EAO G 2505 -0.95 43 3% 1.81 49 8% 0.15 47 47% -0.13 45 76% 6.86 44 32% 14 2 10.40 43 18%,-0.95,43,3%,3.0,1.81,49,8%,8.0,0.15,47,47%,47.0,-0.13,45,76%,76.0,6.86,44,32%,32.0,10.4,43,18%,18.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Brahman,CSCP 1579,10/19,1579 DE NAVIRAI,,BRBR 432,56,CSCP 1579 10/19 1579 DE NAVIRAI BRBR 432 -0.21 10 60% 1.59 44 10% 2.53 11 5% 1.74 5 10% -4.81 42 100% 11 1 11.18 10 15%,-0.21,10,60%,60.0,1.59,44,10%,10.0,2.53,11,5%,5.0,1.74,5,10%,10.0,-4.81,42,100%,100.0,11.18,10,15%,15.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Brahman,AMRO 480,07/10,MR BR 77 480,G,AMRO 95,56,AMRO 480 07/10 MR BR 77 480 G AMRO 95 -0.20 43 62% 1.32 44 13% 0.55 50 33% -1.91 46 100% 12.09 38 9% 20 3 10.62 38 17%,-0.2,43,62%,62.0,1.32,44,13%,13.0,0.55,50,33%,33.0,-1.91,46,100%,100.0,12.09,38,9%,9.0,10.62,38,17%,17.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Brahman,OBGP 4138,10/14,DUBAS FIV OB,,OBGP 1193,56,OBGP 4138 10/14 DUBAS FIV OB OBGP 1193 -0.69 20 13% 1.31 23 13% -1.44 19 84% -0.10 12 73% 13.12 30 5% 5 1 16.69 20 3%,-0.69,20,13%,13.0,1.31,23,13%,13.0,-1.44,19,84%,84.0,-0.1,12,73%,73.0,13.12,30,5%,5.0,16.69,20,3%,3.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Brahman,CABR 1769,09/11,CABR IOTIN,,1769 846561,56,"CABR 1769 09/11 CABR IOTIN 1769 846561 -0.81 20 8% 1.29 23 14% 2.71 18 4% 0.90 8 29% 15.44 23 2% 27 3 19.84 20 0,5%",-0.81,20,8%,8.0,1.29,23,14%,14.0,2.71,18,4%,4.0,0.9,8,29%,29.0,15.44,23,2%,2.0,19.84,20,"0,5%",0.5,"IPP,MP120,MP210,PAC,P450,MGTe"
Brahman,OBGP 1193,09/09,MATRIX OB,G,OBGP 367,56,OBGP 1193 09/09 MATRIX OB G OBGP 367 -0.55 59 23% 1.26 60 14% -2.04 49 91% -0.35 51 84% 14.95 79 3% 279 6 14.95 59 5%,-0.55,59,23%,23.0,1.26,60,14%,14.0,-2.04,49,91%,91.0,-0.35,51,84%,84.0,14.95,79,3%,3.0,14.95,59,5%,5.0,"IPP,MP120,MP210,PAC,P450,MGTe"
