breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,892788,02/10,LMC POLLED SAMBO,,45/0 840677,55,"892788 02/10 LMC POLLED SAMBO 45/0 840677 -0.93 17 4% 57.96 5 31% 0.21 17 62% -3.05 6 99% 1.97 28 0,5% 20 2 12.21 5 11%",-0.93,17,4%,4.0,57.96,5,31%,31.0,0.21,17,62%,62.0,-3.05,6,99%,99.0,1.97,28,"0,5%",0.5,12.21,5,11%,11.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,EAOC 477,12/17,RED LABEL,,EAO 761624,55,EAOC 477 12/17 RED LABEL EAO 761624 -0.42 13 33% 56.56 19 58% 0.37 24 53% 9.96 13 16% 1.18 28 1% 6 1 12.13 13 12%,-0.42,13,33%,33.0,56.56,19,58%,58.0,0.37,24,53%,53.0,9.96,13,16%,16.0,1.18,28,1%,1.0,12.13,13,12%,12.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,CABR 1700,12/10,CABR MR GALUR,,1700 803613,55,CABR 1700 12/10 CABR MR GALUR 1700 803613 -0.49 24 28% 60.15 38 20% -3.03 55 96% 4.80 41 64% 1.14 69 1% 141 6 7.59 22 34%,-0.49,24,28%,28.0,60.15,38,20%,20.0,-3.03,55,96%,96.0,4.8,41,64%,64.0,1.14,69,1%,1.0,7.59,22,34%,34.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,MBR954072,06/13,PRADERA SABALETICAS,,E MBR721293,55,MBR954072 06/13 PRADERA SABALETICAS E MBR721293 0.11 12 94% 67.53 8 4% -3.64 12 98% 5.16 6 60% 1.03 25 2% 6 2 8.62 6 27%,0.11,12,94%,94.0,67.53,8,4%,4.0,-3.64,12,98%,98.0,5.16,6,60%,60.0,1.03,25,2%,2.0,8.62,6,27%,27.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,CSCP 1579,10/19,1579 DE NAVIRAI,,BRBR 432,55,CSCP 1579 10/19 1579 DE NAVIRAI BRBR 432 -0.21 10 60% 66.63 47 4% -5.18 48 100% -4.81 42 100% 1.00 44 2% 12 1 11.18 10 15%,-0.21,10,60%,60.0,66.63,47,4%,4.0,-5.18,48,100%,100.0,-4.81,42,100%,100.0,1.0,44,2%,2.0,11.18,10,15%,15.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,877814,09/08,JDH RUSSO MANSO,,631/1 846561,55,877814 09/08 JDH RUSSO MANSO 631/1 846561 -0.42 17 33% 55.33 24 72% 1.02 43 38% -3.18 10 99% 0.82 57 2% 34 4 7.78 10 32%,-0.42,17,33%,33.0,55.33,24,72%,72.0,1.02,43,38%,38.0,-3.18,10,99%,99.0,0.82,57,2%,2.0,7.78,10,32%,32.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,FDIB 3089,11/18,MR PRATA 3089,,2I ELR3981,55,FDIB 3089 11/18 MR PRATA 3089 2I ELR3981 -0.11 11 74% 71.19 50 2% 1.54 56 31% 8.35 42 23% 0.82 53 2% 44 1 11.08 8 15%,-0.11,11,74%,74.0,71.19,50,2%,2.0,1.54,56,31%,31.0,8.35,42,23%,23.0,0.82,53,2%,2.0,11.08,8,15%,15.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,EAOC 492,09/18,BAROLO EAO,,EAOH 775,55,EAOC 492 09/18 BAROLO EAO EAOH 775 -0.73 8 11% 72.31 13 1% -3.01 27 96% 5.82 20 40% 0.80 42 2% 14 2 12.91 8 9%,-0.73,8,11%,11.0,72.31,13,1%,1.0,-3.01,27,96%,96.0,5.82,20,40%,40.0,0.8,42,2%,2.0,12.91,8,9%,9.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,CSCP 1193,11/14,1193 DE NAVIRAI,G,WRRB 115,55,CSCP 1193 11/14 1193 DE NAVIRAI G WRRB 115 -0.58 46 20% 56.91 41 55% 2.09 40 25% 7.96 48 25% 0.79 48 2% 9 1 13.61 38 8%,-0.58,46,20%,20.0,56.91,41,55%,55.0,2.09,40,25%,25.0,7.96,48,25%,25.0,0.79,48,2%,2.0,13.61,38,8%,8.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,902044,03/11,JDH CLANTON DE,,MANSO 839863,55,"902044 03/11 JDH CLANTON DE MANSO 839863 -1.51 22 0,1% 60.42 17 19% 2.99 53 18% 15.99 71 2% 0.77 71 2% 78 6 13.00 17 9%",-1.51,22,"0,1%",0.1,60.42,17,19%,19.0,2.99,53,18%,18.0,15.99,71,2%,2.0,0.77,71,2%,2.0,13.0,17,9%,9.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,UBER 336,02/08,MR UBER POI 336,G,630321,55,UBER 336 02/08 MR UBER POI 336 G 630321 -0.89 43 5% 61.28 49 15% 2.68 48 20% 7.61 50 27% 0.76 51 2% 27 3 16.15 39 3%,-0.89,43,5%,5.0,61.28,49,15%,15.0,2.68,48,20%,20.0,7.61,50,27%,27.0,0.76,51,2%,2.0,16.15,39,3%,3.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,AMRO 1270,10/15,MR BR 77 1270,G,AMRO 806,55,AMRO 1270 10/15 MR BR 77 1270 G AMRO 806 0.00 43 85% 56.59 50 58% 4.79 71 10% 5.63 72 46% 0.73 83 3% 231 7 7.50 38 34%,0.0,43,85%,85.0,56.59,50,58%,58.0,4.79,71,10%,10.0,5.63,72,46%,46.0,0.73,83,3%,3.0,7.5,38,34%,34.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,CABR 1769,09/11,CABR IOTIN,,1769 846561,55,"CABR 1769 09/11 CABR IOTIN 1769 846561 -0.81 20 8% 56.78 29 56% 7.24 33 4% 15.44 23 2% 0.72 51 3% 28 2 19.84 20 0,5%",-0.81,20,8%,8.0,56.78,29,56%,56.0,7.24,33,4%,4.0,15.44,23,2%,2.0,0.72,51,3%,3.0,19.84,20,"0,5%",0.5,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,VPJB 926,01/15,VPJ MR HARD 926,G,858252,55,VPJB 926 01/15 VPJ MR HARD 926 G 858252 -0.12 31 73% 58.98 44 26% 0.42 42 50% 13.36 51 5% 0.71 48 3% 5 2 11.93 31 12%,-0.12,31,73%,73.0,58.98,44,26%,26.0,0.42,42,50%,50.0,13.36,51,5%,5.0,0.71,48,3%,3.0,11.93,31,12%,12.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,ROJO 229,01/11,MR. ROJO,,229 864762,55,ROJO 229 01/11 MR. ROJO 229 864762 -0.77 16 9% 62.08 20 13% 4.75 34 10% 10.19 8 15% 0.69 46 3% 20 4 14.15 8 7%,-0.77,16,9%,9.0,62.08,20,13%,13.0,4.75,34,10%,10.0,10.19,8,15%,15.0,0.69,46,3%,3.0,14.15,8,7%,7.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,EAOH 775,08/08,NALTO TE DA EAO,G,2505,55,EAOH 775 08/08 NALTO TE DA EAO G 2505 -0.95 43 3% 65.61 47 6% 0.19 47 63% 6.86 44 32% 0.68 54 3% 11 1 10.40 43 18%,-0.95,43,3%,3.0,65.61,47,6%,6.0,0.19,47,63%,63.0,6.86,44,32%,32.0,0.68,54,3%,3.0,10.4,43,18%,18.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,LTQ 354,10/16,354 FIV DE LA,,TRANQUE 839863,55,LTQ 354 10/16 354 FIV DE LA TRANQUE 839863 -0.90 17 5% 57.78 26 40% 1.31 30 34% 8.77 10 21% 0.68 43 3% 12 1 9.21 10 24%,-0.9,17,5%,5.0,57.78,26,40%,40.0,1.31,30,34%,34.0,8.77,10,21%,21.0,0.68,43,3%,3.0,9.21,10,24%,24.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,BRCL 694,11/11,MR BCOL FRATELLO,,GOOD 92,55,"BRCL 694 11/11 MR BCOL FRATELLO GOOD 92 -0.74 26 10% 76.98 51 0,5% 3.44 47 16% 16.90 46 1% 0.66 61 4% 46 1 21.57 12 0,5%",-0.74,26,10%,10.0,76.98,51,"0,5%",0.5,3.44,47,16%,16.0,16.9,46,1%,1.0,0.66,61,4%,4.0,21.57,12,"0,5%",0.5,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,LLBR 666,07/17,MISTER INCA SHOW,,AMRO 97,55,LLBR 666 07/17 MISTER INCA SHOW AMRO 97 -0.60 7 19% 58.11 53 30% 4.05 51 13% 16.48 49 2% 0.62 57 7% 41 1 9.55 7 22%,-0.6,7,19%,19.0,58.11,53,30%,30.0,4.05,51,13%,13.0,16.48,49,2%,2.0,0.62,57,7%,7.0,9.55,7,22%,22.0,"IPP,STAY,P210,P450,PE365,MGTe"
Brahman,GOOD 1068,11/07,GOOD BRAHMANIA,,1068 660295,55,GOOD 1068 11/07 GOOD BRAHMANIA 1068 660295 -0.74 20 10% 66.51 33 5% 1.84 38 28% 11.42 9 10% 0.62 52 7% 20 3 14.32 9 6%,-0.74,20,10%,10.0,66.51,33,5%,5.0,1.84,38,28%,28.0,11.42,9,10%,10.0,0.62,52,7%,7.0,14.32,9,6%,6.0,"IPP,STAY,P210,P450,PE365,MGTe"
