breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Sindi,AJCA 1613,10/11,UNICEFANO DA ESTIVA,,AJCA 1084,83,AJCA 1613 10/11 UNICEFANO DA ESTIVA AJCA 1084 0.39 6 86% 12.49 9 7% 0.63 15 15% 1.37 16 3% 0.52 14 5% 23.81 6 3%,0.39,6,86%,86.0,12.49,9,7%,7.0,0.63,15,15%,15.0,1.37,16,3%,3.0,0.52,14,5%,5.0,23.81,6,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,EMGS 830,06/07,FIGO-E,,EMGS 472,83,"EMGS 830 06/07 FIGO-E EMGS 472 -0.28 9 6% 30.71 13 0,5% -0.33 7 88% -0.64 15 98% 0.49 21 5% 25.24 7 2%",-0.28,9,6%,6.0,30.71,13,"0,5%",0.5,-0.33,7,88%,88.0,-0.64,15,98%,98.0,0.49,21,5%,5.0,25.24,7,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCF 570,08/14,FRAZAO AJCF,,AJCF 99,83,AJCF 570 08/14 FRAZAO AJCF AJCF 99 0.38 10 85% 15.31 21 4% 0.49 9 22% 1.36 10 3% 0.46 9 6% 25.78 8 2%,0.38,10,85%,85.0,15.31,21,4%,4.0,0.49,9,22%,22.0,1.36,10,3%,3.0,0.46,9,6%,6.0,25.78,8,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 4199,09/19,MOGLI FIV DA ESTIVA,,AJCF 712,83,AJCA 4199 09/19 MOGLI FIV DA ESTIVA AJCF 712 0.37 12 84% 8.21 11 15% -0.45 12 93% -0.10 13 68% 0.45 18 7% 8.83 6 39%,0.37,12,84%,84.0,8.21,11,15%,15.0,-0.45,12,93%,93.0,-0.1,13,68%,68.0,0.45,18,7%,7.0,8.83,6,39%,39.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,JTSJ 76,02/15,HEBREU BOMPASTO,,AJCA 1094,83,JTSJ 76 02/15 HEBREU BOMPASTO AJCA 1094 -0.21 6 9% -5.11 10 88% 0.74 32 12% 0.48 14 23% 0.45 17 7% 18.51 6 8%,-0.21,6,9%,9.0,-5.11,10,88%,88.0,0.74,32,12%,12.0,0.48,14,23%,23.0,0.45,17,7%,7.0,18.51,6,8%,8.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCF 129,07/10,BELO AJCF,,AJCA 1094,83,AJCF 129 07/10 BELO AJCF AJCA 1094 -0.17 40 12% 1.86 51 50% -0.08 44 73% -0.19 48 80% 0.35 50 13% 16.99 40 12%,-0.17,40,12%,12.0,1.86,51,50%,50.0,-0.08,44,73%,73.0,-0.19,48,80%,80.0,0.35,50,13%,13.0,16.99,40,12%,12.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 945,12/06,PINTOR DA ESTIVA,,AJCA 699,83,AJCA 945 12/06 PINTOR DA ESTIVA AJCA 699 0.39 13 86% 8.64 13 13% 2.33 11 3% 0.18 19 40% 0.34 20 14% 22.59 10 4%,0.39,13,86%,86.0,8.64,13,13%,13.0,2.33,11,3%,3.0,0.18,19,40%,40.0,0.34,20,14%,14.0,22.59,10,4%,4.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,CENS 268,08/19,CENS 268,,AJCA 1528,83,CENS 268 08/19 CENS 268 AJCA 1528 -0.03 18 27% 13.64 18 6% 0.86 18 10% 0.92 20 9% 0.34 18 14% 18.82 18 8%,-0.03,18,27%,27.0,13.64,18,6%,6.0,0.86,18,10%,10.0,0.92,20,9%,9.0,0.34,18,14%,14.0,18.82,18,8%,8.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 1827,01/13,XILON,,DA ESTIVA,83,AJCA 1827 01/13 XILON DA ESTIVA 0.42 29 90% -17.03 10 97% 0.81 75 10% 0.61 18 19% 0.33 17 15% 8.88 10 39%,0.42,29,90%,90.0,-17.03,10,97%,97.0,0.81,75,10%,10.0,0.61,18,19%,19.0,0.33,17,15%,15.0,8.88,10,39%,39.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,VIB 143,10/18,ELGON FIV DON,,AJCA 1094,83,VIB 143 10/18 ELGON FIV DON AJCA 1094 0.35 7 82% 9.65 10 11% 0.66 14 14% 1.82 12 2% 0.33 16 15% 24.17 7 3%,0.35,7,82%,82.0,9.65,10,11%,11.0,0.66,14,14%,14.0,1.82,12,2%,2.0,0.33,16,15%,15.0,24.17,7,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 4242,10/19,MAESTRO DA ESTIVA,,AJCA 1613,83,AJCA 4242 10/19 MAESTRO DA ESTIVA AJCA 1613 -0.01 28 30% 12.12 6 7% 0.21 6 42% 0.76 10 14% 0.32 10 16% 17.76 6 10%,-0.01,28,30%,30.0,12.12,6,7%,7.0,0.21,6,42%,42.0,0.76,10,14%,14.0,0.32,10,16%,16.0,17.76,6,10%,10.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
