breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Sindi,CICS 23,04/16,CANRY FIV BAGUASSU,,SHFC 12,83,CICS 23 04/16 CANRY FIV BAGUASSU SHFC 12 -0.21 14 9% 0.45 22 60% 0.26 43 38% 1.43 17 3% 0.27 10 22% 16.71 6 12%,-0.21,14,9%,9.0,0.45,22,60%,60.0,0.26,43,38%,38.0,1.43,17,3%,3.0,0.27,10,22%,22.0,16.71,6,12%,12.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,CICS 173,03/20,LUT FIV DO BAGUASSU,,AJCA 1827,83,CICS 173 03/20 LUT FIV DO BAGUASSU AJCA 1827 0.31 9 75% -12.25 7 96% 0.23 21 40% 0.38 18 28% 0.26 11 24% 9.63 7 36%,0.31,9,75%,75.0,-12.25,7,96%,96.0,0.23,21,40%,40.0,0.38,18,28%,28.0,0.26,11,24%,24.0,9.63,7,36%,36.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,VIB 325,09/21,HEBRON FIV DON,,AJCA 1827,83,VIB 325 09/21 HEBRON FIV DON AJCA 1827 0.35 12 82% -10.80 10 95% 0.83 25 10% 0.29 21 33% 0.26 10 24% 15.39 8 16%,0.35,12,82%,82.0,-10.8,10,95%,95.0,0.83,25,10%,10.0,0.29,21,33%,33.0,0.26,10,24%,24.0,15.39,8,16%,16.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,POP 1868,09/11,COMANDO P,,POP 1413,83,POP 1868 09/11 COMANDO P POP 1413 0.34 9 80% 20.75 8 2% -0.38 10 90% 1.40 17 3% 0.25 13 25% 23.09 7 3%,0.34,9,80%,80.0,20.75,8,2%,2.0,-0.38,10,90%,90.0,1.4,17,3%,3.0,0.25,13,25%,25.0,23.09,7,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,POP 1121,06/06,VINAGRE P,,MDVS 2011,83,POP 1121 06/06 VINAGRE P MDVS 2011 -0.43 21 1% 18.00 7 3% -1.13 23 100% 0.39 20 28% 0.23 11 28% 14.06 7 20%,-0.43,21,1%,1.0,18.0,7,3%,3.0,-1.13,23,100%,100.0,0.39,20,28%,28.0,0.23,11,28%,28.0,14.06,7,20%,20.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,CICS 190,08/20,CLIFF FIV DO BAGUASSU,,IASR 182,83,"CICS 190 08/20 CLIFF FIV DO BAGUASSU IASR 182 -0.13 13 15% 8.38 13 14% 4.34 4 0,5% -0.16 11 77% 0.21 14 30% 7.96 4 42%",-0.13,13,15%,15.0,8.38,13,14%,14.0,4.34,4,"0,5%",0.5,-0.16,11,77%,77.0,0.21,14,30%,30.0,7.96,4,42%,42.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,POP 1590,02/10,BOLERO P,,POP 1121,83,POP 1590 02/10 BOLERO P POP 1121 0.56 17 98% 24.87 9 1% 0.79 10 11% 0.27 17 34% 0.21 13 30% 15.26 9 17%,0.56,17,98%,98.0,24.87,9,1%,1.0,0.79,10,11%,11.0,0.27,17,34%,34.0,0.21,13,30%,30.0,15.26,9,17%,17.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,HLCS 347,01/20,IBOPE PORANGABA,,AJCA 945,83,HLCS 347 01/20 IBOPE PORANGABA AJCA 945 0.17 8 54% 4.30 11 34% 1.17 8 7% 0.00 10 57% 0.20 11 32% 7.25 8 45%,0.17,8,54%,54.0,4.3,11,34%,34.0,1.17,8,7%,7.0,0.0,10,57%,57.0,0.2,11,32%,32.0,7.25,8,45%,45.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,JHVS 1632,09/19,1632 CAMPARINO,,AJCA 1827,83,JHVS 1632 09/19 1632 CAMPARINO AJCA 1827 0.22 9 62% -10.99 7 96% 0.01 24 64% 0.22 14 38% 0.20 11 32% 7.34 7 44%,0.22,9,62%,62.0,-10.99,7,96%,96.0,0.01,24,64%,64.0,0.22,14,38%,38.0,0.2,11,32%,32.0,7.34,7,44%,44.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,CICS 195,08/20,GLOOGIE FIV DO BAGUAS,,IASR 182,83,"CICS 195 08/20 GLOOGIE FIV DO BAGUAS IASR 182 -0.10 12 17% 9.42 17 12% 4.37 20 0,5% -0.12 17 72% 0.19 15 33% 8.80 11 39%",-0.1,12,17%,17.0,9.42,17,12%,12.0,4.37,20,"0,5%",0.5,-0.12,17,72%,72.0,0.19,15,33%,33.0,8.8,11,39%,39.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 1430,09/10,TOPAZIO DA ESTIVA,,AJCF 6,83,"AJCA 1430 09/10 TOPAZIO DA ESTIVA AJCF 6 0.44 5 92% 32.15 6 0,1% 0.38 13 29% 1.79 19 2% 0.19 9 33% 25.69 5 2%",0.44,5,92%,92.0,32.15,6,"0,1%",0.1,0.38,13,29%,29.0,1.79,19,2%,2.0,0.19,9,33%,33.0,25.69,5,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 2889,03/17,JETEU DA ESTIVA,,AJCF 318,83,AJCA 2889 03/17 JETEU DA ESTIVA AJCF 318 0.11 12 46% 11.69 13 8% 0.23 7 40% 0.34 13 31% 0.18 13 35% 11.13 7 31%,0.11,12,46%,46.0,11.69,13,8%,8.0,0.23,7,40%,40.0,0.34,13,31%,31.0,0.18,13,35%,35.0,11.13,7,31%,31.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,JHVS 1426,11/18,JUVENTUS CAMPARINO,,JHVS 543,83,JHVS 1426 11/18 JUVENTUS CAMPARINO JHVS 543 0.25 6 66% 1.45 8 53% 0.09 18 54% 0.61 19 19% 0.17 13 36% 15.23 6 17%,0.25,6,66%,66.0,1.45,8,53%,53.0,0.09,18,54%,54.0,0.61,19,19%,19.0,0.17,13,36%,36.0,15.23,6,17%,17.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,JHVS 1650,11/19,IMPERADOR CAMPARINO,,JTSJ 108,83,JHVS 1650 11/19 IMPERADOR CAMPARINO JTSJ 108 -0.22 43 9% 11.44 45 8% -0.12 39 77% -0.59 33 98% 0.15 47 39% 26.62 33 2%,-0.22,43,9%,9.0,11.44,45,8%,8.0,-0.12,39,77%,77.0,-0.59,33,98%,98.0,0.15,47,39%,39.0,26.62,33,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
