breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Sindi,VIB 143,10/18,ELGON FIV DON,,AJCA 1094,82,VIB 143 10/18 ELGON FIV DON AJCA 1094 0.35 7 82% 9.65 10 11% 0.66 14 14% 1.82 12 2% 0.33 16 15% 24.17 7 3%,0.35,7,82%,82.0,9.65,10,11%,11.0,0.66,14,14%,14.0,1.82,12,2%,2.0,0.33,16,15%,15.0,24.17,7,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 1430,09/10,TOPAZIO DA ESTIVA,,AJCF 6,82,"AJCA 1430 09/10 TOPAZIO DA ESTIVA AJCF 6 0.44 5 92% 32.15 6 0,1% 0.38 13 29% 1.79 19 2% 0.19 9 33% 25.69 5 2%",0.44,5,92%,92.0,32.15,6,"0,1%",0.1,0.38,13,29%,29.0,1.79,19,2%,2.0,0.19,9,33%,33.0,25.69,5,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,CICS 23,04/16,CANRY FIV BAGUASSU,,SHFC 12,82,CICS 23 04/16 CANRY FIV BAGUASSU SHFC 12 -0.21 14 9% 0.45 22 60% 0.26 43 38% 1.43 17 3% 0.27 10 22% 16.71 6 12%,-0.21,14,9%,9.0,0.45,22,60%,60.0,0.26,43,38%,38.0,1.43,17,3%,3.0,0.27,10,22%,22.0,16.71,6,12%,12.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,POP 1868,09/11,COMANDO P,,POP 1413,82,POP 1868 09/11 COMANDO P POP 1413 0.34 9 80% 20.75 8 2% -0.38 10 90% 1.40 17 3% 0.25 13 25% 23.09 7 3%,0.34,9,80%,80.0,20.75,8,2%,2.0,-0.38,10,90%,90.0,1.4,17,3%,3.0,0.25,13,25%,25.0,23.09,7,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 1613,10/11,UNICEFANO DA ESTIVA,,AJCA 1084,82,AJCA 1613 10/11 UNICEFANO DA ESTIVA AJCA 1084 0.39 6 86% 12.49 9 7% 0.63 15 15% 1.37 16 3% 0.52 14 5% 23.81 6 3%,0.39,6,86%,86.0,12.49,9,7%,7.0,0.63,15,15%,15.0,1.37,16,3%,3.0,0.52,14,5%,5.0,23.81,6,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCF 570,08/14,FRAZAO AJCF,,AJCF 99,82,AJCF 570 08/14 FRAZAO AJCF AJCF 99 0.38 10 85% 15.31 21 4% 0.49 9 22% 1.36 10 3% 0.46 9 6% 25.78 8 2%,0.38,10,85%,85.0,15.31,21,4%,4.0,0.49,9,22%,22.0,1.36,10,3%,3.0,0.46,9,6%,6.0,25.78,8,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 1124,01/08,REGISTRO DA ESTIVA,,AJCA 780,82,AJCA 1124 01/08 REGISTRO DA ESTIVA AJCA 780 0.26 8 68% 8.24 19 15% 0.64 27 15% 1.29 12 4% -0.08 20 74% 19.53 8 7%,0.26,8,68%,68.0,8.24,19,15%,15.0,0.64,27,15%,15.0,1.29,12,4%,4.0,-0.08,20,74%,74.0,19.53,8,7%,7.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 2879,02/17,JACARE DA ESTIVA,,AJCA 1124,82,AJCA 2879 02/17 JACARE DA ESTIVA AJCA 1124 0.19 26 56% 8.27 6 15% 0.53 13 20% 1.21 9 5% -0.13 9 81% 24.28 6 3%,0.19,26,56%,56.0,8.27,6,15%,15.0,0.53,13,20%,20.0,1.21,9,5%,5.0,-0.13,9,81%,81.0,24.28,6,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,CENS 268,08/19,CENS 268,,AJCA 1528,82,CENS 268 08/19 CENS 268 AJCA 1528 -0.03 18 27% 13.64 18 6% 0.86 18 10% 0.92 20 9% 0.34 18 14% 18.82 18 8%,-0.03,18,27%,27.0,13.64,18,6%,6.0,0.86,18,10%,10.0,0.92,20,9%,9.0,0.34,18,14%,14.0,18.82,18,8%,8.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,JHVS 532,01/16,532,,FIV CAMPARINO,82,"JHVS 532 01/16 532 FIV CAMPARINO -0.48 6 0,5% 5.66 7 26% 0.80 31 11% 0.89 13 10% 0.12 11 44% 20.53 6 6%",-0.48,6,"0,5%",0.5,5.66,7,26%,26.0,0.8,31,11%,11.0,0.89,13,10%,10.0,0.12,11,44%,44.0,20.53,6,6%,6.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,JHVS 2189,10/22,XEQUE CAMPARINO,,AJCA 3564,82,JHVS 2189 10/22 XEQUE CAMPARINO AJCA 3564 -0.03 45 27% 3.13 49 41% -1.01 42 100% 0.83 49 12% 0.13 45 43% 14.66 42 19%,-0.03,45,27%,27.0,3.13,49,41%,41.0,-1.01,42,100%,100.0,0.83,49,12%,12.0,0.13,45,43%,43.0,14.66,42,19%,19.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 4242,10/19,MAESTRO DA ESTIVA,,AJCA 1613,82,AJCA 4242 10/19 MAESTRO DA ESTIVA AJCA 1613 -0.01 28 30% 12.12 6 7% 0.21 6 42% 0.76 10 14% 0.32 10 16% 17.76 6 10%,-0.01,28,30%,30.0,12.12,6,7%,7.0,0.21,6,42%,42.0,0.76,10,14%,14.0,0.32,10,16%,16.0,17.76,6,10%,10.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 4611,04/20,NESTOR DA ESTIVA,,AJCA 2531,82,AJCA 4611 04/20 NESTOR DA ESTIVA AJCA 2531 0.07 18 40% 9.35 18 12% 0.17 18 45% 0.74 17 14% 0.13 17 43% 12.30 17 27%,0.07,18,40%,40.0,9.35,18,12%,12.0,0.17,18,45%,45.0,0.74,17,14%,14.0,0.13,17,43%,43.0,12.3,17,27%,27.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 4800,08/20,NEXEL FIV DA ESTIVA,,AJCA 1430,82,AJCA 4800 08/20 NEXEL FIV DA ESTIVA AJCA 1430 0.39 11 86% 15.93 18 4% 0.46 8 24% 0.65 13 17% 0.05 18 54% 13.51 8 22%,0.39,11,86%,86.0,15.93,18,4%,4.0,0.46,8,24%,24.0,0.65,13,17%,17.0,0.05,18,54%,54.0,13.51,8,22%,22.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,JHVS 1426,11/18,JUVENTUS CAMPARINO,,JHVS 543,82,JHVS 1426 11/18 JUVENTUS CAMPARINO JHVS 543 0.25 6 66% 1.45 8 53% 0.09 18 54% 0.61 19 19% 0.17 13 36% 15.23 6 17%,0.25,6,66%,66.0,1.45,8,53%,53.0,0.09,18,54%,54.0,0.61,19,19%,19.0,0.17,13,36%,36.0,15.23,6,17%,17.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 1827,01/13,XILON,,DA ESTIVA,82,AJCA 1827 01/13 XILON DA ESTIVA 0.42 29 90% -17.03 10 97% 0.81 75 10% 0.61 18 19% 0.33 17 15% 8.88 10 39%,0.42,29,90%,90.0,-17.03,10,97%,97.0,0.81,75,10%,10.0,0.61,18,19%,19.0,0.33,17,15%,15.0,8.88,10,39%,39.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,JTSJ 76,02/15,HEBREU BOMPASTO,,AJCA 1094,82,JTSJ 76 02/15 HEBREU BOMPASTO AJCA 1094 -0.21 6 9% -5.11 10 88% 0.74 32 12% 0.48 14 23% 0.45 17 7% 18.51 6 8%,-0.21,6,9%,9.0,-5.11,10,88%,88.0,0.74,32,12%,12.0,0.48,14,23%,23.0,0.45,17,7%,7.0,18.51,6,8%,8.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,POP 1121,06/06,VINAGRE P,,MDVS 2011,82,POP 1121 06/06 VINAGRE P MDVS 2011 -0.43 21 1% 18.00 7 3% -1.13 23 100% 0.39 20 28% 0.23 11 28% 14.06 7 20%,-0.43,21,1%,1.0,18.0,7,3%,3.0,-1.13,23,100%,100.0,0.39,20,28%,28.0,0.23,11,28%,28.0,14.06,7,20%,20.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,CICS 173,03/20,LUT FIV DO BAGUASSU,,AJCA 1827,82,CICS 173 03/20 LUT FIV DO BAGUASSU AJCA 1827 0.31 9 75% -12.25 7 96% 0.23 21 40% 0.38 18 28% 0.26 11 24% 9.63 7 36%,0.31,9,75%,75.0,-12.25,7,96%,96.0,0.23,21,40%,40.0,0.38,18,28%,28.0,0.26,11,24%,24.0,9.63,7,36%,36.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,BJMS 353,07/22,BEN-HUR FIV MORRO DO,,BJMS 62,82,BJMS 353 07/22 BEN-HUR FIV MORRO DO BJMS 62 -0.07 15 21% 20.37 19 2% -0.02 26 68% 0.37 20 29% -0.12 20 80% 13.49 15 22%,-0.07,15,21%,21.0,20.37,19,2%,2.0,-0.02,26,68%,68.0,0.37,20,29%,29.0,-0.12,20,80%,80.0,13.49,15,22%,22.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Sindi,AJCA 2889,03/17,JETEU DA ESTIVA,,AJCF 318,82,AJCA 2889 03/17 JETEU DA ESTIVA AJCF 318 0.11 12 46% 11.69 13 8% 0.23 7 40% 0.34 13 31% 0.18 13 35% 11.13 7 31%,0.11,12,46%,46.0,11.69,13,8%,8.0,0.23,7,40%,40.0,0.34,13,31%,31.0,0.18,13,35%,35.0,11.13,7,31%,31.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
