breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,OBGP 5677,10/20,SERPENTINO OB,G,OBGP 4230,60,"OBGP 5677 10/20 SERPENTINO OB G OBGP 4230 -0.29 45 47% 12.69 49 7% 0.35 56 33% 0.92 41 9% 1.19 40 0,1% 22 1 17.40 40 2%",-0.29,45,47%,47.0,12.69,49,7%,7.0,0.35,56,33%,33.0,0.92,41,9%,9.0,1.19,40,"0,1%",0.1,17.4,40,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,OBGP 4947,09/17,KEMBALI OB,G,OBGP 1193,60,"OBGP 4947 09/17 KEMBALI OB G OBGP 1193 -0.54 31 24% 6.78 48 33% 0.41 73 26% 0.79 70 11% 0.92 67 0,5% 91 3 13.28 31 8%",-0.54,31,24%,24.0,6.78,48,33%,33.0,0.41,73,26%,26.0,0.79,70,11%,11.0,0.92,67,"0,5%",0.5,13.28,31,8%,8.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,CSCP 1579,10/19,1579 DE NAVIRAI,,BRBR 432,60,"CSCP 1579 10/19 1579 DE NAVIRAI BRBR 432 -0.21 10 60% -4.81 42 100% 1.00 44 2% 3.55 38 0,1% 0.83 33 0,5% 33 1 11.18 10 15%",-0.21,10,60%,60.0,-4.81,42,100%,100.0,1.0,44,2%,2.0,3.55,38,"0,1%",0.1,0.83,33,"0,5%",0.5,11.18,10,15%,15.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,OBGP 5818,02/21,TRIVOLE FIV OB,G,OBGP 1193,60,"OBGP 5818 02/21 TRIVOLE FIV OB G OBGP 1193 -0.53 43 24% 18.77 48 0,5% 0.39 41 28% 1.98 43 1% 0.69 43 1% 8 1 25.33 41 0,1%",-0.53,43,24%,24.0,18.77,48,"0,5%",0.5,0.39,41,28%,28.0,1.98,43,1%,1.0,0.69,43,1%,1.0,25.33,41,"0,1%",0.1,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,OBGP 5947,12/21,ADEPTO OB,G,OBGP 4947,60,OBGP 5947 12/21 ADEPTO OB G OBGP 4947 -0.87 47 6% 15.04 48 3% 0.56 42 10% 0.32 41 27% 0.67 47 1% 5 1 16.68 41 3%,-0.87,47,6%,6.0,15.04,48,3%,3.0,0.56,42,10%,10.0,0.32,41,27%,27.0,0.67,47,1%,1.0,16.68,41,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,CABR 1700,12/10,CABR MR GALUR,,1700 803613,60,CABR 1700 12/10 CABR MR GALUR 1700 803613 -0.49 24 28% 4.80 41 64% 1.14 69 1% 0.27 43 30% 0.61 39 1% 43 3 7.59 22 34%,-0.49,24,28%,28.0,4.8,41,64%,64.0,1.14,69,1%,1.0,0.27,43,30%,30.0,0.61,39,1%,1.0,7.59,22,34%,34.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,BENT 5876,10/18,CJ SANT ANNNA POI COM,G,BENT 3706,60,"BENT 5876 10/18 CJ SANT ANNNA POI COM G BENT 3706 -0.54 44 24% 1.03 44 89% 0.44 57 22% 4.20 58 0,1% 0.57 56 2% 19 1 10.79 39 16%",-0.54,44,24%,24.0,1.03,44,89%,89.0,0.44,57,22%,22.0,4.2,58,"0,1%",0.1,0.57,56,2%,2.0,10.79,39,16%,16.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,OBGP 5763,12/20,ASSOTAKAN OB,G,OBGP 4984,60,"OBGP 5763 12/20 ASSOTAKAN OB G OBGP 4984 -0.55 34 23% 18.57 43 0,5% 0.38 50 29% 1.55 43 3% 0.50 40 3% 8 1 16.98 34 2%",-0.55,34,23%,23.0,18.57,43,"0,5%",0.5,0.38,50,29%,29.0,1.55,43,3%,3.0,0.5,40,3%,3.0,16.98,34,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,OBGP 5707,10/20,UCHOA OB,G,OBGP 3777,60,"OBGP 5707 10/20 UCHOA OB G OBGP 3777 -0.62 43 17% 25.46 50 0,1% 0.41 50 26% -0.91 44 90% 0.47 42 4% 8 1 26.24 42 0,1%",-0.62,43,17%,17.0,25.46,50,"0,1%",0.1,0.41,50,26%,26.0,-0.91,44,90%,90.0,0.47,42,4%,4.0,26.24,42,"0,1%",0.1,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,190816EE,09/19,ACRON DE ESP̥RITU,G,100826EE,60,190816EE 09/19 ACRON DE ESP̥RITU G 100826EE 0.00 31 85% 16.14 61 2% 0.58 75 9% 0.94 65 9% 0.45 62 5% 33 1 17.11 31 2%,0.0,31,85%,85.0,16.14,61,2%,2.0,0.58,75,9%,9.0,0.94,65,9%,9.0,0.45,62,5%,5.0,17.11,31,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
