breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,P450dep,P450ac,P450top,P450top_pct,CARdep,CARac,CARtop,CARtop_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MARdep,MARac,MARtop,MARtop_pct,MGTe_COdep,MGTe_COac,MGTe_COtop,MGTe_COtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,RDM A3560,07/20,FEDERAL MAT.,G,REMC 8332,19,"RDM A3560 07/20 FEDERAL MAT. G REMC 8332 36.49 67 1% -0.280 48 0,1% 6.07 65 1% 0.19 64 22% 0.20 61 2% 36.01 48 0,1% 31.92 47 3%",36.49,67,1%,1.0,-0.28,48,"0,1%",0.1,6.07,65,1%,1.0,0.19,64,22%,22.0,0.2,61,2%,2.0,36.01,48,"0,1%",0.1,31.92,47,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,FANO 2491,11/19,DOUSE DA AGRONOVA,G,REMC A331,19,"FANO 2491 11/19 DOUSE DA AGRONOVA G REMC A331 30.76 79 4% -0.150 69 1% 7.98 80 0,1% 0.53 77 8% 0.13 77 5% 35.81 69 0,1% 35.29 51 0,5%",30.76,79,4%,4.0,-0.15,69,1%,1.0,7.98,80,"0,1%",0.1,0.53,77,8%,8.0,0.13,77,5%,5.0,35.81,69,"0,1%",0.1,35.29,51,"0,5%",0.5,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,JAPA 11028,12/21,11028 FIV JAPARANDUBA,G,SINO 1730,19,"JAPA 11028 12/21 11028 FIV JAPARANDUBA G SINO 1730 37.69 69 1% -0.183 48 0,5% 7.04 66 0,1% 0.39 65 12% 0.17 61 3% 35.65 48 0,1% 34.55 50 1%",37.69,69,1%,1.0,-0.183,48,"0,5%",0.5,7.04,66,"0,1%",0.1,0.39,65,12%,12.0,0.17,61,3%,3.0,35.65,48,"0,1%",0.1,34.55,50,1%,1.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,RDM A5458,07/21,A5458 MAT. (GUAPORE,M,G REMP 816,19,"RDM A5458 07/21 A5458 MAT. (GUAPORE M G REMP 816 39.37 71 0,5% -0.082 49 16% 4.91 66 3% 1.29 66 0,5% 0.25 62 0,5% 35.25 49 0,1% 33.33 36 2%",39.37,71,"0,5%",0.5,-0.082,49,16%,16.0,4.91,66,3%,3.0,1.29,66,"0,5%",0.5,0.25,62,"0,5%",0.5,35.25,49,"0,1%",0.1,33.33,36,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,REMC A4890,11/21,REM4890L GENETICA ADI,G,REMP 816,19,"REMC A4890 11/21 REM4890L GENETICA ADI G REMP 816 35.94 71 2% -0.057 45 31% 5.10 66 3% 1.58 65 0,1% 0.16 63 3% 35.01 45 0,1% 29.84 49 4%",35.94,71,2%,2.0,-0.057,45,31%,31.0,5.1,66,3%,3.0,1.58,65,"0,1%",0.1,0.16,63,3%,3.0,35.01,45,"0,1%",0.1,29.84,49,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,FANO 2762,01/20,DIPLOMATA DA AGRONOVA,G,REM A7,19,"FANO 2762 01/20 DIPLOMATA DA AGRONOVA G REM A7 33.52 97 3% -0.130 89 3% 5.50 96 2% 1.21 97 1% 0.11 95 8% 34.82 89 0,1% 32.98 82 2%",33.52,97,3%,3.0,-0.13,89,3%,3.0,5.5,96,2%,2.0,1.21,97,1%,1.0,0.11,95,8%,8.0,34.82,89,"0,1%",0.1,32.98,82,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,BOA A3238,06/22,QUARTZO FIV TERRA BOA,G,REM A1936,19,"BOA A3238 06/22 QUARTZO FIV TERRA BOA G REM A1936 29.04 68 6% -0.160 40 1% 4.54 61 4% 1.39 62 0,1% 0.10 57 9% 34.40 40 0,1% 30.13 45 4%",29.04,68,6%,6.0,-0.16,40,1%,1.0,4.54,61,4%,4.0,1.39,62,"0,1%",0.1,0.1,57,9%,9.0,34.4,40,"0,1%",0.1,30.13,45,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,MFBN 9026,10/21,TRIJAK FIV G.SALES,G,REM A1576,19,"MFBN 9026 10/21 TRIJAK FIV G.SALES G REM A1576 42.01 67 0,1% -0.080 43 17% 8.47 64 0,1% 0.55 63 8% 0.01 57 44% 34.36 43 0,1% 33.97 43 2%",42.01,67,"0,1%",0.1,-0.08,43,17%,17.0,8.47,64,"0,1%",0.1,0.55,63,8%,8.0,0.01,57,44%,44.0,34.36,43,"0,1%",0.1,33.97,43,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,ANP 1101,10/21,CAPITÃƒO DA ANP,G,REMP 816,19,"ANP 1101 10/21 CAPITÃƒO DA ANP G REMP 816 34.01 68 2% -0.023 42 53% 6.46 62 0,5% 1.22 62 1% 0.20 59 2% 34.19 42 0,1% 30.19 30 4%",34.01,68,2%,2.0,-0.023,42,53%,53.0,6.46,62,"0,5%",0.5,1.22,62,1%,1.0,0.2,59,2%,2.0,34.19,42,"0,1%",0.1,30.19,30,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,PHOC 1882,10/20,1882 FIV PHOC,G,GRI B2887,19,"PHOC 1882 10/20 1882 FIV PHOC G GRI B2887 31.41 70 4% -0.063 42 27% 6.17 68 0,5% 1.14 67 1% 0.21 63 1% 34.19 42 0,1% 32.62 31 2%",31.41,70,4%,4.0,-0.063,42,27%,27.0,6.17,68,"0,5%",0.5,1.14,67,1%,1.0,0.21,63,1%,1.0,34.19,42,"0,1%",0.1,32.62,31,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,HORA 5989,10/21,LA PORTE TE DA HORA,G,HORA 3150,19,"HORA 5989 10/21 LA PORTE TE DA HORA G HORA 3150 31.83 74 4% -0.270 44 0,1% 4.95 65 3% 0.21 66 21% 0.32 61 0,1% 34.18 44 0,1% 29.54 48 4%",31.83,74,4%,4.0,-0.27,44,"0,1%",0.1,4.95,65,3%,3.0,0.21,66,21%,21.0,0.32,61,"0,1%",0.1,34.18,44,"0,1%",0.1,29.54,48,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,EAO B7502,09/21,ELO FIV DA EAO (B7502,G,REM A1936,19,"EAO B7502 09/21 ELO FIV DA EAO (B7502 G REM A1936 33.91 69 2% -0.031 51 48% 4.91 68 3% 1.43 66 0,1% 0.30 64 0,1% 34.08 51 0,1% 33.15 47 2%",33.91,69,2%,2.0,-0.031,51,48%,48.0,4.91,68,3%,3.0,1.43,66,"0,1%",0.1,0.3,64,"0,1%",0.1,34.08,51,"0,1%",0.1,33.15,47,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,EAO B8074,10/21,B8074 FIV DA EAO (ELE,G,SINO 1730,19,"EAO B8074 10/21 B8074 FIV DA EAO (ELE G SINO 1730 37.34 69 1% -0.140 51 2% 6.29 67 0,5% 0.61 66 6% 0.16 64 3% 33.71 51 0,1% 35.91 46 0,5%",37.34,69,1%,1.0,-0.14,51,2%,2.0,6.29,67,"0,5%",0.5,0.61,66,6%,6.0,0.16,64,3%,3.0,33.71,51,"0,1%",0.1,35.91,46,"0,5%",0.5,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,REM 12045,08/21,REM LEGACY GEN.ADT,G,REM A1576,19,"REM 12045 08/21 REM LEGACY GEN.ADT G REM A1576 40.35 72 0,5% -0.109 51 5% 6.61 66 0,5% 0.76 65 4% 0.07 43 17% 33.58 43 0,1% 33.60 44 2%",40.35,72,"0,5%",0.5,-0.109,51,5%,5.0,6.61,66,"0,5%",0.5,0.76,65,4%,4.0,0.07,43,17%,17.0,33.58,43,"0,1%",0.1,33.6,44,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,EAO B8886,01/22,EMBAIXADOR FIV EAO,G,REM A1576,19,"EAO B8886 01/22 EMBAIXADOR FIV EAO G REM A1576 35.83 70 2% -0.010 50 61% 7.54 68 0,1% 1.02 68 2% 0.11 62 8% 33.57 50 0,1% 36.56 47 0,1%",35.83,70,2%,2.0,-0.01,50,61%,61.0,7.54,68,"0,1%",0.1,1.02,68,2%,2.0,0.11,62,8%,8.0,33.57,50,"0,1%",0.1,36.56,47,"0,1%",0.1,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,EAO B1789,08/19,1789 FIV DA EAO,G,LBMN D4685,19,"EAO B1789 08/19 1789 FIV DA EAO G LBMN D4685 30.21 88 5% -0.219 56 0,1% 4.62 85 4% 0.63 86 6% 0.24 85 0,5% 33.18 56 0,1% 28.83 51 5%",30.21,88,5%,5.0,-0.219,56,"0,1%",0.1,4.62,85,4%,4.0,0.63,86,6%,6.0,0.24,85,"0,5%",0.5,33.18,56,"0,1%",0.1,28.83,51,5%,5.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,EAO B1830,08/19,CAPITAL FIV DA EAO,G,LBMN D4685,19,"EAO B1830 08/19 CAPITAL FIV DA EAO G LBMN D4685 27.03 75 8% -0.145 44 2% 3.20 67 12% 1.43 66 0,1% 0.27 62 0,1% 33.15 44 0,1% 28.52 51 5%",27.03,75,8%,8.0,-0.145,44,2%,2.0,3.2,67,12%,12.0,1.43,66,"0,1%",0.1,0.27,62,"0,1%",0.1,33.15,44,"0,1%",0.1,28.52,51,5%,5.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,REM 12551,08/22,REM MAESTRO GENETICA,G,REMP 816,19,"REM 12551 08/22 REM MAESTRO GENETICA G REMP 816 24.25 66 12% -0.078 46 19% 5.12 62 3% 1.48 61 0,1% 0.15 58 4% 33.00 46 0,1% 27.75 32 6%",24.25,66,12%,12.0,-0.078,46,19%,19.0,5.12,62,3%,3.0,1.48,61,"0,1%",0.1,0.15,58,4%,4.0,33.0,46,"0,1%",0.1,27.75,32,6%,6.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,FANO 2523,11/19,DONALD DA AGRONOVA,G,MATI 1788,19,"FANO 2523 11/19 DONALD DA AGRONOVA G MATI 1788 24.96 85 11% -0.099 56 8% 5.28 77 2% 1.19 74 1% 0.21 71 1% 32.94 56 0,1% 31.10 50 3%",24.96,85,11%,11.0,-0.099,56,8%,8.0,5.28,77,2%,2.0,1.19,74,1%,1.0,0.21,71,1%,1.0,32.94,56,"0,1%",0.1,31.1,50,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,EAO B4381,08/20,DUCATTI DA EAO,G,REM A1936,19,"EAO B4381 08/20 DUCATTI DA EAO G REM A1936 29.47 83 5% -0.100 46 8% 5.62 71 2% 1.19 70 1% 0.10 59 9% 32.90 46 0,1% 28.64 33 5%",29.47,83,5%,5.0,-0.1,46,8%,8.0,5.62,71,2%,2.0,1.19,70,1%,1.0,0.1,59,9%,9.0,32.9,46,"0,1%",0.1,28.64,33,5%,5.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,MNS 9278,07/18,TROOPER DA ALO BRASIL,G,REMC 5326,19,"MNS 9278 07/18 TROOPER DA ALO BRASIL G REMC 5326 28.63 88 6% -0.072 57 22% 6.79 83 0,1% 1.08 81 1% 0.06 74 20% 32.83 57 0,5% 29.45 56 4%",28.63,88,6%,6.0,-0.072,57,22%,22.0,6.79,83,"0,1%",0.1,1.08,81,1%,1.0,0.06,74,20%,20.0,32.83,57,"0,5%",0.5,29.45,56,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,RDM A5310,06/21,GLOBAL MAT.,G,SINO 1730,19,"RDM A5310 06/21 GLOBAL MAT. G SINO 1730 38.75 78 0,5% -0.148 58 2% 7.10 73 0,1% 0.34 70 14% 0.07 72 17% 32.66 58 0,5% 36.14 44 0,1%",38.75,78,"0,5%",0.5,-0.148,58,2%,2.0,7.1,73,"0,1%",0.1,0.34,70,14%,14.0,0.07,72,17%,17.0,32.66,58,"0,5%",0.5,36.14,44,"0,1%",0.1,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,REM 11271,08/20,REM JATO GEN. ADT,G,REM A1576,19,"REM 11271 08/20 REM JATO GEN. ADT G REM A1576 28.71 90 6% -0.039 68 43% 5.29 82 2% 1.39 81 0,1% 0.19 82 2% 32.45 68 0,5% 29.80 48 4%",28.71,90,6%,6.0,-0.039,68,43%,43.0,5.29,82,2%,2.0,1.39,81,"0,1%",0.1,0.19,82,2%,2.0,32.45,68,"0,5%",0.5,29.8,48,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,KAT 4527,09/20,4527 FIV KATISPERA,G,REM A1936,19,"KAT 4527 09/20 4527 FIV KATISPERA G REM A1936 28.57 70 6% -0.160 44 1% 6.04 65 1% 0.83 65 3% 0.02 59 38% 32.12 44 0,5% 30.29 46 4%",28.57,70,6%,6.0,-0.16,44,1%,1.0,6.04,65,1%,1.0,0.83,65,3%,3.0,0.02,59,38%,38.0,32.12,44,"0,5%",0.5,30.29,46,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,AGJZ 774,08/20,IGAON FIV DA GAROUPA,G,REM A1553,19,"AGJZ 774 08/20 IGAON FIV DA GAROUPA G REM A1553 38.47 80 1% -0.062 60 28% 7.14 80 0,1% 0.49 76 9% 0.18 76 2% 32.04 60 0,5% 36.90 45 0,1%",38.47,80,1%,1.0,-0.062,60,28%,28.0,7.14,80,"0,1%",0.1,0.49,76,9%,9.0,0.18,76,2%,2.0,32.04,60,"0,5%",0.5,36.9,45,"0,1%",0.1,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,GCGC 217,08/19,ASTI TE DA FURN,G,REMC A923,19,"GCGC 217 08/19 ASTI TE DA FURN G REMC A923 30.72 75 4% -0.099 40 8% 6.68 74 0,1% 0.54 73 8% 0.20 69 2% 31.86 40 0,5% 30.71 48 3%",30.72,75,4%,4.0,-0.099,40,8%,8.0,6.68,74,"0,1%",0.1,0.54,73,8%,8.0,0.2,69,2%,2.0,31.86,40,"0,5%",0.5,30.71,48,3%,3.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,MDLO 2230,08/21,I2230 DA MDLO,G,SINO 1730,19,"MDLO 2230 08/21 I2230 DA MDLO G SINO 1730 37.99 69 1% -0.190 42 0,1% 6.93 63 0,1% 0.11 62 33% 0.05 58 24% 31.74 42 0,5% 34.55 46 1%",37.99,69,1%,1.0,-0.19,42,"0,1%",0.1,6.93,63,"0,1%",0.1,0.11,62,33%,33.0,0.05,58,24%,24.0,31.74,42,"0,5%",0.5,34.55,46,1%,1.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,EAO B4846,08/20,DECRETO FIV DA EAO,G,LBMN D4685,19,"EAO B4846 08/20 DECRETO FIV DA EAO G LBMN D4685 24.89 77 11% -0.120 46 4% 3.15 74 13% 1.67 73 0,1% 0.14 64 4% 31.62 46 0,5% 29.03 50 5%",24.89,77,11%,11.0,-0.12,46,4%,4.0,3.15,74,13%,13.0,1.67,73,"0,1%",0.1,0.14,64,4%,4.0,31.62,46,"0,5%",0.5,29.03,50,5%,5.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,GRI C1877,11/20,PIRATA DA S.NICE,G,COL 23568,19,"GRI C1877 11/20 PIRATA DA S.NICE G COL 23568 29.67 73 5% -0.111 41 5% 5.72 64 1% 0.43 65 11% 0.37 60 0,1% 31.56 41 0,5% 30.31 46 4%",29.67,73,5%,5.0,-0.111,41,5%,5.0,5.72,64,1%,1.0,0.43,65,11%,11.0,0.37,60,"0,1%",0.1,31.56,41,"0,5%",0.5,30.31,46,4%,4.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
Nelore,EAO B1143,07/19,CACADOR FIV DA EAO,G,REM 6447,19,"EAO B1143 07/19 CACADOR FIV DA EAO G REM 6447 28.33 90 7% -0.073 75 22% 6.58 85 0,5% 0.71 83 5% 0.20 82 2% 31.51 75 0,5% 33.05 54 2%",28.33,90,7%,7.0,-0.073,75,22%,22.0,6.58,85,"0,5%",0.5,0.71,83,5%,5.0,0.2,82,2%,2.0,31.51,75,"0,5%",0.5,33.05,54,2%,2.0,"P450,CAR,AOL,ACAB,MAR,MGTe_CO,MGTe"
