breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,P120dep,P120ac,P120top,P120top_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,CABR 2737,05/18,CABR RAMIRO 2737,,CABR 1729,57,"CABR 2737 05/18 CABR RAMIRO 2737 CABR 1729 -1.04 8 2% 4.41 34 12% 4.37 43 12% 11.50 42 10% 0.59 62 8% 56 1 21.64 8 0,5%",-1.04,8,2%,2.0,4.41,34,12%,12.0,4.37,43,12%,12.0,11.5,42,10%,10.0,0.59,62,8%,8.0,21.64,8,"0,5%",0.5,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,UBER 1622,09/17,MR UBER BACKUP 1622,G,UBER 461,57,"UBER 1622 09/17 MR UBER BACKUP 1622 G UBER 461 -0.04 43 80% 10.15 59 0,1% 4.08 63 13% 15.26 57 3% 0.33 70 36% 162 4 16.56 39 3%",-0.04,43,80%,80.0,10.15,59,"0,1%",0.1,4.08,63,13%,13.0,15.26,57,3%,3.0,0.33,70,36%,36.0,16.56,39,3%,3.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,LLBR 666,07/17,MISTER INCA SHOW,,AMRO 97,57,LLBR 666 07/17 MISTER INCA SHOW AMRO 97 -0.60 7 19% 0.66 27 51% 4.05 51 13% 16.48 49 2% 0.62 57 7% 64 1 9.55 7 22%,-0.6,7,19%,19.0,0.66,27,51%,51.0,4.05,51,13%,13.0,16.48,49,2%,2.0,0.62,57,7%,7.0,9.55,7,22%,22.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,UBER 1904,05/21,UBER 1904 - MORPHEUS,G,OBGP 1193,57,UBER 1904 05/21 UBER 1904 - MORPHEUS G OBGP 1193 -0.07 44 78% 5.53 44 8% 4.05 48 13% 18.20 51 1% 0.31 43 39% 32 2 14.62 43 6%,-0.07,44,78%,78.0,5.53,44,8%,8.0,4.05,48,13%,13.0,18.2,51,1%,1.0,0.31,43,39%,39.0,14.62,43,6%,6.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,190816EE,09/19,ACRON DE ESP̥RITU,G,100826EE,57,190816EE 09/19 ACRON DE ESP̥RITU G 100826EE 0.00 31 85% 5.11 62 9% 3.98 64 13% 16.14 61 2% 0.58 75 9% 184 3 17.11 31 2%,0.0,31,85%,85.0,5.11,62,9%,9.0,3.98,64,13%,13.0,16.14,61,2%,2.0,0.58,75,9%,9.0,17.11,31,2%,2.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,AMRO 806,11/12,MR BR 77 806 FIV,G,727046,57,AMRO 806 11/12 MR BR 77 806 FIV G 727046 -0.19 46 63% 7.66 61 2% 3.98 64 13% 12.32 63 8% 0.34 78 35% 343 8 12.03 44 12%,-0.19,46,63%,63.0,7.66,61,2%,2.0,3.98,64,13%,13.0,12.32,63,8%,8.0,0.34,78,35%,35.0,12.03,44,12%,12.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,OBGP 5947,12/21,ADEPTO OB,G,OBGP 4947,57,OBGP 5947 12/21 ADEPTO OB G OBGP 4947 -0.87 47 6% 5.87 46 7% 3.89 48 14% 15.04 48 3% 0.56 42 10% 33 1 16.68 41 3%,-0.87,47,6%,6.0,5.87,46,7%,7.0,3.89,48,14%,14.0,15.04,48,3%,3.0,0.56,42,10%,10.0,16.68,41,3%,3.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,202070EE,11/20,202070 DE ESPIRITU,G,160887EE,57,"202070EE 11/20 202070 DE ESPIRITU G 160887EE 0.33 43 100% 5.55 47 7% 3.88 46 14% 12.92 42 6% 0.61 45 7% 12 1 20.44 42 0,5%",0.33,43,100%,100.0,5.55,47,7%,7.0,3.88,46,14%,14.0,12.92,42,6%,6.0,0.61,45,7%,7.0,20.44,42,"0,5%",0.5,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,KDO 4942,08/18,DON JUAN DE K DE ORO,G,BRCL 694,57,KDO 4942 08/18 DON JUAN DE K DE ORO G BRCL 694 -1.11 43 1% 0.61 41 52% 3.84 48 14% 10.90 42 12% 0.60 51 8% 48 1 15.94 42 4%,-1.11,43,1%,1.0,0.61,41,52%,52.0,3.84,48,14%,14.0,10.9,42,12%,12.0,0.6,51,8%,8.0,15.94,42,4%,4.0,"IPP,P120,P210,P450,PE365,MGTe"
Brahman,202068EE,11/20,BROTEAS DE ESP̥RITU,G,161487EE,57,202068EE 11/20 BROTEAS DE ESP̥RITU G 161487EE 0.13 46 95% 5.04 58 9% 3.72 58 14% 16.28 51 2% 0.52 66 13% 147 3 17.88 39 2%,0.13,46,95%,95.0,5.04,58,9%,9.0,3.72,58,14%,14.0,16.28,51,2%,2.0,0.52,66,13%,13.0,17.88,39,2%,2.0,"IPP,P120,P210,P450,PE365,MGTe"
