breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,3Pdep,3Pac,3Ptop,3Ptop_pct,P450dep,P450ac,P450top,P450top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,SGN 1834,08/21,FALUCK DO CRISPIM,G,REMP 816,28,"SGN 1834 08/21 FALUCK DO CRISPIM G REMP 816 -0.78 43 30% 78.13 73 39% 34.80 86 2% 3.49 64 10% 1.34 61 0,5% 624 30 28.80 44 5%",-0.78,43,30%,30.0,78.13,73,39%,39.0,34.8,86,2%,2.0,3.49,64,10%,10.0,1.34,61,"0,5%",0.5,28.8,44,5%,5.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,EAO B4051,07/20,D8 DA EAO,G,REM A7,28,"EAO B4051 07/20 D8 DA EAO G REM A7 -1.51 45 0,5% 86.89 87 7% 27.03 95 8% 3.83 90 8% 1.32 90 0,5% 1114 52 31.99 47 3%",-1.51,45,"0,5%",0.5,86.89,87,7%,7.0,27.03,95,8%,8.0,3.83,90,8%,8.0,1.32,90,"0,5%",0.5,31.99,47,3%,3.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,EAO B7556,09/21,ELITE DA EAO,G,REM A1936,28,"EAO B7556 09/21 ELITE DA EAO G REM A1936 -0.97 45 13% 87.25 74 6% 29.83 80 5% 3.19 68 12% 1.32 68 0,5% 180 10 33.08 47 2%",-0.97,45,13%,13.0,87.25,74,6%,6.0,29.83,80,5%,5.0,3.19,68,12%,12.0,1.32,68,"0,5%",0.5,33.08,47,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REMP 1513,09/21,REM LARIAT FIV GEN.AD,G,REMP 816,28,"REMP 1513 09/21 REM LARIAT FIV GEN.AD G REMP 816 -1.09 44 7% 85.57 72 9% 36.13 74 2% 3.98 65 7% 1.32 64 0,5% 201 7 32.38 47 2%",-1.09,44,7%,7.0,85.57,72,9%,9.0,36.13,74,2%,2.0,3.98,65,7%,7.0,1.32,64,"0,5%",0.5,32.38,47,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FLPE 8542,10/21,AZULEJO FIV DA COMETA,G,REMP 816,28,"FLPE 8542 10/21 AZULEJO FIV DA COMETA G REMP 816 -0.91 42 18% 83.23 73 16% 30.45 73 5% 2.97 63 14% 1.31 63 0,5% 162 9 30.52 44 4%",-0.91,42,18%,18.0,83.23,73,16%,16.0,30.45,73,5%,5.0,2.97,63,14%,14.0,1.31,63,"0,5%",0.5,30.52,44,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FBFM 9521,08/19,QUINN DO BATUQUE,G,FBFM 6505,28,"FBFM 9521 08/19 QUINN DO BATUQUE G FBFM 6505 -0.98 47 13% 81.43 87 23% 19.39 88 20% 2.52 84 18% 1.30 81 0,5% 158 4 25.25 48 9%",-0.98,47,13%,13.0,81.43,87,23%,23.0,19.39,88,20%,20.0,2.52,84,18%,18.0,1.3,81,"0,5%",0.5,25.25,48,9%,9.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,ANP 1501,12/21,CAMPARI DA ANP,G,REMP 816,28,"ANP 1501 12/21 CAMPARI DA ANP G REMP 816 -0.85 45 23% 83.18 72 17% 33.88 73 2% 3.81 66 8% 1.30 65 0,5% 130 13 30.78 46 3%",-0.85,45,23%,23.0,83.18,72,17%,17.0,33.88,73,2%,2.0,3.81,66,8%,8.0,1.3,65,"0,5%",0.5,30.78,46,3%,3.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,VIV 5187,09/21,OIAPOQUE FIV PRONEL,G,REMP 816,28,"VIV 5187 09/21 OIAPOQUE FIV PRONEL G REMP 816 -1.23 44 3% 84.73 74 12% 34.86 71 2% 5.22 65 2% 1.30 65 0,5% 27 7 30.28 46 4%",-1.23,44,3%,3.0,84.73,74,12%,12.0,34.86,71,2%,2.0,5.22,65,2%,2.0,1.3,65,"0,5%",0.5,30.28,46,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,EAO B7661,09/21,ESTEIO DA EAO,G,REM A7,28,"EAO B7661 09/21 ESTEIO DA EAO G REM A7 -0.94 45 15% 88.40 74 4% 43.96 77 0,1% 5.26 70 2% 1.29 68 0,5% 259 17 37.26 49 0,1%",-0.94,45,15%,15.0,88.4,74,4%,4.0,43.96,77,"0,1%",0.1,5.26,70,2%,2.0,1.29,68,"0,5%",0.5,37.26,49,"0,1%",0.1,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,XRGM 4865,08/22,LANDROVER DA XARAES,G,XRGM 4111,28,"XRGM 4865 08/22 LANDROVER DA XARAES G XRGM 4111 -1.34 38 2% 91.77 73 2% 38.30 66 1% 7.62 62 0,1% 1.26 61 0,5% 41 4 39.84 41 0,1%",-1.34,38,2%,2.0,91.77,73,2%,2.0,38.3,66,1%,1.0,7.62,62,"0,1%",0.1,1.26,61,"0,5%",0.5,39.84,41,"0,1%",0.1,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REM 5589,09/09,REM UPONIC,G,REM 4237,28,"REM 5589 09/09 REM UPONIC G REM 4237 -1.13 79 5% 87.07 90 6% 17.08 97 26% 3.22 91 12% 1.25 93 0,5% 816 42 22.49 84 14%",-1.13,79,5%,5.0,87.07,90,6%,6.0,17.08,97,26%,26.0,3.22,91,12%,12.0,1.25,93,"0,5%",0.5,22.49,84,14%,14.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REM 11170,11/19,REM INEDITO GEN. ADT,G,REM A1230,28,"REM 11170 11/19 REM INEDITO GEN. ADT G REM A1230 -0.88 38 20% 81.43 74 23% 31.48 70 4% 4.28 67 5% 1.25 65 0,5% 26 2 29.02 40 5%",-0.88,38,20%,20.0,81.43,74,23%,23.0,31.48,70,4%,4.0,4.28,67,5%,5.0,1.25,65,"0,5%",0.5,29.02,40,5%,5.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,LCCF 1153,08/21,GRAN RESERVA DA ARZ,G,REMP 816,28,"LCCF 1153 08/21 GRAN RESERVA DA ARZ G REMP 816 -1.01 40 11% 90.87 74 2% 40.71 70 0,5% 4.62 63 4% 1.25 63 0,5% 288 25 40.25 41 0,1%",-1.01,40,11%,11.0,90.87,74,2%,2.0,40.71,70,"0,5%",0.5,4.62,63,4%,4.0,1.25,63,"0,5%",0.5,40.25,41,"0,1%",0.1,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FANO 3294,12/20,ELO DA AGRONOVA,G,PAU 2753,28,"FANO 3294 12/20 ELO DA AGRONOVA G PAU 2753 -0.80 44 28% 82.48 73 19% 30.13 84 5% 8.02 81 0,1% 1.24 79 0,5% 358 31 31.70 49 3%",-0.8,44,28%,28.0,82.48,73,19%,19.0,30.13,84,5%,5.0,8.02,81,"0,1%",0.1,1.24,79,"0,5%",0.5,31.7,49,3%,3.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REMC A2894,09/19,REM INSANO GEN. ADT,G,REM A563,28,"REMC A2894 09/19 REM INSANO GEN. ADT G REM A563 -1.63 43 0,1% 83.57 86 15% 20.08 71 19% 1.79 73 26% 1.24 72 0,5% 36 2 21.77 45 15%",-1.63,43,"0,1%",0.1,83.57,86,15%,15.0,20.08,71,19%,19.0,1.79,73,26%,26.0,1.24,72,"0,5%",0.5,21.77,45,15%,15.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,ANP 1081,10/21,CORINGA DA ANP,G,REMP 816,28,"ANP 1081 10/21 CORINGA DA ANP G REMP 816 -0.74 40 34% 84.31 74 13% 35.48 70 2% 6.32 67 0,5% 1.24 65 0,5% 182 17 31.11 45 3%",-0.74,40,34%,34.0,84.31,74,13%,13.0,35.48,70,2%,2.0,6.32,67,"0,5%",0.5,1.24,65,"0,5%",0.5,31.11,45,3%,3.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REM 10163,08/18,REM HOT GEN ADT,G,REM A7,28,"REM 10163 08/18 REM HOT GEN ADT G REM A7 -0.95 54 15% 88.90 87 4% 23.55 90 13% 3.53 83 10% 1.23 80 0,5% 103 12 23.93 54 11%",-0.95,54,15%,15.0,88.9,87,4%,4.0,23.55,90,13%,13.0,3.53,83,10%,10.0,1.23,80,"0,5%",0.5,23.93,54,11%,11.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,EAO B7486,09/21,ESSENCIAL DA EAO,G,REM A1936,28,"EAO B7486 09/21 ESSENCIAL DA EAO G REM A1936 -1.14 42 5% 91.25 73 2% 39.79 66 0,5% 3.78 64 8% 1.23 62 0,5% 35 6 32.55 45 2%",-1.14,42,5%,5.0,91.25,73,2%,2.0,39.79,66,"0,5%",0.5,3.78,64,8%,8.0,1.23,62,"0,5%",0.5,32.55,45,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REMP 816,10/18,REM HERMOSO FIV GEN A,G,REM A7,28,REMP 816 10/18 REM HERMOSO FIV GEN A G REM A7 -0.94 84 15% 92.23 91 1% 34.65 98 2% 4.00 96 7% 1.22 98 1% 5306 171 29.42 81 5%,-0.94,84,15%,15.0,92.23,91,1%,1.0,34.65,98,2%,2.0,4.0,96,7%,7.0,1.22,98,1%,1.0,29.42,81,5%,5.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FBFM 11842,11/21,SERTÃƒO BATUQUE,G,FBFM 8950,28,FBFM 11842 11/21 SERTÃƒO BATUQUE G FBFM 8950 -1.28 36 2% 92.75 73 1% 22.76 68 14% 3.00 57 14% 1.22 56 1% 188 5 27.71 38 6%,-1.28,36,2%,2.0,92.75,73,1%,1.0,22.76,68,14%,14.0,3.0,57,14%,14.0,1.22,56,1%,1.0,27.71,38,6%,6.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FANO 2762,01/20,DIPLOMATA DA AGRONOVA,G,REM A7,28,FANO 2762 01/20 DIPLOMATA DA AGRONOVA G REM A7 -1.02 79 10% 83.63 85 15% 33.52 97 3% 5.50 96 2% 1.21 97 1% 5555 178 32.98 82 2%,-1.02,79,10%,10.0,83.63,85,15%,15.0,33.52,97,3%,3.0,5.5,96,2%,2.0,1.21,97,1%,1.0,32.98,82,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,CSCC 7058,02/20,APOLO FIV DE NAVIRAI,G,CSCR 1135,28,CSCC 7058 02/20 APOLO FIV DE NAVIRAI G CSCR 1135 -1.14 37 5% 74.30 85 56% 32.34 86 3% 4.83 70 3% 1.21 68 1% 54 8 29.33 42 5%,-1.14,37,5%,5.0,74.3,85,56%,56.0,32.34,86,3%,3.0,4.83,70,3%,3.0,1.21,68,1%,1.0,29.33,42,5%,5.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REMP 1512,09/21,REM LORD GEN. ADT,G,REMP 816,28,REMP 1512 09/21 REM LORD GEN. ADT G REMP 816 -1.06 45 8% 86.02 58 8% 28.53 71 6% 5.33 67 2% 1.20 65 1% 47 2 28.37 48 6%,-1.06,45,8%,8.0,86.02,58,8%,8.0,28.53,71,6%,6.0,5.33,67,2%,2.0,1.2,65,1%,1.0,28.37,48,6%,6.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,CAMT 9196,08/21,TORNADO FIV MAFRA,G,REMP 816,28,CAMT 9196 08/21 TORNADO FIV MAFRA G REMP 816 -0.94 44 15% 84.85 72 11% 35.58 71 2% 3.96 65 7% 1.20 64 1% 27 2 29.80 47 4%,-0.94,44,15%,15.0,84.85,72,11%,11.0,35.58,71,2%,2.0,3.96,65,7%,7.0,1.2,64,1%,1.0,29.8,47,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FANO 2523,11/19,DONALD DA AGRONOVA,G,MATI 1788,28,FANO 2523 11/19 DONALD DA AGRONOVA G MATI 1788 -0.80 45 28% 81.87 85 22% 24.96 85 11% 5.28 77 2% 1.19 74 1% 55 11 31.10 50 3%,-0.8,45,28%,28.0,81.87,85,22%,22.0,24.96,85,11%,11.0,5.28,77,2%,2.0,1.19,74,1%,1.0,31.1,50,3%,3.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,EAO B4381,08/20,DUCATTI DA EAO,G,REM A1936,28,EAO B4381 08/20 DUCATTI DA EAO G REM A1936 -1.14 43 5% 91.30 44 2% 29.47 83 5% 5.62 71 2% 1.19 70 1% 88 3 28.64 33 5%,-1.14,43,5%,5.0,91.3,44,2%,2.0,29.47,83,5%,5.0,5.62,71,2%,2.0,1.19,70,1%,1.0,28.64,33,5%,5.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,CSCN 21106,11/21,BARÃƒO NAVIRAÃ•,G,REMP 816,28,CSCN 21106 11/21 BARÃƒO NAVIRAÃ• G REMP 816 -0.94 43 15% 93.07 74 1% 34.14 69 2% 3.50 64 10% 1.19 62 1% 87 5 30.45 46 4%,-0.94,43,15%,15.0,93.07,74,1%,1.0,34.14,69,2%,2.0,3.5,64,10%,10.0,1.19,62,1%,1.0,30.45,46,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FBFM 8950,09/18,PORTO DO BATUQUE,G,FBFM 6505,28,FBFM 8950 09/18 PORTO DO BATUQUE G FBFM 6505 -1.08 65 7% 91.41 87 2% 22.13 91 15% 3.85 88 8% 1.18 87 1% 384 11 25.71 74 9%,-1.08,65,7%,7.0,91.41,87,2%,2.0,22.13,91,15%,15.0,3.85,88,8%,8.0,1.18,87,1%,1.0,25.71,74,9%,9.0,"IPP,3P,P450,AOL,ACAB,MGTe"
