breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Guzerá,FNF A2161,06/13,LAURINO FIV NF,,CNS 4995,40,"FNF A2161 06/13 LAURINO FIV NF CNS 4995 -0.85 22 1% 1.63 23 11% 83.81 34 0,5% 13.22 12 9% 2.96 49 3% 19 0 28.81 12 2%",-0.85,22,1%,1.0,1.63,23,11%,11.0,83.81,34,"0,5%",0.5,13.22,12,9%,9.0,2.96,49,3%,3.0,28.81,12,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,HQB 1828,09/07,MARCA SOL JUA,,HQB 381,40,"HQB 1828 09/07 MARCA SOL JUA HQB 381 -0.34 22 16% 2.32 22 3% 83.75 37 0,5% 16.17 13 4% 3.12 59 2% 20 0 32.82 13 0,5%",-0.34,22,16%,16.0,2.32,22,3%,3.0,83.75,37,"0,5%",0.5,16.17,13,4%,4.0,3.12,59,2%,2.0,32.82,13,"0,5%",0.5,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,OJA 116,08/10,IENE OJ,,ROES 84,40,"OJA 116 08/10 IENE OJ ROES 84 -0.40 17 13% 1.08 19 25% 83.24 27 0,5% 25.40 17 0,5% 1.59 52 35% 10 0 28.13 17 3%",-0.4,17,13%,13.0,1.08,19,25%,25.0,83.24,27,"0,5%",0.5,25.4,17,"0,5%",0.5,1.59,52,35%,35.0,28.13,17,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,DACI 1297,05/07,GINO FIV DO DER,,HQB 381,40,"DACI 1297 05/07 GINO FIV DO DER HQB 381 -0.74 18 2% 2.74 21 1% 82.96 28 0,5% 14.77 47 6% 3.07 54 2% 10 0 32.03 18 0,5%",-0.74,18,2%,2.0,2.74,21,1%,1.0,82.96,28,"0,5%",0.5,14.77,47,6%,6.0,3.07,54,2%,2.0,32.03,18,"0,5%",0.5,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF A2156,06/13,LEVIANO FIV NF,,CNS 4995,40,"FNF A2156 06/13 LEVIANO FIV NF CNS 4995 -0.16 18 31% 2.26 22 3% 82.80 27 0,5% 10.54 13 16% 3.05 38 2% 6 0 29.11 13 2%",-0.16,18,31%,31.0,2.26,22,3%,3.0,82.8,27,"0,5%",0.5,10.54,13,16%,16.0,3.05,38,2%,2.0,29.11,13,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,CSCG 1761,08/06,FAMOSO DE NAVIRAI,,CNS 4995,40,"CSCG 1761 08/06 FAMOSO DE NAVIRAI CNS 4995 0.15 22 81% 3.12 29 0,5% 80.84 35 0,5% 17.54 14 3% 3.12 61 2% 13 0 32.43 14 0,5%",0.15,22,81%,81.0,3.12,29,"0,5%",0.5,80.84,35,"0,5%",0.5,17.54,14,3%,3.0,3.12,61,2%,2.0,32.43,14,"0,5%",0.5,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF 9490,10/07,ENXOVAL FIV NF,G,HQB 258,40,"FNF 9490 10/07 ENXOVAL FIV NF G HQB 258 0.18 35 85% 1.26 42 20% 80.76 41 0,5% 16.21 39 4% 1.58 72 35% 26 0 26.37 35 5%",0.18,35,85%,85.0,1.26,42,20%,20.0,80.76,41,"0,5%",0.5,16.21,39,4%,4.0,1.58,72,35%,35.0,26.37,35,5%,5.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF 9487,10/07,ERMITAO FIV NF,,HQB 258,40,"FNF 9487 10/07 ERMITAO FIV NF HQB 258 0.17 21 84% 1.26 26 20% 80.76 33 0,5% 17.64 17 3% 1.58 56 35% 13 0 24.17 16 9%",0.17,21,84%,84.0,1.26,26,20%,20.0,80.76,33,"0,5%",0.5,17.64,17,3%,3.0,1.58,56,35%,35.0,24.17,16,9%,9.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF 8767,04/06,DOCENTE NF,,FNF 7026,40,FNF 8767 04/06 DOCENTE NF FNF 7026 -0.07 18 43% 1.32 21 18% 80.47 30 1% 10.12 10 17% 2.01 54 19% 14 0 19.73 8 21%,-0.07,18,43%,43.0,1.32,21,18%,18.0,80.47,30,1%,1.0,10.12,10,17%,17.0,2.01,54,19%,19.0,19.73,8,21%,21.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITG 3397,09/12,CARAMELO FIV IT,,CNS 4995,40,ITG 3397 09/12 CARAMELO FIV IT CNS 4995 -0.57 22 5% 2.91 25 1% 80.29 31 1% 16.57 30 4% 2.47 61 8% 11 0 31.06 22 1%,-0.57,22,5%,5.0,2.91,25,1%,1.0,80.29,31,1%,1.0,16.57,30,4%,4.0,2.47,61,8%,8.0,31.06,22,1%,1.0,"IPP,MP120,STAY,P450,PE365,MGTe"
