breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Guzerá,FNF 9963,11/08,FISGADOR NF,,TOTG 997,40,FNF 9963 11/08 FISGADOR NF TOTG 997 0.44 24 99% 2.67 27 2% 80.15 37 1% 10.93 9 15% 2.38 58 10% 22 0 27.07 9 4%,0.44,24,99%,99.0,2.67,27,2%,2.0,80.15,37,1%,1.0,10.93,9,15%,15.0,2.38,58,10%,10.0,27.07,9,4%,4.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITG 3097,05/09,VERMUTE TE IT,G,MABI 396,40,ITG 3097 05/09 VERMUTE TE IT G MABI 396 0.31 43 95% 2.87 41 1% 79.84 39 1% 14.46 44 6% 3.12 61 2% 15 0 29.18 39 2%,0.31,43,95%,95.0,2.87,41,1%,1.0,79.84,39,1%,1.0,14.46,44,6%,6.0,3.12,61,2%,2.0,29.18,39,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,HQB 2904,05/09,MARCA SOL,,MAGNUM 5735,40,HQB 2904 05/09 MARCA SOL MAGNUM 5735 -0.68 32 3% 1.83 30 8% 77.98 46 2% 15.10 15 5% 2.98 73 3% 43 0 29.64 15 2%,-0.68,32,3%,3.0,1.83,30,8%,8.0,77.98,46,2%,2.0,15.1,15,5%,5.0,2.98,73,3%,3.0,29.64,15,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITG 3382,07/12,CAMAROTE TE IT,,ITG 3097,40,ITG 3382 07/12 CAMAROTE TE IT ITG 3097 -0.18 13 29% 2.81 55 1% 77.54 42 2% 18.08 45 2% 2.47 65 8% 8 0 28.79 13 2%,-0.18,13,29%,29.0,2.81,55,1%,1.0,77.54,42,2%,2.0,18.08,45,2%,2.0,2.47,65,8%,8.0,28.79,13,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF A471,11/09,GRAFICO FIV NF,G,MVB 20,40,FNF A471 11/09 GRAFICO FIV NF G MVB 20 -0.08 31 42% 2.79 47 1% 77.03 48 2% 16.70 47 3% 2.45 78 9% 45 0 29.98 31 2%,-0.08,31,42%,42.0,2.79,47,1%,1.0,77.03,48,2%,2.0,16.7,47,3%,3.0,2.45,78,9%,9.0,29.98,31,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITG 2920,09/07,SUECO IT,,MVB 20,40,"ITG 2920 09/07 SUECO IT MVB 20 -0.27 24 21% 3.64 26 0,5% 76.99 35 2% 28.54 62 0,1% 3.03 66 3% 53 0 36.69 24 0,1%",-0.27,24,21%,21.0,3.64,26,"0,5%",0.5,76.99,35,2%,2.0,28.54,62,"0,1%",0.1,3.03,66,3%,3.0,36.69,24,"0,1%",0.1,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,RPOG 138,09/10,HUNT TE DA ROSALITO,,PEAC 491,40,"RPOG 138 09/10 HUNT TE DA ROSALITO PEAC 491 -0.66 12 3% 2.14 14 4% 76.86 22 3% 25.85 43 0,5% 2.52 51 8% 5 0 34.77 12 0,1%",-0.66,12,3%,3.0,2.14,14,4%,4.0,76.86,22,3%,3.0,25.85,43,"0,5%",0.5,2.52,51,8%,8.0,34.77,12,"0,1%",0.1,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITVT 233,05/13,MESTRE TE ITAT,G,CNS 4995,40,ITVT 233 05/13 MESTRE TE ITAT G CNS 4995 -0.26 40 22% 2.12 40 4% 75.67 47 4% 1.42 52 68% 2.43 79 9% 53 0 21.37 40 16%,-0.26,40,22%,22.0,2.12,40,4%,4.0,75.67,47,4%,4.0,1.42,52,68%,68.0,2.43,79,9%,9.0,21.37,40,16%,16.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,RFS 3314,02/09,DECANO TE RF,,JFT 2422,40,RFS 3314 02/09 DECANO TE RF JFT 2422 -0.09 13 40% 2.37 13 3% 74.71 25 5% 1.82 8 65% 2.61 38 6% 7 0 20.89 8 17%,-0.09,13,40%,40.0,2.37,13,3%,3.0,74.71,25,5%,5.0,1.82,8,65%,65.0,2.61,38,6%,6.0,20.89,8,17%,17.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,RPOG 171,02/11,ILUSTRE DA ROSALITO,,ITG 2579,40,RPOG 171 02/11 ILUSTRE DA ROSALITO ITG 2579 -0.75 20 2% 1.97 42 6% 74.67 40 5% 15.69 53 5% 2.99 63 3% 7 0 30.95 20 1%,-0.75,20,2%,2.0,1.97,42,6%,6.0,74.67,40,5%,5.0,15.69,53,5%,5.0,2.99,63,3%,3.0,30.95,20,1%,1.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF A753,03/10,HAMAL NF,G,TABO 866,40,FNF A753 03/10 HAMAL NF G TABO 866 -0.57 45 5% 2.57 39 2% 74.09 38 5% 4.09 39 49% 2.81 60 4% 18 0 27.15 38 4%,-0.57,45,5%,5.0,2.57,39,2%,2.0,74.09,38,5%,5.0,4.09,39,49%,49.0,2.81,60,4%,4.0,27.15,38,4%,4.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITG 3295,09/11,BECO IT,,CNS 7222,40,"ITG 3295 09/11 BECO IT CNS 7222 -0.61 24 4% 2.46 26 2% 73.71 34 6% 21.93 53 1% 1.83 64 25% 22 0 32.18 24 0,5%",-0.61,24,4%,4.0,2.46,26,2%,2.0,73.71,34,6%,6.0,21.93,53,1%,1.0,1.83,64,25%,25.0,32.18,24,"0,5%",0.5,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,HQB 1694,06/07,MARCA SOL,,JAIRZINHO 8170,40,HQB 1694 06/07 MARCA SOL JAIRZINHO 8170 -0.13 21 35% 1.40 24 16% 73.09 37 7% 7.75 24 26% 3.13 67 2% 17 0 29.98 21 2%,-0.13,21,35%,35.0,1.4,24,16%,16.0,73.09,37,7%,7.0,7.75,24,26%,26.0,3.13,67,2%,2.0,29.98,21,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,OJA 218,08/12,LAMBARI OJ,,ITG 2579,40,"OJA 218 08/12 LAMBARI OJ ITG 2579 -1.03 15 0,5% 0.88 15 31% 72.70 23 8% 21.90 37 1% 2.34 35 11% 6 0 30.90 12 1%",-1.03,15,"0,5%",0.5,0.88,15,31%,31.0,72.7,23,8%,8.0,21.9,37,1%,1.0,2.34,35,11%,11.0,30.9,12,1%,1.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,MYKT 478,09/13,DIGITAL FIV GUZERA 10,G,ITG 1235,40,"MYKT 478 09/13 DIGITAL FIV GUZERA 10 G ITG 1235 -1.08 44 0,5% 0.73 38 36% 72.46 42 8% 17.17 50 3% 2.36 38 11% 12 0 28.36 38 3%",-1.08,44,"0,5%",0.5,0.73,38,36%,36.0,72.46,42,8%,8.0,17.17,50,3%,3.0,2.36,38,11%,11.0,28.36,38,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITG 3154,02/10,ABRACO TE IT,G,MABI 396,40,ITG 3154 02/10 ABRACO TE IT G MABI 396 -0.74 45 2% 2.76 43 1% 72.05 40 9% 16.06 51 4% 2.51 67 8% 18 0 29.68 40 2%,-0.74,45,2%,2.0,2.76,43,1%,1.0,72.05,40,9%,9.0,16.06,51,4%,4.0,2.51,67,8%,8.0,29.68,40,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,MGZ014367,05/15,GANCEBU POEMA,G,CNS 7480,40,"MGZ014367 05/15 GANCEBU POEMA G CNS 7480 -0.63 42 3% 3.18 46 0,5% 71.97 41 9% 3.38 45 54% 0.59 47 71% 10 0 12.48 39 43%",-0.63,42,3%,3.0,3.18,46,"0,5%",0.5,71.97,41,9%,9.0,3.38,45,54%,54.0,0.59,47,71%,71.0,12.48,39,43%,43.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,CNS 7259,12/06,AVANTE S,,MVB 20,40,"CNS 7259 12/06 AVANTE S MVB 20 -0.35 28 16% 2.57 35 2% 71.59 26 10% 24.79 47 0,5% 3.06 73 2% 42 0 34.95 26 0,1%",-0.35,28,16%,16.0,2.57,35,2%,2.0,71.59,26,10%,10.0,24.79,47,"0,5%",0.5,3.06,73,2%,2.0,34.95,26,"0,1%",0.1,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,MNCG 158,12/10,FOGO FIV DA SARG,,GEO 422,40,MNCG 158 12/10 FOGO FIV DA SARG GEO 422 -0.38 15 14% 2.44 19 2% 71.33 25 11% 8.11 16 25% 1.73 52 29% 29 0 20.75 15 18%,-0.38,15,14%,14.0,2.44,19,2%,2.0,71.33,25,11%,11.0,8.11,16,25%,25.0,1.73,52,29%,29.0,20.75,15,18%,18.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,GEO 512,05/07,ENDERECO FIV GEO,,CNS 4995,40,"GEO 512 05/07 ENDERECO FIV GEO CNS 4995 -0.12 39 36% 2.28 40 3% 71.18 28 11% 17.55 3 3% 3.11 83 2% 88 0 31.98 3 0,5%",-0.12,39,36%,36.0,2.28,40,3%,3.0,71.18,28,11%,11.0,17.55,3,3%,3.0,3.11,83,2%,2.0,31.98,3,"0,5%",0.5,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,CPTL 375,05/10,JATO DA CAPITAL,,FAFM 792,40,"CPTL 375 05/10 JATO DA CAPITAL FAFM 792 -0.62 16 4% 0.53 21 45% 70.43 20 14% 19.48 21 2% 3.19 36 2% 8 0 32.81 16 0,5%",-0.62,16,4%,4.0,0.53,21,45%,45.0,70.43,20,14%,14.0,19.48,21,2%,2.0,3.19,36,2%,2.0,32.81,16,"0,5%",0.5,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,OJA 40,09/07,FADO OJ,,ITG 1235,40,OJA 40 09/07 FADO OJ ITG 1235 -0.41 16 12% 0.49 22 46% 69.93 23 16% 8.23 18 24% 1.71 51 30% 5 0 17.93 16 26%,-0.41,16,12%,12.0,0.49,22,46%,46.0,69.93,23,16%,16.0,8.23,18,24%,24.0,1.71,51,30%,30.0,17.93,16,26%,26.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,MGZ009731,03/11,CCL ABSOLUTO TE,,CNS 4995,40,MGZ009731 03/11 CCL ABSOLUTO TE CNS 4995 -0.49 32 7% 1.23 38 20% 69.92 30 16% 8.16 12 25% 2.56 34 7% 40 0 21.49 12 16%,-0.49,32,7%,7.0,1.23,38,20%,20.0,69.92,30,16%,16.0,8.16,12,25%,25.0,2.56,34,7%,7.0,21.49,12,16%,16.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITVT 345,12/13,GUZERA IT 345,G,ITG 3097,40,ITVT 345 12/13 GUZERA IT 345 G ITG 3097 -0.49 33 7% 0.71 47 37% 69.14 41 19% 0.38 45 75% 1.77 77 27% 32 0 15.72 33 33%,-0.49,33,7%,7.0,0.71,47,37%,37.0,69.14,41,19%,19.0,0.38,45,75%,75.0,1.77,77,27%,27.0,15.72,33,33%,33.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF A2547,05/14,MANSO FIV NF,G,CNS 4995,40,FNF A2547 05/14 MANSO FIV NF G CNS 4995 -0.07 45 43% 1.30 44 19% 68.99 40 19% 2.12 43 63% 2.14 58 16% 8 0 16.93 40 30%,-0.07,45,43%,43.0,1.3,44,19%,19.0,68.99,40,19%,19.0,2.12,43,63%,63.0,2.14,58,16%,16.0,16.93,40,30%,30.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF A2577,09/14,MANANCIAL NF,G,IVAG 1700,40,FNF A2577 09/14 MANANCIAL NF G IVAG 1700 -0.75 42 2% 1.66 48 11% 68.86 49 20% -1.67 46 88% 2.20 65 15% 43 0 18.89 42 23%,-0.75,42,2%,2.0,1.66,48,11%,11.0,68.86,49,20%,20.0,-1.67,46,88%,88.0,2.2,65,15%,15.0,18.89,42,23%,23.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,HQB 2912,05/09,MARCA SOL MAESTRO,,HQB 381,40,HQB 2912 05/09 MARCA SOL MAESTRO HQB 381 -0.19 13 28% 1.37 16 17% 68.64 25 20% 1.47 19 67% 1.83 50 25% 5 0 16.59 13 31%,-0.19,13,28%,28.0,1.37,16,17%,17.0,68.64,25,20%,20.0,1.47,19,67%,67.0,1.83,50,25%,25.0,16.59,13,31%,31.0,"IPP,MP120,STAY,P450,PE365,MGTe"
