breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Brahman,BENT 5876,10/18,CJ SANT ANNNA POI COM,G,BENT 3706,59,"BENT 5876 10/18 CJ SANT ANNNA POI COM G BENT 3706 -0.54 44 24% 1.03 44 89% 0.44 57 22% 4.20 58 0,1% 0.57 56 2% 19 1 10.79 39 16%",-0.54,44,24%,24.0,1.03,44,89%,89.0,0.44,57,22%,22.0,4.2,58,"0,1%",0.1,0.57,56,2%,2.0,10.79,39,16%,16.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,CSCP 1579,10/19,1579 DE NAVIRAI,,BRBR 432,59,"CSCP 1579 10/19 1579 DE NAVIRAI BRBR 432 -0.21 10 60% -4.81 42 100% 1.00 44 2% 3.55 38 0,1% 0.83 33 0,5% 33 1 11.18 10 15%",-0.21,10,60%,60.0,-4.81,42,100%,100.0,1.0,44,2%,2.0,3.55,38,"0,1%",0.1,0.83,33,"0,5%",0.5,11.18,10,15%,15.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,OBGP 5672,09/20,SELETO FIV OB,G,UBER 461,59,"OBGP 5672 09/20 SELETO FIV OB G UBER 461 -0.29 44 47% 19.91 41 0,5% 0.45 56 21% 3.30 44 0,1% 0.32 41 14% 19 1 20.79 39 0,5%",-0.29,44,47%,47.0,19.91,41,"0,5%",0.5,0.45,56,21%,21.0,3.3,44,"0,1%",0.1,0.32,41,14%,14.0,20.79,39,"0,5%",0.5,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,UBER 336,02/08,MR UBER POI 336,G,630321,59,"UBER 336 02/08 MR UBER POI 336 G 630321 -0.89 43 5% 7.61 50 27% 0.76 51 2% 3.21 44 0,1% -0.26 39 88% 23 1 16.15 39 3%",-0.89,43,5%,5.0,7.61,50,27%,27.0,0.76,51,2%,2.0,3.21,44,"0,1%",0.1,-0.26,39,88%,88.0,16.15,39,3%,3.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,OBGP 5664,09/20,SOBRADO FIV OB,G,UBER 461,59,"OBGP 5664 09/20 SOBRADO FIV OB G UBER 461 -0.43 45 33% 13.03 39 5% 0.32 53 37% 2.40 46 0,5% 0.28 44 18% 25 1 15.51 39 4%",-0.43,45,33%,33.0,13.03,39,5%,5.0,0.32,53,37%,37.0,2.4,46,"0,5%",0.5,0.28,44,18%,18.0,15.51,39,4%,4.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,UBER 656,12/10,MR UBER POI 656,G,718788,59,UBER 656 12/10 MR UBER POI 656 G 718788 -0.52 31 25% 8.60 60 22% 0.61 76 7% 2.19 49 1% -0.12 43 75% 39 1 18.42 31 1%,-0.52,31,25%,25.0,8.6,60,22%,22.0,0.61,76,7%,7.0,2.19,49,1%,1.0,-0.12,43,75%,75.0,18.42,31,1%,1.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,CSCP 1193,11/14,1193 DE NAVIRAI,G,WRRB 115,59,CSCP 1193 11/14 1193 DE NAVIRAI G WRRB 115 -0.58 46 20% 7.96 48 25% 0.79 48 2% 2.18 39 1% 0.19 48 30% 6 1 13.61 38 8%,-0.58,46,20%,20.0,7.96,48,25%,25.0,0.79,48,2%,2.0,2.18,39,1%,1.0,0.19,48,30%,30.0,13.61,38,8%,8.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,UBER 1506,12/15,MR UBER JATOBA 1506,G,UBER 783,59,UBER 1506 12/15 MR UBER JATOBA 1506 G UBER 783 0.21 37 98% 11.21 59 11% 0.35 71 33% 2.00 40 1% -0.11 48 74% 10 1 12.04 37 12%,0.21,37,98%,98.0,11.21,59,11%,11.0,0.35,71,33%,33.0,2.0,40,1%,1.0,-0.11,48,74%,74.0,12.04,37,12%,12.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,OBGP 5818,02/21,TRIVOLE FIV OB,G,OBGP 1193,59,"OBGP 5818 02/21 TRIVOLE FIV OB G OBGP 1193 -0.53 43 24% 18.77 48 0,5% 0.39 41 28% 1.98 43 1% 0.69 43 1% 8 1 25.33 41 0,1%",-0.53,43,24%,24.0,18.77,48,"0,5%",0.5,0.39,41,28%,28.0,1.98,43,1%,1.0,0.69,43,1%,1.0,25.33,41,"0,1%",0.1,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,CABR 1769,09/11,CABR IOTIN,,1769 846561,59,"CABR 1769 09/11 CABR IOTIN 1769 846561 -0.81 20 8% 15.44 23 2% 0.72 51 3% 1.76 27 2% 0.25 23 22% 7 1 19.84 20 0,5%",-0.81,20,8%,8.0,15.44,23,2%,2.0,0.72,51,3%,3.0,1.76,27,2%,2.0,0.25,23,22%,22.0,19.84,20,"0,5%",0.5,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,OBGP 5763,12/20,ASSOTAKAN OB,G,OBGP 4984,59,"OBGP 5763 12/20 ASSOTAKAN OB G OBGP 4984 -0.55 34 23% 18.57 43 0,5% 0.38 50 29% 1.55 43 3% 0.50 40 3% 8 1 16.98 34 2%",-0.55,34,23%,23.0,18.57,43,"0,5%",0.5,0.38,50,29%,29.0,1.55,43,3%,3.0,0.5,40,3%,3.0,16.98,34,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,UBER 401,02/09,MR UBER POI 401,G,718788,59,UBER 401 02/09 MR UBER POI 401 G 718788 -0.46 48 30% 10.19 63 15% 0.36 71 32% 1.48 60 4% -0.09 55 71% 21 5 15.23 48 5%,-0.46,48,30%,30.0,10.19,63,15%,15.0,0.36,71,32%,32.0,1.48,60,4%,4.0,-0.09,55,71%,71.0,15.23,48,5%,5.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,CSCP 1533,07/19,1533 DE NAVIRAI,G,UBER 461,59,"CSCP 1533 07/19 1533 DE NAVIRAI G UBER 461 -0.18 41 65% 25.98 39 0,1% 0.50 51 16% 1.30 47 5% 0.32 43 14% 16 1 25.43 39 0,1%",-0.18,41,65%,65.0,25.98,39,"0,1%",0.1,0.5,51,16%,16.0,1.3,47,5%,5.0,0.32,43,14%,14.0,25.43,39,"0,1%",0.1,"IPP,P450,PE365,AOL,ACAB,MGTe"
Brahman,190816EE,09/19,ACRON DE ESP̥RITU,G,100826EE,59,190816EE 09/19 ACRON DE ESP̥RITU G 100826EE 0.00 31 85% 16.14 61 2% 0.58 75 9% 0.94 65 9% 0.45 62 5% 33 1 17.11 31 2%,0.0,31,85%,85.0,16.14,61,2%,2.0,0.58,75,9%,9.0,0.94,65,9%,9.0,0.45,62,5%,5.0,17.11,31,2%,2.0,"IPP,P450,PE365,AOL,ACAB,MGTe"
