breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,3Pdep,3Pac,3Ptop,3Ptop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,WWRA 143,02/25,143 FIV R2W,G,EAO B8522,31,"WWRA 143 02/25 143 FIV R2W G EAO B8522 92.16 48 1% 7.45 41 0,1% 99.13 41 1% 49.14 62 0,1% 1.88 54 2% 8.14 58 0,1% 47.55 41 0,1%",92.16,48,1%,1.0,7.45,41,"0,1%",0.1,99.13,41,1%,1.0,49.14,62,"0,1%",0.1,1.88,54,2%,2.0,8.14,58,"0,1%",0.1,47.55,41,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,WWRA 151,02/25,151 FIV R2W,G,EAO B8522,31,"WWRA 151 02/25 151 FIV R2W G EAO B8522 97.13 50 0,1% 6.40 41 0,5% 99.13 41 1% 45.99 63 0,1% 2.07 54 1% 8.67 57 0,1% 46.99 41 0,1%",97.13,50,"0,1%",0.1,6.4,41,"0,5%",0.5,99.13,41,1%,1.0,45.99,63,"0,1%",0.1,2.07,54,1%,1.0,8.67,57,"0,1%",0.1,46.99,41,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FVCP 5069,08/25,5069 FIV FVC,G,MCPJ 8259,31,"FVCP 5069 08/25 5069 FIV FVC G MCPJ 8259 98.40 49 0,1% 8.25 47 0,1% 99.13 41 1% 53.81 44 0,1% 1.73 46 3% 5.77 33 1% 46.41 33 0,1%",98.4,49,"0,1%",0.1,8.25,47,"0,1%",0.1,99.13,41,1%,1.0,53.81,44,"0,1%",0.1,1.73,46,3%,3.0,5.77,33,1%,1.0,46.41,33,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,RDM B213,08/23,ICLOUD MAT.,G,RDM A4655,31,"RDM B213 08/23 ICLOUD MAT. G RDM A4655 87.09 53 6% 6.45 39 0,5% 99.11 44 1% 50.13 65 0,1% 1.84 57 2% 8.92 61 0,1% 46.09 39 0,1%",87.09,53,6%,6.0,6.45,39,"0,5%",0.5,99.11,44,1%,1.0,50.13,65,"0,1%",0.1,1.84,57,2%,2.0,8.92,61,"0,1%",0.1,46.09,39,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FVCP 5076,08/25,5076 FIV FVC,G,MCPJ 8259,31,"FVCP 5076 08/25 5076 FIV FVC G MCPJ 8259 96.87 36 0,1% 8.19 32 0,1% 99.15 48 0,1% 52.96 36 0,1% 1.70 36 3% 5.81 48 1% 45.89 32 0,1%",96.87,36,"0,1%",0.1,8.19,32,"0,1%",0.1,99.15,48,"0,1%",0.1,52.96,36,"0,1%",0.1,1.7,36,3%,3.0,5.81,48,1%,1.0,45.89,32,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,SINO 4265,08/24,L4265 SINO,G,SINO 3015,31,"SINO 4265 08/24 L4265 SINO G SINO 3015 84.84 53 11% 7.97 43 0,1% 95.72 46 2% 46.40 66 0,1% 1.32 55 8% 7.18 59 0,1% 45.31 43 0,1%",84.84,53,11%,11.0,7.97,43,"0,1%",0.1,95.72,46,2%,2.0,46.4,66,"0,1%",0.1,1.32,55,8%,8.0,7.18,59,"0,1%",0.1,45.31,43,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FVCP 4307,08/24,GRIFO FIV FVC,G,IPB 6732,31,"FVCP 4307 08/24 GRIFO FIV FVC G IPB 6732 91.64 54 2% 8.61 47 0,1% 99.13 50 1% 49.84 67 0,1% 2.21 59 0,5% 5.96 63 1% 45.18 47 0,1%",91.64,54,2%,2.0,8.61,47,"0,1%",0.1,99.13,50,1%,1.0,49.84,67,"0,1%",0.1,2.21,59,"0,5%",0.5,5.96,63,1%,1.0,45.18,47,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,REMQ 299,07/23,REM NORMANDO FIV GEN.,G,FANO 2762,31,"REMQ 299 07/23 REM NORMANDO FIV GEN. G FANO 2762 92.96 51 1% 6.19 43 1% 91.25 42 4% 52.74 65 0,1% 2.29 56 0,5% 6.52 62 0,5% 44.99 42 0,1%",92.96,51,1%,1.0,6.19,43,1%,1.0,91.25,42,4%,4.0,52.74,65,"0,1%",0.1,2.29,56,"0,5%",0.5,6.52,62,"0,5%",0.5,44.99,42,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FANO 5417,08/24,JUIZ DA AGRONOVA,G,FANO 2995,31,"FANO 5417 08/24 JUIZ DA AGRONOVA G FANO 2995 90.85 51 2% 5.28 40 2% 99.15 44 0,1% 51.12 64 0,1% 1.75 56 3% 6.55 59 0,5% 44.97 40 0,1%",90.85,51,2%,2.0,5.28,40,2%,2.0,99.15,44,"0,1%",0.1,51.12,64,"0,1%",0.1,1.75,56,3%,3.0,6.55,59,"0,5%",0.5,44.97,40,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,REMP 3058,07/25,REM3058P FIV GENETICA,G,REMP 2118,31,"REMP 3058 07/25 REM3058P FIV GENETICA G REMP 2118 91.63 44 2% 6.79 44 0,5% 96.79 44 2% 48.61 42 0,1% 1.77 38 3% 9.08 47 0,1% 44.81 38 0,1%",91.63,44,2%,2.0,6.79,44,"0,5%",0.5,96.79,44,2%,2.0,48.61,42,"0,1%",0.1,1.77,38,3%,3.0,9.08,47,"0,1%",0.1,44.81,38,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
