breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,3Pdep,3Pac,3Ptop,3Ptop_pct,MP210dep,MP210ac,MP210top,MP210top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P210dep,P210ac,P210top,P210top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTe_CRdep,MGTe_CRac,MGTe_CRtop,MGTe_CRtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,COL 28075,06/21,VIPUL FIV COL,G,COL 25550,16,"COL 28075 06/21 VIPUL FIV COL G COL 25550 88.94 73 4% 12.56 48 0,1% 98.54 68 2% 16.65 67 5% 1.70 63 3% 37.31 49 0,1% 34.40 49 1%",88.94,73,4%,4.0,12.56,48,"0,1%",0.1,98.54,68,2%,2.0,16.65,67,5%,5.0,1.7,63,3%,3.0,37.31,49,"0,1%",0.1,34.4,49,1%,1.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,SGN 1391,12/18,LUMIAR FIV DO CRISPIM,G,REM 6447,16,"SGN 1391 12/18 LUMIAR FIV DO CRISPIM G REM 6447 86.03 86 8% 12.46 47 0,1% 89.46 82 5% 19.56 68 2% 1.15 63 11% 37.01 48 0,1% 40.29 48 0,1%",86.03,86,8%,8.0,12.46,47,"0,1%",0.1,89.46,82,5%,5.0,19.56,68,2%,2.0,1.15,63,11%,11.0,37.01,48,"0,1%",0.1,40.29,48,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,REMP 1715,12/21,REM LONDRES FIV GEN.A,G,REMP 602,16,"REMP 1715 12/21 REM LONDRES FIV GEN.A G REMP 602 84.12 75 13% 9.07 43 0,5% 96.72 69 2% 20.32 75 2% 2.77 57 0,1% 37.00 43 0,1% 36.18 43 0,1%",84.12,75,13%,13.0,9.07,43,"0,5%",0.5,96.72,69,2%,2.0,20.32,75,2%,2.0,2.77,57,"0,1%",0.1,37.0,43,"0,1%",0.1,36.18,43,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,COL 28419,11/21,VESTIGIO FIV COL,G,AZAN 2343,16,"COL 28419 11/21 VESTIGIO FIV COL G AZAN 2343 84.87 75 11% 8.57 42 1% 89.43 68 5% 25.55 62 0,1% 1.36 56 7% 36.58 42 0,1% 37.21 42 0,1%",84.87,75,11%,11.0,8.57,42,1%,1.0,89.43,68,5%,5.0,25.55,62,"0,1%",0.1,1.36,56,7%,7.0,36.58,42,"0,1%",0.1,37.21,42,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,EAO B8522,11/21,EMBLEMA FIV DA EAO,G,REM A7,16,"EAO B8522 11/21 EMBLEMA FIV DA EAO G REM A7 95.41 73 0,1% 9.44 51 0,5% 98.65 69 1% 18.42 71 3% 2.03 64 1% 36.54 51 0,1% 34.73 51 1%",95.41,73,"0,1%",0.1,9.44,51,"0,5%",0.5,98.65,69,1%,1.0,18.42,71,3%,3.0,2.03,64,1%,1.0,36.54,51,"0,1%",0.1,34.73,51,1%,1.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,RDM A6179,08/21,GALLO MAT.,G,REMP 602,16,"RDM A6179 08/21 GALLO MAT. G REMP 602 86.23 74 8% 10.30 45 0,1% 88.01 68 6% 19.68 66 2% 2.23 62 0,5% 36.38 45 0,1% 35.45 45 0,5%",86.23,74,8%,8.0,10.3,45,"0,1%",0.1,88.01,68,6%,6.0,19.68,66,2%,2.0,2.23,62,"0,5%",0.5,36.38,45,"0,1%",0.1,35.45,45,"0,5%",0.5,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,XRGM 4865,08/22,LANDROVER DA XARAES,G,XRGM 4111,16,"XRGM 4865 08/22 LANDROVER DA XARAES G XRGM 4111 91.77 73 2% 6.43 40 5% 97.30 70 2% 23.01 64 0,5% 2.37 59 0,1% 36.26 41 0,1% 39.84 41 0,1%",91.77,73,2%,2.0,6.43,40,5%,5.0,97.3,70,2%,2.0,23.01,64,"0,5%",0.5,2.37,59,"0,1%",0.1,36.26,41,"0,1%",0.1,39.84,41,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,FVCP 1762,07/21,SANSÃƒO FIV FVC,G,REMP 602,16,"FVCP 1762 07/21 SANSÃƒO FIV FVC G REMP 602 87.10 74 6% 10.82 43 0,1% 95.29 69 2% 18.54 65 3% 2.01 57 1% 35.98 44 0,5% 34.59 44 1%",87.1,74,6%,6.0,10.82,43,"0,1%",0.1,95.29,69,2%,2.0,18.54,65,3%,3.0,2.01,57,1%,1.0,35.98,44,"0,5%",0.5,34.59,44,1%,1.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,JHVM 23887,08/22,JH FIV CAMPARINO,G,MMVA 2725,16,"JHVM 23887 08/22 JH FIV CAMPARINO G MMVA 2725 89.43 73 3% 11.98 47 0,1% 99.12 68 1% 14.02 65 10% 1.38 61 7% 35.97 48 0,5% 35.76 48 0,5%",89.43,73,3%,3.0,11.98,47,"0,1%",0.1,99.12,68,1%,1.0,14.02,65,10%,10.0,1.38,61,7%,7.0,35.97,48,"0,5%",0.5,35.76,48,"0,5%",0.5,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,RDM A5492,07/21,GURUPI MAT.,G,REMP 602,16,"RDM A5492 07/21 GURUPI MAT. G REMP 602 84.21 72 13% 9.45 44 0,5% 79.82 67 16% 24.90 91 0,1% 2.46 81 0,1% 35.97 44 0,5% 35.73 44 0,5%",84.21,72,13%,13.0,9.45,44,"0,5%",0.5,79.82,67,16%,16.0,24.9,91,"0,1%",0.1,2.46,81,"0,1%",0.1,35.97,44,"0,5%",0.5,35.73,44,"0,5%",0.5,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,MMLN 1226,09/20,VOLEI FIV CATARINA,G,BRMG 2299,16,"MMLN 1226 09/20 VOLEI FIV CATARINA G BRMG 2299 95.10 60 0,1% 7.40 46 3% 90.33 51 5% 23.53 67 0,1% 1.46 60 6% 35.91 46 0,5% 37.02 46 0,1%",95.1,60,"0,1%",0.1,7.4,46,3%,3.0,90.33,51,5%,5.0,23.53,67,"0,1%",0.1,1.46,60,6%,6.0,35.91,46,"0,5%",0.5,37.02,46,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,RDM A6376,09/21,A6376 MAT. (GRANEL MA,G,REMP 602,16,"RDM A6376 09/21 A6376 MAT. (GRANEL MA G REMP 602 85.67 73 9% 8.74 45 1% 90.57 67 4% 20.34 62 2% 2.11 58 1% 35.90 45 0,5% 34.85 45 1%",85.67,73,9%,9.0,8.74,45,1%,1.0,90.57,67,4%,4.0,20.34,62,2%,2.0,2.11,58,1%,1.0,35.9,45,"0,5%",0.5,34.85,45,1%,1.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,REMP 602,09/18,REM HORUS GEN ADT,G,REM A149,16,"REMP 602 09/18 REM HORUS GEN ADT G REM A149 77.64 87 41% 11.24 80 0,1% 86.43 81 8% 18.81 94 3% 2.98 92 0,1% 35.86 79 0,5% 33.47 79 2%",77.64,87,41%,41.0,11.24,80,"0,1%",0.1,86.43,81,8%,8.0,18.81,94,3%,3.0,2.98,92,"0,1%",0.1,35.86,79,"0,5%",0.5,33.47,79,2%,2.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,IPB 7475,02/22,7475 DA IPB,G,REM 10447,16,"IPB 7475 02/22 7475 DA IPB G REM 10447 90.33 72 2% 6.08 47 6% 99.03 67 1% 23.60 75 0,1% 1.52 62 5% 35.69 48 0,5% 37.41 48 0,1%",90.33,72,2%,2.0,6.08,47,6%,6.0,99.03,67,1%,1.0,23.6,75,"0,1%",0.1,1.52,62,5%,5.0,35.69,48,"0,5%",0.5,37.41,48,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,HORA 5758,09/21,5758 TE DA HORA,G,SINO 1730,16,"HORA 5758 09/21 5758 TE DA HORA G SINO 1730 91.26 59 2% 4.52 49 15% 93.14 53 3% 28.03 66 0,1% 1.25 62 9% 35.68 48 0,5% 36.34 48 0,1%",91.26,59,2%,2.0,4.52,49,15%,15.0,93.14,53,3%,3.0,28.03,66,"0,1%",0.1,1.25,62,9%,9.0,35.68,48,"0,5%",0.5,36.34,48,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,MMVA 5894,12/21,CHEFE FIV DA JACAMIM,G,MMVA 2725,16,"MMVA 5894 12/21 CHEFE FIV DA JACAMIM G MMVA 2725 82.87 73 18% 11.28 48 0,1% 91.59 69 4% 17.93 67 3% 2.05 60 1% 35.66 47 0,5% 33.26 47 2%",82.87,73,18%,18.0,11.28,48,"0,1%",0.1,91.59,69,4%,4.0,17.93,67,3%,3.0,2.05,60,1%,1.0,35.66,47,"0,5%",0.5,33.26,47,2%,2.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,BONS 3180,10/16,QUINCY BONS,G,REMC 5326,16,"BONS 3180 10/16 QUINCY BONS G REMC 5326 86.21 87 8% 10.73 57 0,1% 98.25 83 2% 16.69 78 5% 1.27 77 9% 35.57 58 0,5% 32.73 58 2%",86.21,87,8%,8.0,10.73,57,"0,1%",0.1,98.25,83,2%,2.0,16.69,78,5%,5.0,1.27,77,9%,9.0,35.57,58,"0,5%",0.5,32.73,58,2%,2.0,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,GCGC 442,07/22,COLISEU FIV GRUPO COS,G,REM A1936,16,"GCGC 442 07/22 COLISEU FIV GRUPO COS G REM A1936 87.16 52 6% 6.26 46 5% 93.01 43 3% 23.91 63 0,1% 2.25 60 0,5% 35.43 43 0,5% 37.74 43 0,1%",87.16,52,6%,6.0,6.26,46,5%,5.0,93.01,43,3%,3.0,23.91,63,"0,1%",0.1,2.25,60,"0,5%",0.5,35.43,43,"0,5%",0.5,37.74,43,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,EAO B7222,08/21,B7222 FIV DA EAO (EXE,G,REM A1936,16,"EAO B7222 08/21 B7222 FIV DA EAO (EXE G REM A1936 99.17 72 0,1% 5.48 48 9% 95.89 68 2% 20.71 84 1% 2.25 73 0,5% 35.17 49 0,5% 35.38 49 0,5%",99.17,72,"0,1%",0.1,5.48,48,9%,9.0,95.89,68,2%,2.0,20.71,84,1%,1.0,2.25,73,"0,5%",0.5,35.17,49,"0,5%",0.5,35.38,49,"0,5%",0.5,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
Nelore,FANO 2995,09/20,ESTUDANTE DA AGRONOVA,G,FANO 1509,16,"FANO 2995 09/20 ESTUDANTE DA AGRONOVA G FANO 1509 84.97 74 11% 6.16 46 6% 96.84 68 2% 26.75 90 0,1% 1.83 80 2% 35.12 47 0,5% 37.68 47 0,1%",84.97,74,11%,11.0,6.16,46,6%,6.0,96.84,68,2%,2.0,26.75,90,"0,1%",0.1,1.83,80,2%,2.0,35.12,47,"0,5%",0.5,37.68,47,"0,1%",0.1,"3P,MP210,STAY,P210,PE365,MGTe_CR,MGTe"
