breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MGTe_CRdep,MGTe_CRac,MGTe_CRtop,MGTe_CRtop_pct,MGTe_REdep,MGTe_REac,MGTe_REtop,MGTe_REtop_pct,MGTe_COdep,MGTe_COac,MGTe_COtop,MGTe_COtop_pct,MGTe_F1dep,MGTe_F1ac,MGTe_F1top,MGTe_F1top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,MMLN 1226,09/20,VOLEI FIV CATARINA,G,BRMG 2299,20,"MMLN 1226 09/20 VOLEI FIV CATARINA G BRMG 2299 35.91 46 0,5% 39.60 62 1% 25.65 38 3% 24.52 38 3% 37.02 46 0,1%",35.91,46,"0,5%",0.5,39.6,62,1%,1.0,25.65,38,3%,3.0,24.52,38,3%,3.0,37.02,46,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,AGJZ 774,08/20,IGAON FIV DA GAROUPA,G,REM A1553,20,"AGJZ 774 08/20 IGAON FIV DA GAROUPA G REM A1553 33.74 45 1% 44.34 76 0,1% 32.04 60 0,5% 29.79 60 1% 36.90 45 0,1%",33.74,45,1%,1.0,44.34,76,"0,1%",0.1,32.04,60,"0,5%",0.5,29.79,60,1%,1.0,36.9,45,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,FVCP 1891,08/21,HERCULES FIV FVC,G,REMP 602,20,"FVCP 1891 08/21 HERCULES FIV FVC G REMP 602 38.78 45 0,1% 32.80 63 4% 17.36 42 12% 18.82 42 8% 36.89 45 0,1%",38.78,45,"0,1%",0.1,32.8,63,4%,4.0,17.36,42,12%,12.0,18.82,42,8%,8.0,36.89,45,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,RDM A5613,07/21,A5613 MAT. (GOLACO),G,REMP 602,20,"RDM A5613 07/21 A5613 MAT. (GOLACO) G REMP 602 39.16 47 0,1% 31.22 62 5% 22.22 46 5% 22.19 46 5% 36.69 47 0,1%",39.16,47,"0,1%",0.1,31.22,62,5%,5.0,22.22,46,5%,5.0,22.19,46,5%,5.0,36.69,47,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,MCPJ 8878,10/22,XERIFE FIV JMP,G,REM 10447,20,"MCPJ 8878 10/22 XERIFE FIV JMP G REM 10447 34.23 44 1% 42.41 64 0,5% 28.39 45 2% 28.42 45 2% 36.67 44 0,1%",34.23,44,1%,1.0,42.41,64,"0,5%",0.5,28.39,45,2%,2.0,28.42,45,2%,2.0,36.67,44,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,MMLN 1492,08/22,YURI FIV CATARINA,G,REMP 816,20,"MMLN 1492 08/22 YURI FIV CATARINA G REMP 816 31.38 47 2% 48.97 63 0,1% 39.28 41 0,1% 41.84 41 0,1% 36.63 47 0,1%",31.38,47,2%,2.0,48.97,63,"0,1%",0.1,39.28,41,"0,1%",0.1,41.84,41,"0,1%",0.1,36.63,47,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,EAO B8886,01/22,EMBAIXADOR FIV EAO,G,REM A1576,20,"EAO B8886 01/22 EMBAIXADOR FIV EAO G REM A1576 32.65 47 2% 45.73 68 0,1% 33.57 50 0,1% 32.53 50 0,5% 36.56 47 0,1%",32.65,47,2%,2.0,45.73,68,"0,1%",0.1,33.57,50,"0,1%",0.1,32.53,50,"0,5%",0.5,36.56,47,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,FLOC 517,11/21,GÃŠNESIS FIV FLOC,G,REMP 816,20,"FLOC 517 11/21 GÃŠNESIS FIV FLOC G REMP 816 32.82 46 2% 45.31 63 0,1% 36.80 43 0,1% 36.57 43 0,1% 36.50 46 0,1%",32.82,46,2%,2.0,45.31,63,"0,1%",0.1,36.8,43,"0,1%",0.1,36.57,43,"0,1%",0.1,36.5,46,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,HORA 5758,09/21,5758 TE DA HORA,G,SINO 1730,20,"HORA 5758 09/21 5758 TE DA HORA G SINO 1730 35.68 48 0,5% 37.79 66 2% 22.13 47 5% 19.80 47 7% 36.34 48 0,1%",35.68,48,"0,5%",0.5,37.79,66,2%,2.0,22.13,47,5%,5.0,19.8,47,7%,7.0,36.34,48,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,REM 11627,10/20,REM JAMANTA GEN. ADT,G,REM A1576,20,"REM 11627 10/20 REM JAMANTA GEN. ADT G REM A1576 31.96 42 2% 46.17 82 0,1% 30.98 60 0,5% 29.60 60 1% 36.24 42 0,1%",31.96,42,2%,2.0,46.17,82,"0,1%",0.1,30.98,60,"0,5%",0.5,29.6,60,1%,1.0,36.24,42,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,SINO 2365,09/20,G7 SINO,G,REMC A223,20,"SINO 2365 09/20 G7 SINO G REMC A223 33.79 43 1% 41.92 64 0,5% 28.81 44 1% 26.80 44 2% 36.19 43 0,1%",33.79,43,1%,1.0,41.92,64,"0,5%",0.5,28.81,44,1%,1.0,26.8,44,2%,2.0,36.19,43,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,REMP 1715,12/21,REM LONDRES FIV GEN.A,G,REMP 602,20,"REMP 1715 12/21 REM LONDRES FIV GEN.A G REMP 602 37.00 43 0,1% 34.56 61 3% 18.59 48 10% 18.61 48 9% 36.18 43 0,1%",37.0,43,"0,1%",0.1,34.56,61,3%,3.0,18.59,48,10%,10.0,18.61,48,9%,9.0,36.18,43,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,RDM A5310,06/21,GLOBAL MAT.,G,SINO 1730,20,"RDM A5310 06/21 GLOBAL MAT. G SINO 1730 32.84 44 2% 43.84 70 0,1% 32.66 58 0,5% 28.84 58 1% 36.14 44 0,1%",32.84,44,2%,2.0,43.84,70,"0,1%",0.1,32.66,58,"0,5%",0.5,28.84,58,1%,1.0,36.14,44,"0,1%",0.1,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,EAO B8074,10/21,B8074 FIV DA EAO (ELE,G,SINO 1730,20,"EAO B8074 10/21 B8074 FIV DA EAO (ELE G SINO 1730 33.40 46 1% 41.77 66 0,5% 33.71 51 0,1% 31.74 51 0,5% 35.91 46 0,5%",33.4,46,1%,1.0,41.77,66,"0,5%",0.5,33.71,51,"0,1%",0.1,31.74,51,"0,5%",0.5,35.91,46,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,HORA 5734,09/21,5734 TE DA HORA (LICO,G,SINO 1730,20,"HORA 5734 09/21 5734 TE DA HORA (LICO G SINO 1730 31.82 43 2% 45.42 60 0,1% 30.33 45 1% 28.68 45 1% 35.91 43 0,5%",31.82,43,2%,2.0,45.42,60,"0,1%",0.1,30.33,45,1%,1.0,28.68,45,1%,1.0,35.91,43,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,RDM A5492,07/21,GURUPI MAT.,G,REMP 602,20,"RDM A5492 07/21 GURUPI MAT. G REMP 602 35.97 44 0,5% 35.38 74 3% 19.44 61 9% 18.32 61 9% 35.73 44 0,5%",35.97,44,"0,5%",0.5,35.38,74,3%,3.0,19.44,61,9%,9.0,18.32,61,9%,9.0,35.73,44,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,RGM 8274,06/22,PERFEITO FIV RG,G,FANO 2762,20,"RGM 8274 06/22 PERFEITO FIV RG G FANO 2762 33.22 45 1% 41.45 64 0,5% 33.30 37 0,1% 33.47 37 0,1% 35.72 45 0,5%",33.22,45,1%,1.0,41.45,64,"0,5%",0.5,33.3,37,"0,1%",0.1,33.47,37,"0,1%",0.1,35.72,45,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,FANO 3732,09/21,FINLANDES DA AGRONOVA,G,REMP 816,20,"FANO 3732 09/21 FINLANDES DA AGRONOVA G REMP 816 26.86 48 7% 56.22 66 0,1% 48.78 50 0,1% 48.73 50 0,1% 35.67 48 0,5%",26.86,48,7%,7.0,56.22,66,"0,1%",0.1,48.78,50,"0,1%",0.1,48.73,50,"0,1%",0.1,35.67,48,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,BRMG 3862,10/19,BRASIL DA BEABISA,G,FPO 2683,20,"BRMG 3862 10/19 BRASIL DA BEABISA G FPO 2683 33.42 56 1% 40.37 84 1% 28.16 62 2% 27.82 62 2% 35.49 56 0,5%",33.42,56,1%,1.0,40.37,84,1%,1.0,28.16,62,2%,2.0,27.82,62,2%,2.0,35.49,56,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,REMP 1660,11/21,REM LEGIONARIO FIV GE,G,REM A2239,20,"REMP 1660 11/21 REM LEGIONARIO FIV GE G REM A2239 31.74 46 2% 44.12 61 0,1% 29.42 43 1% 29.38 43 1% 35.47 46 0,5%",31.74,46,2%,2.0,44.12,61,"0,1%",0.1,29.42,43,1%,1.0,29.38,43,1%,1.0,35.47,46,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,RDM A6179,08/21,GALLO MAT.,G,REMP 602,20,"RDM A6179 08/21 GALLO MAT. G REMP 602 36.38 45 0,1% 33.52 63 4% 19.99 47 8% 19.81 47 7% 35.45 45 0,5%",36.38,45,"0,1%",0.1,33.52,63,4%,4.0,19.99,47,8%,8.0,19.81,47,7%,7.0,35.45,45,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,EAO B7222,08/21,B7222 FIV DA EAO (EXE,G,REM A1936,20,"EAO B7222 08/21 B7222 FIV DA EAO (EXE G REM A1936 35.17 49 0,5% 35.90 68 2% 31.96 53 0,5% 29.70 53 1% 35.38 49 0,5%",35.17,49,"0,5%",0.5,35.9,68,2%,2.0,31.96,53,"0,5%",0.5,29.7,53,1%,1.0,35.38,49,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,REMP 1416,07/21,REM PASSAPORTE FIV GE,G,REM A2239,20,"REMP 1416 07/21 REM PASSAPORTE FIV GE G REM A2239 31.92 44 2% 43.39 71 0,5% 24.99 56 3% 23.83 56 4% 35.38 44 0,5%",31.92,44,2%,2.0,43.39,71,"0,5%",0.5,24.99,56,3%,3.0,23.83,56,4%,4.0,35.38,44,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,FANO 2491,11/19,DOUSE DA AGRONOVA,G,REMC A331,20,"FANO 2491 11/19 DOUSE DA AGRONOVA G REMC A331 32.32 51 2% 42.09 77 0,5% 35.81 69 0,1% 32.34 69 0,5% 35.29 51 0,5%",32.32,51,2%,2.0,42.09,77,"0,5%",0.5,35.81,69,"0,1%",0.1,32.34,69,"0,5%",0.5,35.29,51,"0,5%",0.5,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,FGP A1248,09/20,GIBSON FIV GUADALUPE,G,REM A1811,20,"FGP A1248 09/20 GIBSON FIV GUADALUPE G REM A1811 32.31 50 2% 41.33 73 0,5% 30.26 52 1% 27.40 52 2% 34.96 50 1%",32.31,50,2%,2.0,41.33,73,"0,5%",0.5,30.26,52,1%,1.0,27.4,52,2%,2.0,34.96,50,1%,1.0,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,REMP 1611,10/21,REM1611L FIV GENETICA,G,REMP 816,20,"REMP 1611 10/21 REM1611L FIV GENETICA G REMP 816 31.18 46 3% 43.80 63 0,1% 33.26 46 0,1% 35.17 46 0,1% 34.96 46 1%",31.18,46,3%,3.0,43.8,63,"0,1%",0.1,33.26,46,"0,1%",0.1,35.17,46,"0,1%",0.1,34.96,46,1%,1.0,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,EPCF 4353,08/20,ROLEX FIV DA TERRA BR,G,REM A1811,20,"EPCF 4353 08/20 ROLEX FIV DA TERRA BR G REM A1811 29.62 49 4% 46.75 88 0,1% 39.34 45 0,1% 38.79 45 0,1% 34.75 49 1%",29.62,49,4%,4.0,46.75,88,"0,1%",0.1,39.34,45,"0,1%",0.1,38.79,45,"0,1%",0.1,34.75,49,1%,1.0,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
Nelore,EAO B8522,11/21,EMBLEMA FIV DA EAO,G,REM A7,20,"EAO B8522 11/21 EMBLEMA FIV DA EAO G REM A7 36.54 51 0,1% 30.62 67 6% 23.01 49 5% 24.35 49 3% 34.73 51 1%",36.54,51,"0,1%",0.1,30.62,67,6%,6.0,23.01,49,5%,5.0,24.35,49,3%,3.0,34.73,51,1%,1.0,"MGTe_CR,MGTe_RE,MGTe_CO,MGTe_F1,MGTe"
