breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MP120dep,MP120ac,MP120top,MP120top_pct,P210dep,P210ac,P210top,P210top_pct,P365dep,P365ac,P365top,P365top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Guzerá,ITG 2920,09/07,SUECO IT,,MVB 20,44,"ITG 2920 09/07 SUECO IT MVB 20 3.64 26 0,5% 6.56 37 4% 20.67 26 0,5% 28.54 62 0,1% 3.03 66 3% 74 3 36.69 24 0,1%",3.64,26,"0,5%",0.5,6.56,37,4%,4.0,20.67,26,"0,5%",0.5,28.54,62,"0,1%",0.1,3.03,66,3%,3.0,36.69,24,"0,1%",0.1,"MP120,P210,P365,P450,PE365,MGTe"
Guzerá,MGZ019040,02/18,ASP CABAL TE,G,CNS 7696,44,"MGZ019040 02/18 ASP CABAL TE G CNS 7696 1.36 43 17% 12.40 39 0,1% 13.94 48 2% 22.46 46 0,5% 1.98 66 20% 106 2 32.15 39 0,5%",1.36,43,17%,17.0,12.4,39,"0,1%",0.1,13.94,48,2%,2.0,22.46,46,"0,5%",0.5,1.98,66,20%,20.0,32.15,39,"0,5%",0.5,"MP120,P210,P365,P450,PE365,MGTe"
Guzerá,ITG 3295,09/11,BECO IT,,CNS 7222,44,"ITG 3295 09/11 BECO IT CNS 7222 2.46 26 2% 11.94 39 0,1% 20.22 29 0,5% 21.93 53 1% 1.83 64 25% 72 3 32.18 24 0,5%",2.46,26,2%,2.0,11.94,39,"0,1%",0.1,20.22,29,"0,5%",0.5,21.93,53,1%,1.0,1.83,64,25%,25.0,32.18,24,"0,5%",0.5,"MP120,P210,P365,P450,PE365,MGTe"
Guzerá,CNS 9791,10/15,TENOR S,,CNS 7293,44,"CNS 9791 10/15 TENOR S CNS 7293 3.41 16 0,5% 4.93 15 10% 15.28 22 2% 21.23 36 1% 3.07 38 2% 15 3 31.72 5 1%",3.41,16,"0,5%",0.5,4.93,15,10%,10.0,15.28,22,2%,2.0,21.23,36,1%,1.0,3.07,38,2%,2.0,31.72,5,1%,1.0,"MP120,P210,P365,P450,PE365,MGTe"
Guzerá,ITVT 1064,11/16,GUZERA IT 1064,G,RPOG 171,44,"ITVT 1064 11/16 GUZERA IT 1064 G RPOG 171 3.76 42 0,1% 9.49 49 0,5% 16.16 41 1% 20.20 45 1% 1.46 54 39% 26 1 29.01 42 2%",3.76,42,"0,1%",0.1,9.49,49,"0,5%",0.5,16.16,41,1%,1.0,20.2,45,1%,1.0,1.46,54,39%,39.0,29.01,42,2%,2.0,"MP120,P210,P365,P450,PE365,MGTe"
Guzerá,CNS 11422,10/20,FENOL S,G,CNS 9982,44,"CNS 11422 10/20 FENOL S G CNS 9982 1.82 41 8% 10.34 46 0,5% 24.48 42 0,1% 19.59 38 2% 1.55 46 36% 14 2 23.82 38 9%",1.82,41,8%,8.0,10.34,46,"0,5%",0.5,24.48,42,"0,1%",0.1,19.59,38,2%,2.0,1.55,46,36%,36.0,23.82,38,9%,9.0,"MP120,P210,P365,P450,PE365,MGTe"
Guzerá,ICIL 867,08/16,QUARTEL FIV DA ICIL,G,NESZ 776,44,"ICIL 867 08/16 QUARTEL FIV DA ICIL G NESZ 776 1.26 42 20% 11.63 48 0,5% 18.00 49 0,5% 17.41 48 3% 2.37 56 11% 60 5 27.69 37 3%",1.26,42,20%,20.0,11.63,48,"0,5%",0.5,18.0,49,"0,5%",0.5,17.41,48,3%,3.0,2.37,56,11%,11.0,27.69,37,3%,3.0,"MP120,P210,P365,P450,PE365,MGTe"
Guzerá,ITVT 1498,08/19,GUZERA IT 1498,G,ITVT 233,44,"ITVT 1498 08/19 GUZERA IT 1498 G ITVT 233 2.44 50 2% 5.76 47 7% 18.10 45 0,5% 17.10 40 3% 0.47 68 79% 62 1 24.39 40 8%",2.44,50,2%,2.0,5.76,47,7%,7.0,18.1,45,"0,5%",0.5,17.1,40,3%,3.0,0.47,68,79%,79.0,24.39,40,8%,8.0,"MP120,P210,P365,P450,PE365,MGTe"
Guzerá,FNF A471,11/09,GRAFICO FIV NF,G,MVB 20,44,FNF A471 11/09 GRAFICO FIV NF G MVB 20 2.79 47 1% 9.26 46 1% 11.35 46 6% 16.70 47 3% 2.45 78 9% 209 1 29.98 31 2%,2.79,47,1%,1.0,9.26,46,1%,1.0,11.35,46,6%,6.0,16.7,47,3%,3.0,2.45,78,9%,9.0,29.98,31,2%,2.0,"MP120,P210,P365,P450,PE365,MGTe"
Guzerá,ITG 3164,04/10,ACIDO TE IT,G,NESZ 2,44,ITG 3164 04/10 ACIDO TE IT G NESZ 2 -0.11 49 84% 4.28 51 14% 14.79 47 2% 16.23 50 4% 1.82 63 25% 61 3 21.07 43 17%,-0.11,49,84%,84.0,4.28,51,14%,14.0,14.79,47,2%,2.0,16.23,50,4%,4.0,1.82,63,25%,25.0,21.07,43,17%,17.0,"MP120,P210,P365,P450,PE365,MGTe"
