breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,3Pdep,3Pac,3Ptop,3Ptop_pct,P450dep,P450ac,P450top,P450top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,FANO 3732,09/21,FINLANDES DA AGRONOVA,G,REMP 816,27,"FANO 3732 09/21 FINLANDES DA AGRONOVA G REMP 816 -1.11 44 6% 84.01 72 14% 45.95 73 0,1% 8.58 66 0,1% 1.45 67 0,1% 144 14 35.67 48 0,5%",-1.11,44,6%,6.0,84.01,72,14%,14.0,45.95,73,"0,1%",0.1,8.58,66,"0,1%",0.1,1.45,67,"0,1%",0.1,35.67,48,"0,5%",0.5,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FANO 3294,12/20,ELO DA AGRONOVA,G,PAU 2753,27,"FANO 3294 12/20 ELO DA AGRONOVA G PAU 2753 -0.80 44 28% 82.48 73 19% 30.13 84 5% 8.02 81 0,1% 1.24 79 0,5% 358 31 31.70 49 3%",-0.8,44,28%,28.0,82.48,73,19%,19.0,30.13,84,5%,5.0,8.02,81,"0,1%",0.1,1.24,79,"0,5%",0.5,31.7,49,3%,3.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FANO 2491,11/19,DOUSE DA AGRONOVA,G,REMC A331,27,"FANO 2491 11/19 DOUSE DA AGRONOVA G REMC A331 -1.30 45 2% 90.94 84 2% 30.76 79 4% 7.98 80 0,1% 0.53 77 8% 73 6 35.29 51 0,5%",-1.3,45,2%,2.0,90.94,84,2%,2.0,30.76,79,4%,4.0,7.98,80,"0,1%",0.1,0.53,77,8%,8.0,35.29,51,"0,5%",0.5,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REMC A2337,10/18,REM HULK GEN ADT,G,REM 9449,27,"REMC A2337 10/18 REM HULK GEN ADT G REM 9449 -1.09 52 7% 79.80 84 31% 31.14 85 4% 7.83 81 0,1% 0.62 77 6% 51 6 28.23 54 6%",-1.09,52,7%,7.0,79.8,84,31%,31.0,31.14,85,4%,4.0,7.83,81,"0,1%",0.1,0.62,77,6%,6.0,28.23,54,6%,6.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,RDM A236,09/17,CORAL MAT.,G,REMC 5326,27,"RDM A236 09/17 CORAL MAT. G REMC 5326 -1.30 67 2% 86.08 86 8% 29.24 94 6% 7.70 89 0,1% 0.09 87 36% 313 46 30.71 67 3%",-1.3,67,2%,2.0,86.08,86,8%,8.0,29.24,94,6%,6.0,7.7,89,"0,1%",0.1,0.09,87,36%,36.0,30.71,67,3%,3.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,XRGM 4865,08/22,LANDROVER DA XARAES,G,XRGM 4111,27,"XRGM 4865 08/22 LANDROVER DA XARAES G XRGM 4111 -1.34 38 2% 91.77 73 2% 38.30 66 1% 7.62 62 0,1% 1.26 61 0,5% 41 4 39.84 41 0,1%",-1.34,38,2%,2.0,91.77,73,2%,2.0,38.3,66,1%,1.0,7.62,62,"0,1%",0.1,1.26,61,"0,5%",0.5,39.84,41,"0,1%",0.1,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,EPCF 4353,08/20,ROLEX FIV DA TERRA BR,G,REM A1811,27,"EPCF 4353 08/20 ROLEX FIV DA TERRA BR G REM A1811 -0.90 45 19% 85.51 85 10% 37.22 89 1% 7.47 91 0,1% 1.13 88 1% 709 38 34.75 49 1%",-0.9,45,19%,19.0,85.51,85,10%,10.0,37.22,89,1%,1.0,7.47,91,"0,1%",0.1,1.13,88,1%,1.0,34.75,49,1%,1.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FGP A1248,09/20,GIBSON FIV GUADALUPE,G,REM A1811,27,"FGP A1248 09/20 GIBSON FIV GUADALUPE G REM A1811 -1.21 45 3% 86.11 85 8% 33.02 77 3% 7.34 75 0,1% 0.42 73 11% 206 15 34.96 50 1%",-1.21,45,3%,3.0,86.11,85,8%,8.0,33.02,77,3%,3.0,7.34,75,"0,1%",0.1,0.42,73,11%,11.0,34.96,50,1%,1.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,CSCQ 106,10/18,UJALA FIV DE NAVIRAI,G,CSCN 14945,27,"CSCQ 106 10/18 UJALA FIV DE NAVIRAI G CSCN 14945 -0.68 50 40% 78.62 86 37% 29.57 89 5% 7.22 79 0,1% 1.06 78 2% 106 10 28.73 52 5%",-0.68,50,40%,40.0,78.62,86,37%,37.0,29.57,89,5%,5.0,7.22,79,"0,1%",0.1,1.06,78,2%,2.0,28.73,52,5%,5.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,KPA 12,09/20,QUAZAR KA,G,RDM A99,27,"KPA 12 09/20 QUAZAR KA G RDM A99 -0.69 41 39% 86.50 73 7% 38.44 85 1% 7.18 75 0,1% 0.60 73 7% 459 14 34.65 43 1%",-0.69,41,39%,39.0,86.5,73,7%,7.0,38.44,85,1%,1.0,7.18,75,"0,1%",0.1,0.6,73,7%,7.0,34.65,43,1%,1.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,AGJZ 774,08/20,IGAON FIV DA GAROUPA,G,REM A1553,27,"AGJZ 774 08/20 IGAON FIV DA GAROUPA G REM A1553 -1.11 43 6% 91.49 88 2% 38.47 80 1% 7.14 80 0,1% 0.49 76 9% 118 25 36.90 45 0,1%",-1.11,43,6%,6.0,91.49,88,2%,2.0,38.47,80,1%,1.0,7.14,80,"0,1%",0.1,0.49,76,9%,9.0,36.9,45,"0,1%",0.1,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,RDM A5310,06/21,GLOBAL MAT.,G,SINO 1730,27,"RDM A5310 06/21 GLOBAL MAT. G SINO 1730 -1.01 41 11% 87.00 73 6% 38.75 78 0,5% 7.10 73 0,1% 0.34 70 14% 104 9 36.14 44 0,1%",-1.01,41,11%,11.0,87.0,73,6%,6.0,38.75,78,"0,5%",0.5,7.1,73,"0,1%",0.1,0.34,70,14%,14.0,36.14,44,"0,1%",0.1,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FANO 3542,02/21,EPITACIO DA AGRONOVA,G,ACNP 3146,27,"FANO 3542 02/21 EPITACIO DA AGRONOVA G ACNP 3146 -0.86 45 22% 79.96 73 30% 45.29 71 0,1% 7.01 71 0,1% 0.46 69 10% 39 3 38.08 49 0,1%",-0.86,45,22%,22.0,79.96,73,30%,30.0,45.29,71,"0,1%",0.1,7.01,71,"0,1%",0.1,0.46,69,10%,10.0,38.08,49,"0,1%",0.1,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REMC 9185,08/15,REM EL ESPANHOL,G,REMC 5326,27,"REMC 9185 08/15 REM EL ESPANHOL G REMC 5326 -1.38 63 1% 90.09 86 3% 22.17 93 15% 6.96 86 0,1% 0.21 84 21% 215 17 25.05 66 10%",-1.38,63,1%,1.0,90.09,86,3%,3.0,22.17,93,15%,15.0,6.96,86,"0,1%",0.1,0.21,84,21%,21.0,25.05,66,10%,10.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,MDLO 2230,08/21,I2230 DA MDLO,G,SINO 1730,27,"MDLO 2230 08/21 I2230 DA MDLO G SINO 1730 -1.27 43 2% 85.67 75 9% 37.99 69 1% 6.93 63 0,1% 0.11 62 33% 69 4 34.55 46 1%",-1.27,43,2%,2.0,85.67,75,9%,9.0,37.99,69,1%,1.0,6.93,63,"0,1%",0.1,0.11,62,33%,33.0,34.55,46,1%,1.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FLOC 517,11/21,GÃŠNESIS FIV FLOC,G,REMP 816,27,"FLOC 517 11/21 GÃŠNESIS FIV FLOC G REMP 816 -1.24 43 3% 89.02 74 4% 38.31 69 1% 6.86 63 0,1% 1.00 63 2% 77 9 36.50 46 0,1%",-1.24,43,3%,3.0,89.02,74,4%,4.0,38.31,69,1%,1.0,6.86,63,"0,1%",0.1,1.0,63,2%,2.0,36.5,46,"0,1%",0.1,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,PHOC 1893,10/20,1893 FIV PHOC,G,GRI B2887,27,"PHOC 1893 10/20 1893 FIV PHOC G GRI B2887 -1.19 44 4% 87.08 73 6% 25.06 72 11% 6.85 73 0,1% 1.00 72 2% 109 3 30.37 48 4%",-1.19,44,4%,4.0,87.08,73,6%,6.0,25.06,72,11%,11.0,6.85,73,"0,1%",0.1,1.0,72,2%,2.0,30.37,48,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,GRI C2521,09/21,MOSAICO DA S.NICE,G,LBMN D4685,27,"GRI C2521 09/21 MOSAICO DA S.NICE G LBMN D4685 -1.01 41 11% 84.53 36 12% 28.25 65 7% 6.81 63 0,1% 0.74 62 4% 27 5 30.38 33 4%",-1.01,41,11%,11.0,84.53,36,12%,12.0,28.25,65,7%,7.0,6.81,63,"0,1%",0.1,0.74,62,4%,4.0,30.38,33,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
