breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,3Pdep,3Pac,3Ptop,3Ptop_pct,P450dep,P450ac,P450top,P450top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,ACABdep,ACABac,ACABtop,ACABtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,MNS 9278,07/18,TROOPER DA ALO BRASIL,G,REMC 5326,27,"MNS 9278 07/18 TROOPER DA ALO BRASIL G REMC 5326 -1.30 55 2% 83.24 86 16% 28.63 88 6% 6.79 83 0,1% 1.08 81 1% 146 14 29.45 56 4%",-1.3,55,2%,2.0,83.24,86,16%,16.0,28.63,88,6%,6.0,6.79,83,"0,1%",0.1,1.08,81,1%,1.0,29.45,56,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,FLOC 264,11/19,EVOQUE FIV FLOC,G,REMC A657,27,"FLOC 264 11/19 EVOQUE FIV FLOC G REMC A657 -1.32 46 2% 84.55 74 12% 29.58 74 5% 6.78 68 0,1% 0.13 68 29% 58 6 27.42 52 7%",-1.32,46,2%,2.0,84.55,74,12%,12.0,29.58,74,5%,5.0,6.78,68,"0,1%",0.1,0.13,68,29%,29.0,27.42,52,7%,7.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,GRI B7329,11/17,COMBOIO FIV DA S.NICE,G,REMC 5326,27,"GRI B7329 11/17 COMBOIO FIV DA S.NICE G REMC 5326 -1.14 79 5% 80.35 86 28% 28.90 99 6% 6.77 94 0,1% 0.45 94 10% 2225 70 29.67 76 4%",-1.14,79,5%,5.0,80.35,86,28%,28.0,28.9,99,6%,6.0,6.77,94,"0,1%",0.1,0.45,94,10%,10.0,29.67,76,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,HORA 5734,09/21,5734 TE DA HORA (LICO,G,SINO 1730,27,"HORA 5734 09/21 5734 TE DA HORA (LICO G SINO 1730 -1.18 40 4% 89.91 73 3% 41.46 66 0,1% 6.77 60 0,1% 0.57 60 7% 51 5 35.91 43 0,5%",-1.18,40,4%,4.0,89.91,73,3%,3.0,41.46,66,"0,1%",0.1,6.77,60,"0,1%",0.1,0.57,60,7%,7.0,35.91,43,"0,5%",0.5,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,GCGC 217,08/19,ASTI TE DA FURN,G,REMC A923,27,"GCGC 217 08/19 ASTI TE DA FURN G REMC A923 -1.24 45 3% 81.24 86 24% 30.72 75 4% 6.68 74 0,1% 0.54 73 8% 35 7 30.71 48 3%",-1.24,45,3%,3.0,81.24,86,24%,24.0,30.72,75,4%,4.0,6.68,74,"0,1%",0.1,0.54,73,8%,8.0,30.71,48,3%,3.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,RDM A6397,09/21,GATO MAT.,G,REMP 602,27,"RDM A6397 09/21 GATO MAT. G REMP 602 -0.78 43 30% 76.72 57 46% 35.79 68 2% 6.67 63 0,5% 0.50 62 9% 24 2 34.63 47 1%",-0.78,43,30%,30.0,76.72,57,46%,46.0,35.79,68,2%,2.0,6.67,63,"0,5%",0.5,0.5,62,9%,9.0,34.63,47,1%,1.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REMP 1214,09/20,REM JOALHEIRO GEN. AD,G,REM A1553,27,"REMP 1214 09/20 REM JOALHEIRO GEN. AD G REM A1553 -0.92 41 17% 83.92 84 14% 24.09 78 12% 6.66 76 0,5% 0.49 74 9% 53 4 30.62 45 4%",-0.92,41,17%,17.0,83.92,84,14%,14.0,24.09,78,12%,12.0,6.66,76,"0,5%",0.5,0.49,74,9%,9.0,30.62,45,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REMP 1660,11/21,REM LEGIONARIO FIV GE,G,REM A2239,27,"REMP 1660 11/21 REM LEGIONARIO FIV GE G REM A2239 -1.30 39 2% 93.34 71 0,5% 38.29 69 1% 6.66 62 0,5% 0.82 61 3% 100 5 35.47 46 0,5%",-1.3,39,2%,2.0,93.34,71,"0,5%",0.5,38.29,69,1%,1.0,6.66,62,"0,5%",0.5,0.82,61,3%,3.0,35.47,46,"0,5%",0.5,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REM 12045,08/21,REM LEGACY GEN.ADT,G,REM A1576,27,"REM 12045 08/21 REM LEGACY GEN.ADT G REM A1576 -1.46 40 0,5% 90.30 72 2% 40.35 72 0,5% 6.61 66 0,5% 0.76 65 4% 113 10 33.60 44 2%",-1.46,40,"0,5%",0.5,90.3,72,2%,2.0,40.35,72,"0,5%",0.5,6.61,66,"0,5%",0.5,0.76,65,4%,4.0,33.6,44,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,EAO B1143,07/19,CACADOR FIV DA EAO,G,REM 6447,27,"EAO B1143 07/19 CACADOR FIV DA EAO G REM 6447 -0.84 52 24% 88.98 86 4% 28.33 90 7% 6.58 85 0,5% 0.71 83 5% 237 25 33.05 54 2%",-0.84,52,24%,24.0,88.98,86,4%,4.0,28.33,90,7%,7.0,6.58,85,"0,5%",0.5,0.71,83,5%,5.0,33.05,54,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,LCCF 910,09/20,FOSTER DA ARZ,G,REM A1811,27,"LCCF 910 09/20 FOSTER DA ARZ G REM A1811 -0.99 41 12% 90.69 86 2% 35.32 71 2% 6.51 81 0,5% 0.44 80 11% 176 21 38.44 45 0,1%",-0.99,41,12%,12.0,90.69,86,2%,2.0,35.32,71,2%,2.0,6.51,81,"0,5%",0.5,0.44,80,11%,11.0,38.44,45,"0,1%",0.1,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,EAO B8217,10/21,EFICAZ DA EAO,G,SINO 1730,27,"EAO B8217 10/21 EFICAZ DA EAO G SINO 1730 -0.96 46 14% 85.45 72 10% 33.19 72 3% 6.51 66 0,5% 0.58 66 7% 42 6 33.17 50 2%",-0.96,46,14%,14.0,85.45,72,10%,10.0,33.19,72,3%,3.0,6.51,66,"0,5%",0.5,0.58,66,7%,7.0,33.17,50,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,MNS 10242,09/19,TEXAS DA ALO BRASIL,G,REMC A923,27,"MNS 10242 09/19 TEXAS DA ALO BRASIL G REMC A923 -0.96 48 14% 80.29 85 29% 32.65 82 3% 6.50 81 0,5% 0.10 80 34% 132 11 30.31 50 4%",-0.96,48,14%,14.0,80.29,85,29%,29.0,32.65,82,3%,3.0,6.5,81,"0,5%",0.5,0.1,80,34%,34.0,30.31,50,4%,4.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,API 3809,09/16,ARMADOR DO API,G,REMC 5326,27,"API 3809 09/16 ARMADOR DO API G REMC 5326 -0.95 51 15% 71.92 83 65% 30.11 80 5% 6.48 73 0,5% 0.16 71 24% 44 2 25.69 55 9%",-0.95,51,15%,15.0,71.92,83,65%,65.0,30.11,80,5%,5.0,6.48,73,"0,5%",0.5,0.16,71,24%,24.0,25.69,55,9%,9.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,KAPM 10287,11/19,PHD KA,G,REM 6447,27,"KAPM 10287 11/19 PHD KA G REM 6447 -1.08 48 7% 78.25 74 38% 38.73 82 0,5% 6.44 70 0,5% 0.27 70 17% 150 3 33.76 48 2%",-1.08,48,7%,7.0,78.25,74,38%,38.0,38.73,82,"0,5%",0.5,6.44,70,"0,5%",0.5,0.27,70,17%,17.0,33.76,48,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,ANP 167,08/20,BOEING FIV,G,FPO 2683,27,"ANP 167 08/20 BOEING FIV G FPO 2683 -1.18 44 4% 91.15 84 2% 33.26 75 3% 6.32 78 0,5% 0.10 77 34% 105 8 33.82 49 2%",-1.18,44,4%,4.0,91.15,84,2%,2.0,33.26,75,3%,3.0,6.32,78,"0,5%",0.5,0.1,77,34%,34.0,33.82,49,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,ANP 1081,10/21,CORINGA DA ANP,G,REMP 816,27,"ANP 1081 10/21 CORINGA DA ANP G REMP 816 -0.74 40 34% 84.31 74 13% 35.48 70 2% 6.32 67 0,5% 1.24 65 0,5% 182 17 31.11 45 3%",-0.74,40,34%,34.0,84.31,74,13%,13.0,35.48,70,2%,2.0,6.32,67,"0,5%",0.5,1.24,65,"0,5%",0.5,31.11,45,3%,3.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REM 11627,10/20,REM JAMANTA GEN. ADT,G,REM A1576,27,"REM 11627 10/20 REM JAMANTA GEN. ADT G REM A1576 -1.43 39 0,5% 91.60 85 2% 43.69 88 0,1% 6.30 84 0,5% 0.76 82 4% 286 23 36.24 42 0,1%",-1.43,39,"0,5%",0.5,91.6,85,2%,2.0,43.69,88,"0,1%",0.1,6.3,84,"0,5%",0.5,0.76,82,4%,4.0,36.24,42,"0,1%",0.1,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,GRI B9334,08/19,CAMAROTE DA S.NICE,G,GRI B2887,27,"GRI B9334 08/19 CAMAROTE DA S.NICE G GRI B2887 -1.63 51 0,1% 88.95 87 4% 28.07 89 7% 6.23 86 0,5% 0.54 84 8% 292 21 28.10 50 6%",-1.63,51,"0,1%",0.1,88.95,87,4%,4.0,28.07,89,7%,7.0,6.23,86,"0,5%",0.5,0.54,84,8%,8.0,28.1,50,6%,6.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,EPCF 3615,08/19,QATAR FIV DA TERRA BR,G,EPCF 992,27,"EPCF 3615 08/19 QATAR FIV DA TERRA BR G EPCF 992 -1.46 36 0,5% 87.25 85 6% 28.31 75 7% 6.22 78 0,5% 0.16 78 24% 102 5 28.17 43 6%",-1.46,36,"0,5%",0.5,87.25,85,6%,6.0,28.31,75,7%,7.0,6.22,78,"0,5%",0.5,0.16,78,24%,24.0,28.17,43,6%,6.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,REMP 1486,09/21,REM LIVERPOOL FIV GEN,G,REM A2239,27,"REMP 1486 09/21 REM LIVERPOOL FIV GEN G REM A2239 -1.08 41 7% 93.05 71 1% 35.94 74 2% 6.18 64 0,5% 0.51 64 9% 145 18 33.28 47 2%",-1.08,41,7%,7.0,93.05,71,1%,1.0,35.94,74,2%,2.0,6.18,64,"0,5%",0.5,0.51,64,9%,9.0,33.28,47,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
Nelore,XRGM 4111,08/19,IDEALIZADOR FIV DA XA,G,REMC 8053,27,XRGM 4111 08/19 IDEALIZADOR FIV DA XA G REMC 8053 -1.32 48 2% 90.57 85 2% 37.34 78 1% 6.16 79 1% 0.41 76 12% 85 14 33.62 50 2%,-1.32,48,2%,2.0,90.57,85,2%,2.0,37.34,78,1%,1.0,6.16,79,1%,1.0,0.41,76,12%,12.0,33.62,50,2%,2.0,"IPP,3P,P450,AOL,ACAB,MGTe"
