breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Guzerá,CPTL 961,10/13,CADUCEU DA CAPITAL,,IVAG 1700,41,"CPTL 961 10/13 CADUCEU DA CAPITAL IVAG 1700 -0.56 8 5% 0.49 11 46% 70.98 22 12% 26.05 15 0,5% 3.21 41 2% 8 2 34.60 8 0,5%",-0.56,8,5%,5.0,0.49,11,46%,46.0,70.98,22,12%,12.0,26.05,15,"0,5%",0.5,3.21,41,2%,2.0,34.6,8,"0,5%",0.5,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,SIS 560,06/15,SOBERANO SIS,,SULA 1300,41,"SIS 560 06/15 SOBERANO SIS SULA 1300 0.40 7 98% 3.66 13 0,5% 74.46 8 5% 11.29 36 14% 3.15 47 2% 23 2 29.57 7 2%",0.4,7,98%,98.0,3.66,13,"0,5%",0.5,74.46,8,5%,5.0,11.29,36,14%,14.0,3.15,47,2%,2.0,29.57,7,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,HQB 5472,11/14,MARCA SOL ROMANUS,,HQB 1687,41,HQB 5472 11/14 MARCA SOL ROMANUS HQB 1687 -0.16 12 31% 2.98 15 1% 71.96 17 9% 11.95 14 12% 3.14 55 2% 24 2 27.98 12 3%,-0.16,12,31%,31.0,2.98,15,1%,1.0,71.96,17,9%,9.0,11.95,14,12%,12.0,3.14,55,2%,2.0,27.98,12,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,CNS 7293,06/07,BEIJIM S,,CNS 6145,41,"CNS 7293 06/07 BEIJIM S CNS 6145 -0.22 9 26% 2.34 15 3% 64.23 20 45% 28.21 25 0,1% 3.12 52 2% 17 5 32.97 9 0,5%",-0.22,9,26%,26.0,2.34,15,3%,3.0,64.23,20,45%,45.0,28.21,25,"0,1%",0.1,3.12,52,2%,2.0,32.97,9,"0,5%",0.5,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,GCIK 29,06/14,OREGON DC TE,G,TABO 636,41,GCIK 29 06/14 OREGON DC TE G TABO 636 -0.09 37 40% -0.61 50 98% 69.77 50 16% 10.14 39 17% 3.11 60 2% 38 1 22.06 37 14%,-0.09,37,40%,40.0,-0.61,50,98%,98.0,69.77,50,16%,16.0,10.14,39,17%,17.0,3.11,60,2%,2.0,22.06,37,14%,14.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,HQB 6967,09/17,MARCA SOL VESTIBULAR,,HQB 3351,41,"HQB 6967 09/17 MARCA SOL VESTIBULAR HQB 3351 -0.34 9 16% 2.78 12 1% 75.75 14 3% 15.51 9 5% 3.08 49 2% 9 2 31.89 9 0,5%",-0.34,9,16%,16.0,2.78,12,1%,1.0,75.75,14,3%,3.0,15.51,9,5%,5.0,3.08,49,2%,2.0,31.89,9,"0,5%",0.5,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,IZSZ A742,09/09,IBERIO DO IZ,,IZSZ A521,41,IZSZ A742 09/09 IBERIO DO IZ IZSZ A521 -0.45 16 9% 1.49 15 14% 62.48 22 66% 6.54 14 31% 3.07 67 2% 58 4 24.36 14 8%,-0.45,16,9%,9.0,1.49,15,14%,14.0,62.48,22,66%,66.0,6.54,14,31%,31.0,3.07,67,2%,2.0,24.36,14,8%,8.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,CNS 9791,10/15,TENOR S,,CNS 7293,41,"CNS 9791 10/15 TENOR S CNS 7293 -0.30 5 19% 3.41 16 0,5% 74.79 8 4% 21.23 36 1% 3.07 38 2% 6 3 31.72 5 1%",-0.3,5,19%,19.0,3.41,16,"0,5%",0.5,74.79,8,4%,4.0,21.23,36,1%,1.0,3.07,38,2%,2.0,31.72,5,1%,1.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,HQB 6465,10/16,MARCA SOL TRICAMPEAO,,HQB 2904,41,HQB 6465 10/16 MARCA SOL TRICAMPEAO HQB 2904 -0.35 14 16% 2.22 16 3% 77.58 15 2% 3.51 2 53% 3.05 62 2% 41 3 29.62 2 2%,-0.35,14,16%,16.0,2.22,16,3%,3.0,77.58,15,2%,2.0,3.51,2,53%,53.0,3.05,62,2%,2.0,29.62,2,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITG 2920,09/07,SUECO IT,,MVB 20,41,"ITG 2920 09/07 SUECO IT MVB 20 -0.27 24 21% 3.64 26 0,5% 76.99 35 2% 28.54 62 0,1% 3.03 66 3% 69 4 36.69 24 0,1%",-0.27,24,21%,21.0,3.64,26,"0,5%",0.5,76.99,35,2%,2.0,28.54,62,"0,1%",0.1,3.03,66,3%,3.0,36.69,24,"0,1%",0.1,"IPP,MP120,STAY,P450,PE365,MGTe"
