breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,3Pdep,3Pac,3Ptop,3Ptop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,AOLdep,AOLac,AOLtop,AOLtop_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Nelore,SINO 2878,10/21,HERON SINO,G,RDM A2162,12,"SINO 2878 10/21 HERON SINO G RDM A2162 95.64 73 0,1% 7.95 41 0,1% 97.58 66 2% 39.16 82 0,5% 2.48 79 0,1% 4.15 65 6% 40.36 41 0,1%",95.64,73,"0,1%",0.1,7.95,41,"0,1%",0.1,97.58,66,2%,2.0,39.16,82,"0,5%",0.5,2.48,79,"0,1%",0.1,4.15,65,6%,6.0,40.36,41,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,LCCF 1153,08/21,GRAN RESERVA DA ARZ,G,REMP 816,12,"LCCF 1153 08/21 GRAN RESERVA DA ARZ G REMP 816 90.87 74 2% 8.79 41 0,1% 96.70 67 2% 40.71 70 0,5% 2.50 73 0,1% 4.62 63 4% 40.25 41 0,1%",90.87,74,2%,2.0,8.79,41,"0,1%",0.1,96.7,67,2%,2.0,40.71,70,"0,5%",0.5,2.5,73,"0,1%",0.1,4.62,63,4%,4.0,40.25,41,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,SINO 3015,03/22,IRMAO SINO,G,SINO 1730,12,"SINO 3015 03/22 IRMAO SINO G SINO 1730 81.60 72 23% 5.33 45 2% 84.23 68 10% 49.90 69 0,1% 1.25 59 9% 7.55 64 0,1% 38.98 45 0,1%",81.6,72,23%,23.0,5.33,45,2%,2.0,84.23,68,10%,10.0,49.9,69,"0,1%",0.1,1.25,59,9%,9.0,7.55,64,"0,1%",0.1,38.98,45,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,LCCF 910,09/20,FOSTER DA ARZ,G,REM A1811,12,"LCCF 910 09/20 FOSTER DA ARZ G REM A1811 90.69 86 2% 6.05 45 1% 95.53 84 2% 35.32 71 2% 1.78 63 3% 6.51 81 0,5% 38.44 45 0,1%",90.69,86,2%,2.0,6.05,45,1%,1.0,95.53,84,2%,2.0,35.32,71,2%,2.0,1.78,63,3%,3.0,6.51,81,"0,5%",0.5,38.44,45,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,RGM 7765,11/21,OURO BRANCO FIV RG,G,GRI B6777,12,"RGM 7765 11/21 OURO BRANCO FIV RG G GRI B6777 80.44 71 28% 9.67 42 0,1% 90.22 69 5% 38.95 63 0,5% 1.28 57 9% 4.72 70 4% 38.22 42 0,1%",80.44,71,28%,28.0,9.67,42,"0,1%",0.1,90.22,69,5%,5.0,38.95,63,"0,5%",0.5,1.28,57,9%,9.0,4.72,70,4%,4.0,38.22,42,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FANO 3542,02/21,EPITACIO DA AGRONOVA,G,ACNP 3146,12,"FANO 3542 02/21 EPITACIO DA AGRONOVA G ACNP 3146 79.96 73 30% 3.66 49 9% 97.39 67 2% 45.29 71 0,1% 1.89 63 2% 7.01 71 0,1% 38.08 49 0,1%",79.96,73,30%,30.0,3.66,49,9%,9.0,97.39,67,2%,2.0,45.29,71,"0,1%",0.1,1.89,63,2%,2.0,7.01,71,"0,1%",0.1,38.08,49,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,MCPJ 6525,06/21,6525C FIV JMP,G,REM 10447,12,"MCPJ 6525 06/21 6525C FIV JMP G REM 10447 85.24 74 10% 7.78 43 0,1% 89.06 70 5% 45.32 81 0,1% 1.61 76 4% 2.53 63 18% 37.84 43 0,1%",85.24,74,10%,10.0,7.78,43,"0,1%",0.1,89.06,70,5%,5.0,45.32,81,"0,1%",0.1,1.61,76,4%,4.0,2.53,63,18%,18.0,37.84,43,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,RDM A4814,10/20,FALCAO MAT.,G,SINO 1647,12,"RDM A4814 10/20 FALCAO MAT. G SINO 1647 91.76 75 2% 4.17 42 6% 94.12 68 3% 47.17 68 0,1% 2.54 58 0,1% 5.32 69 2% 37.84 42 0,1%",91.76,75,2%,2.0,4.17,42,6%,6.0,94.12,68,3%,3.0,47.17,68,"0,1%",0.1,2.54,58,"0,1%",0.1,5.32,69,2%,2.0,37.84,42,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,FANO 2995,09/20,ESTUDANTE DA AGRONOVA,G,FANO 1509,12,"FANO 2995 09/20 ESTUDANTE DA AGRONOVA G FANO 1509 84.97 74 11% 3.33 47 12% 96.84 68 2% 45.27 81 0,1% 1.83 80 2% 5.69 72 1% 37.68 47 0,1%",84.97,74,11%,11.0,3.33,47,12%,12.0,96.84,68,2%,2.0,45.27,81,"0,1%",0.1,1.83,80,2%,2.0,5.69,72,1%,1.0,37.68,47,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
Nelore,IPB 7475,02/22,7475 DA IPB,G,REM 10447,12,"IPB 7475 02/22 7475 DA IPB G REM 10447 90.33 72 2% 4.30 48 5% 99.03 67 1% 40.62 71 0,5% 1.52 62 5% 4.98 64 3% 37.41 48 0,1%",90.33,72,2%,2.0,4.3,48,5%,5.0,99.03,67,1%,1.0,40.62,71,"0,5%",0.5,1.52,62,5%,5.0,4.98,64,3%,3.0,37.41,48,"0,1%",0.1,"3P,MP120,STAY,P450,PE365,AOL,MGTe"
