breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Guzerá,MGZ019040,02/18,ASP CABAL TE,G,CNS 7696,37,"MGZ019040 02/18 ASP CABAL TE G CNS 7696 -0.69 44 2% 1.36 43 17% 69.34 41 18% 22.46 46 0,5% 1.98 66 20% 106 2 32.15 39 0,5%",-0.69,44,2%,2.0,1.36,43,17%,17.0,69.34,41,18%,18.0,22.46,46,"0,5%",0.5,1.98,66,20%,20.0,32.15,39,"0,5%",0.5,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF A471,11/09,GRAFICO FIV NF,G,MVB 20,37,FNF A471 11/09 GRAFICO FIV NF G MVB 20 -0.08 31 42% 2.79 47 1% 77.03 48 2% 16.70 47 3% 2.45 78 9% 209 1 29.98 31 2%,-0.08,31,42%,42.0,2.79,47,1%,1.0,77.03,48,2%,2.0,16.7,47,3%,3.0,2.45,78,9%,9.0,29.98,31,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITVT 1064,11/16,GUZERA IT 1064,G,RPOG 171,37,"ITVT 1064 11/16 GUZERA IT 1064 G RPOG 171 -0.75 44 2% 3.76 42 0,1% 67.01 43 26% 20.20 45 1% 1.46 54 39% 26 1 29.01 42 2%",-0.75,44,2%,2.0,3.76,42,"0,1%",0.1,67.01,43,26%,26.0,20.2,45,1%,1.0,1.46,54,39%,39.0,29.01,42,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,CNS 7222,09/06,ANJO S,G,CNS 5827,37,CNS 7222 09/06 ANJO S G CNS 5827 -0.16 38 31% 0.95 46 29% 66.25 59 29% 13.27 54 9% 2.86 80 4% 253 15 27.80 38 3%,-0.16,38,31%,31.0,0.95,46,29%,29.0,66.25,59,29%,29.0,13.27,54,9%,9.0,2.86,80,4%,4.0,27.8,38,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ICIL 867,08/16,QUARTEL FIV DA ICIL,G,NESZ 776,37,ICIL 867 08/16 QUARTEL FIV DA ICIL G NESZ 776 -0.10 37 39% 1.26 42 20% 70.73 40 13% 17.41 48 3% 2.37 56 11% 60 5 27.69 37 3%,-0.1,37,39%,39.0,1.26,42,20%,20.0,70.73,40,13%,13.0,17.41,48,3%,3.0,2.37,56,11%,11.0,27.69,37,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF A753,03/10,HAMAL NF,G,TABO 866,37,FNF A753 03/10 HAMAL NF G TABO 866 -0.57 45 5% 2.57 39 2% 74.09 38 5% 4.09 39 49% 2.81 60 4% 56 1 27.15 38 4%,-0.57,45,5%,5.0,2.57,39,2%,2.0,74.09,38,5%,5.0,4.09,39,49%,49.0,2.81,60,4%,4.0,27.15,38,4%,4.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF 9490,10/07,ENXOVAL FIV NF,G,HQB 258,37,"FNF 9490 10/07 ENXOVAL FIV NF G HQB 258 0.18 35 85% 1.26 42 20% 80.76 41 0,5% 16.21 39 4% 1.58 72 35% 114 2 26.37 35 5%",0.18,35,85%,85.0,1.26,42,20%,20.0,80.76,41,"0,5%",0.5,16.21,39,4%,4.0,1.58,72,35%,35.0,26.37,35,5%,5.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,OJA 134,08/10,IOIO OJ,G,ROES 84,37,"OJA 134 08/10 IOIO OJ G ROES 84 -0.93 41 0,5% -2.27 39 100% 79.11 53 1% 4.52 66 47% 2.69 87 5% 441 13 25.67 39 6%",-0.93,41,"0,5%",0.5,-2.27,39,100%,100.0,79.11,53,1%,1.0,4.52,66,47%,47.0,2.69,87,5%,5.0,25.67,39,6%,6.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,HEMC 358,05/13,FOCUS DA HE,G,RPOG 94,37,HEMC 358 05/13 FOCUS DA HE G RPOG 94 -0.23 38 25% -0.48 50 97% 66.15 45 30% 14.27 52 7% 2.38 79 10% 225 4 24.90 38 7%,-0.23,38,25%,25.0,-0.48,50,97%,97.0,66.15,45,30%,30.0,14.27,52,7%,7.0,2.38,79,10%,10.0,24.9,38,7%,7.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,MGZ017958,09/17,ASP BOHIO TE,G,CNS 7696,37,"MGZ017958 09/17 ASP BOHIO TE G CNS 7696 -0.97 43 0,5% 0.83 44 32% 72.43 44 8% 14.45 40 6% 1.51 42 37% 42 1 24.86 40 7%",-0.97,43,"0,5%",0.5,0.83,44,32%,32.0,72.43,44,8%,8.0,14.45,40,6%,6.0,1.51,42,37%,37.0,24.86,40,7%,7.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,HQB 6864,08/17,MARCA SOL VULCANO,G,CNS 6391,37,HQB 6864 08/17 MARCA SOL VULCANO G CNS 6391 -0.44 40 10% 2.48 41 2% 79.23 49 1% 6.58 45 31% 2.77 66 4% 62 3 24.54 40 8%,-0.44,40,10%,10.0,2.48,41,2%,2.0,79.23,49,1%,1.0,6.58,45,31%,31.0,2.77,66,4%,4.0,24.54,40,8%,8.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITVT 1498,08/19,GUZERA IT 1498,G,ITVT 233,37,ITVT 1498 08/19 GUZERA IT 1498 G ITVT 233 -0.80 45 1% 2.44 50 2% 77.02 52 2% 17.10 40 3% 0.47 68 79% 62 1 24.39 40 8%,-0.8,45,1%,1.0,2.44,50,2%,2.0,77.02,52,2%,2.0,17.1,40,3%,3.0,0.47,68,79%,79.0,24.39,40,8%,8.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITVT 1404,09/18,GUZERA IT 1404,G,HEMC 358,37,ITVT 1404 09/18 GUZERA IT 1404 G HEMC 358 0.18 33 85% 2.32 44 3% 77.82 48 2% 13.06 47 9% 0.77 67 61% 73 1 22.14 33 14%,0.18,33,85%,85.0,2.32,44,3%,3.0,77.82,48,2%,2.0,13.06,47,9%,9.0,0.77,67,61%,61.0,22.14,33,14%,14.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,GCIK 29,06/14,OREGON DC TE,G,TABO 636,37,GCIK 29 06/14 OREGON DC TE G TABO 636 -0.09 37 40% -0.61 50 98% 69.77 50 16% 10.14 39 17% 3.11 60 2% 55 1 22.06 37 14%,-0.09,37,40%,40.0,-0.61,50,98%,98.0,69.77,50,16%,16.0,10.14,39,17%,17.0,3.11,60,2%,2.0,22.06,37,14%,14.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITVT 233,05/13,MESTRE TE ITAT,G,CNS 4995,37,ITVT 233 05/13 MESTRE TE ITAT G CNS 4995 -0.26 40 22% 2.12 40 4% 75.67 47 4% 1.42 52 68% 2.43 79 9% 242 3 21.37 40 16%,-0.26,40,22%,22.0,2.12,40,4%,4.0,75.67,47,4%,4.0,1.42,52,68%,68.0,2.43,79,9%,9.0,21.37,40,16%,16.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,ITG 3164,04/10,ACIDO TE IT,G,NESZ 2,37,ITG 3164 04/10 ACIDO TE IT G NESZ 2 -0.16 45 31% -0.11 49 84% 67.87 43 23% 16.23 50 4% 1.82 63 25% 61 3 21.07 43 17%,-0.16,45,31%,31.0,-0.11,49,84%,84.0,67.87,43,23%,23.0,16.23,50,4%,4.0,1.82,63,25%,25.0,21.07,43,17%,17.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,FNF A2547,05/14,MANSO FIV NF,G,CNS 4995,37,FNF A2547 05/14 MANSO FIV NF G CNS 4995 -0.07 45 43% 1.30 44 19% 68.99 40 19% 2.12 43 63% 2.14 58 16% 38 1 16.93 40 30%,-0.07,45,43%,43.0,1.3,44,19%,19.0,68.99,40,19%,19.0,2.12,43,63%,63.0,2.14,58,16%,16.0,16.93,40,30%,30.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Guzerá,LKW 1058,04/16,QUIMICO FIV BOA LEMBR,G,MAPZ 382,37,LKW 1058 04/16 QUIMICO FIV BOA LEMBR G MAPZ 382 0.27 45 93% -0.06 51 80% 70.72 51 13% 5.44 50 41% 2.80 57 4% 55 1 16.69 39 30%,0.27,45,93%,93.0,-0.06,51,80%,80.0,70.72,51,13%,13.0,5.44,50,41%,41.0,2.8,57,4%,4.0,16.69,39,30%,30.0,"IPP,MP120,STAY,P450,PE365,MGTe"
