breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,MP210dep,MP210ac,MP210top,MP210top_pct,PACdep,PACac,PACtop,PACtop_pct,P450dep,P450ac,P450top,P450top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Guzerá,ITG 2920,09/07,SUECO IT,,MVB 20,42,"ITG 2920 09/07 SUECO IT MVB 20 -0.27 24 21% 3.64 26 0,5% 4.41 19 0,5% 3.80 11 16% 28.54 62 0,1% 20 2 36.69 24 0,1%",-0.27,24,21%,21.0,3.64,26,"0,5%",0.5,4.41,19,"0,5%",0.5,3.8,11,16%,16.0,28.54,62,"0,1%",0.1,36.69,24,"0,1%",0.1,"IPP,MP120,MP210,PAC,P450,MGTe"
Guzerá,CNSJ 269,11/12,ESPIAO S,,IVAG 1058,42,"CNSJ 269 11/12 ESPIAO S IVAG 1058 -0.09 18 40% 2.95 22 1% 0.24 16 44% 5.39 10 7% 23.85 21 0,5% 81 5 31.24 10 1%",-0.09,18,40%,40.0,2.95,22,1%,1.0,0.24,16,44%,44.0,5.39,10,7%,7.0,23.85,21,"0,5%",0.5,31.24,10,1%,1.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Guzerá,FNF A471,11/09,GRAFICO FIV NF,G,MVB 20,42,FNF A471 11/09 GRAFICO FIV NF G MVB 20 -0.08 31 42% 2.79 47 1% 2.08 45 5% 3.95 39 15% 16.70 47 3% 187 1 29.98 31 2%,-0.08,31,42%,42.0,2.79,47,1%,1.0,2.08,45,5%,5.0,3.95,39,15%,15.0,16.7,47,3%,3.0,29.98,31,2%,2.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Guzerá,FNF A960,06/10,HIDRANTE FIV NF,G,A2687,42,FNF A960 06/10 HIDRANTE FIV NF G A2687 -0.34 34 16% 2.73 46 1% 0.32 52 41% 3.51 44 19% 1.79 42 65% 51 1 15.82 34 33%,-0.34,34,16%,16.0,2.73,46,1%,1.0,0.32,52,41%,41.0,3.51,44,19%,19.0,1.79,42,65%,65.0,15.82,34,33%,33.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Guzerá,FNF A753,03/10,HAMAL NF,G,TABO 866,42,FNF A753 03/10 HAMAL NF G TABO 866 -0.57 45 5% 2.57 39 2% 1.28 50 13% 6.16 43 5% 4.09 39 49% 33 1 27.15 38 4%,-0.57,45,5%,5.0,2.57,39,2%,2.0,1.28,50,13%,13.0,6.16,43,5%,5.0,4.09,39,49%,49.0,27.15,38,4%,4.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Guzerá,ITG 3295,09/11,BECO IT,,CNS 7222,42,"ITG 3295 09/11 BECO IT CNS 7222 -0.61 24 4% 2.46 26 2% 3.29 18 1% 7.56 15 2% 21.93 53 1% 24 1 32.18 24 0,5%",-0.61,24,4%,4.0,2.46,26,2%,2.0,3.29,18,1%,1.0,7.56,15,2%,2.0,21.93,53,1%,1.0,32.18,24,"0,5%",0.5,"IPP,MP120,MP210,PAC,P450,MGTe"
Guzerá,ITVT 1498,08/19,GUZERA IT 1498,G,ITVT 233,42,ITVT 1498 08/19 GUZERA IT 1498 G ITVT 233 -0.80 45 1% 2.44 50 2% -0.38 44 77% 5.65 41 6% 17.10 40 3% 14 1 24.39 40 8%,-0.8,45,1%,1.0,2.44,50,2%,2.0,-0.38,44,77%,77.0,5.65,41,6%,6.0,17.1,40,3%,3.0,24.39,40,8%,8.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Guzerá,ITVT 1404,09/18,GUZERA IT 1404,G,HEMC 358,42,ITVT 1404 09/18 GUZERA IT 1404 G HEMC 358 0.18 33 85% 2.32 44 3% 0.10 39 52% 5.10 38 8% 13.06 47 9% 21 1 22.14 33 14%,0.18,33,85%,85.0,2.32,44,3%,3.0,0.1,39,52%,52.0,5.1,38,8%,8.0,13.06,47,9%,9.0,22.14,33,14%,14.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Guzerá,ITVT 233,05/13,MESTRE TE ITAT,G,CNS 4995,42,ITVT 233 05/13 MESTRE TE ITAT G CNS 4995 -0.26 40 22% 2.12 40 4% -2.30 45 100% 4.85 33 9% 1.42 52 68% 52 1 21.37 40 16%,-0.26,40,22%,22.0,2.12,40,4%,4.0,-2.3,45,100%,100.0,4.85,33,9%,9.0,1.42,52,68%,68.0,21.37,40,16%,16.0,"IPP,MP120,MP210,PAC,P450,MGTe"
Guzerá,HQB 2904,05/09,MARCA SOL,,MAGNUM 5735,42,HQB 2904 05/09 MARCA SOL MAGNUM 5735 -0.68 32 3% 1.83 30 8% 2.19 23 4% 4.43 23 11% 15.10 15 5% 38 3 29.64 15 2%,-0.68,32,3%,3.0,1.83,30,8%,8.0,2.19,23,4%,4.0,4.43,23,11%,11.0,15.1,15,5%,5.0,29.64,15,2%,2.0,"IPP,MP120,MP210,PAC,P450,MGTe"
