breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,MP120dep,MP120ac,MP120top,MP120top_pct,P120dep,P120ac,P120top,P120top_pct,P210dep,P210ac,P210top,P210top_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Guzerá,CNSJ 269,11/12,ESPIAO S,,IVAG 1058,43,"CNSJ 269 11/12 ESPIAO S IVAG 1058 2.95 22 1% 4.70 37 2% 11.92 44 0,5% 23.85 21 0,5% 1.91 65 22% 156 8 31.24 10 1%",2.95,22,1%,1.0,4.7,37,2%,2.0,11.92,44,"0,5%",0.5,23.85,21,"0,5%",0.5,1.91,65,22%,22.0,31.24,10,1%,1.0,"MP120,P120,P210,P450,PE365,MGTe"
Guzerá,ICIL 867,08/16,QUARTEL FIV DA ICIL,G,NESZ 776,43,"ICIL 867 08/16 QUARTEL FIV DA ICIL G NESZ 776 1.26 42 20% 4.60 40 2% 11.63 48 0,5% 17.41 48 3% 2.37 56 11% 66 5 27.69 37 3%",1.26,42,20%,20.0,4.6,40,2%,2.0,11.63,48,"0,5%",0.5,17.41,48,3%,3.0,2.37,56,11%,11.0,27.69,37,3%,3.0,"MP120,P120,P210,P450,PE365,MGTe"
Guzerá,CNS 11422,10/20,FENOL S,G,CNS 9982,43,"CNS 11422 10/20 FENOL S G CNS 9982 1.82 41 8% 6.71 40 0,5% 10.34 46 0,5% 19.59 38 2% 1.55 46 36% 29 3 23.82 38 9%",1.82,41,8%,8.0,6.71,40,"0,5%",0.5,10.34,46,"0,5%",0.5,19.59,38,2%,2.0,1.55,46,36%,36.0,23.82,38,9%,9.0,"MP120,P120,P210,P450,PE365,MGTe"
Guzerá,MGZ017958,09/17,ASP BOHIO TE,G,CNS 7696,43,"MGZ017958 09/17 ASP BOHIO TE G CNS 7696 0.83 44 32% 3.46 39 5% 9.83 45 0,5% 14.45 40 6% 1.51 42 37% 64 1 24.86 40 7%",0.83,44,32%,32.0,3.46,39,5%,5.0,9.83,45,"0,5%",0.5,14.45,40,6%,6.0,1.51,42,37%,37.0,24.86,40,7%,7.0,"MP120,P120,P210,P450,PE365,MGTe"
Guzerá,ITVT 1064,11/16,GUZERA IT 1064,G,RPOG 171,43,"ITVT 1064 11/16 GUZERA IT 1064 G RPOG 171 3.76 42 0,1% 6.57 41 0,5% 9.49 49 0,5% 20.20 45 1% 1.46 54 39% 30 1 29.01 42 2%",3.76,42,"0,1%",0.1,6.57,41,"0,5%",0.5,9.49,49,"0,5%",0.5,20.2,45,1%,1.0,1.46,54,39%,39.0,29.01,42,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Guzerá,FNF A471,11/09,GRAFICO FIV NF,G,MVB 20,43,"FNF A471 11/09 GRAFICO FIV NF G MVB 20 2.79 47 1% 5.94 44 0,5% 9.26 46 1% 16.70 47 3% 2.45 78 9% 264 1 29.98 31 2%",2.79,47,1%,1.0,5.94,44,"0,5%",0.5,9.26,46,1%,1.0,16.7,47,3%,3.0,2.45,78,9%,9.0,29.98,31,2%,2.0,"MP120,P120,P210,P450,PE365,MGTe"
Guzerá,CNS 7222,09/06,ANJO S,G,CNS 5827,43,CNS 7222 09/06 ANJO S G CNS 5827 0.95 46 29% 5.36 48 1% 8.56 50 1% 13.27 54 9% 2.86 80 4% 320 16 27.80 38 3%,0.95,46,29%,29.0,5.36,48,1%,1.0,8.56,50,1%,1.0,13.27,54,9%,9.0,2.86,80,4%,4.0,27.8,38,3%,3.0,"MP120,P120,P210,P450,PE365,MGTe"
Guzerá,FNF 9490,10/07,ENXOVAL FIV NF,G,HQB 258,43,FNF 9490 10/07 ENXOVAL FIV NF G HQB 258 1.26 42 20% 2.61 48 12% 7.83 48 2% 16.21 39 4% 1.58 72 35% 160 2 26.37 35 5%,1.26,42,20%,20.0,2.61,48,12%,12.0,7.83,48,2%,2.0,16.21,39,4%,4.0,1.58,72,35%,35.0,26.37,35,5%,5.0,"MP120,P120,P210,P450,PE365,MGTe"
Guzerá,FNF A4774,12/20,TIROL NF,G,FNF A878,43,FNF A4774 12/20 TIROL NF G FNF A878 1.62 50 11% 4.82 44 1% 6.39 42 5% 7.58 44 27% 1.16 41 47% 43 1 16.40 41 31%,1.62,50,11%,11.0,4.82,44,1%,1.0,6.39,42,5%,5.0,7.58,44,27%,27.0,1.16,41,47%,47.0,16.4,41,31%,31.0,"MP120,P120,P210,P450,PE365,MGTe"
Guzerá,ITVT 1498,08/19,GUZERA IT 1498,G,ITVT 233,43,ITVT 1498 08/19 GUZERA IT 1498 G ITVT 233 2.44 50 2% 2.92 41 9% 5.76 47 7% 17.10 40 3% 0.47 68 79% 76 2 24.39 40 8%,2.44,50,2%,2.0,2.92,41,9%,9.0,5.76,47,7%,7.0,17.1,40,3%,3.0,0.47,68,79%,79.0,24.39,40,8%,8.0,"MP120,P120,P210,P450,PE365,MGTe"
