breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,IPPdep,IPPac,IPPtop,IPPtop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Tabapuã,PRTA 325,06/10,RAMBO FIV DA PRATA,G,NCG 1396,65,"PRTA 325 06/10 RAMBO FIV DA PRATA G NCG 1396 -1.26 34 0,1% 0.77 50 42% 65.06 42 12% 13.38 55 3% 0.27 70 16% 26 5 20.80 34 5%",-1.26,34,"0,1%",0.1,0.77,50,42%,42.0,65.06,42,12%,12.0,13.38,55,3%,3.0,0.27,70,16%,16.0,20.8,34,5%,5.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,NGT 124,11/07,BEETHOVEN DA NGT,G,FEP 1034,65,"NGT 124 11/07 BEETHOVEN DA NGT G FEP 1034 -1.17 34 0,1% 0.31 43 70% 77.34 42 0,5% 19.04 36 1% 0.09 43 32% 56 1 26.84 31 2%",-1.17,34,"0,1%",0.1,0.31,43,70%,70.0,77.34,42,"0,5%",0.5,19.04,36,1%,1.0,0.09,43,32%,32.0,26.84,31,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,TJG 1015,10/16,HASTIL TJG,G,PRTA 325,65,"TJG 1015 10/16 HASTIL TJG G PRTA 325 -0.98 32 0,5% 0.11 50 84% 67.03 47 9% 4.38 43 26% 0.54 40 9% 3 1 19.05 32 6%",-0.98,32,"0,5%",0.5,0.11,50,84%,84.0,67.03,47,9%,9.0,4.38,43,26%,26.0,0.54,40,9%,9.0,19.05,32,6%,6.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,TJG 1297,09/17,IGUAL TJG,,PRTA 325,65,"TJG 1297 09/17 IGUAL TJG PRTA 325 -0.90 20 0,5% -0.99 12 100% 69.96 10 5% 11.22 40 6% 0.22 24 20% 22 1 25.13 10 3%",-0.9,20,"0,5%",0.5,-0.99,12,100%,100.0,69.96,10,5%,5.0,11.22,40,6%,6.0,0.22,24,20%,20.0,25.13,10,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,NGT 507,01/09,DOBRADO FIV DA NGT,G,FEP 1034,65,"NGT 507 01/09 DOBRADO FIV DA NGT G FEP 1034 -0.81 43 1% 1.73 32 14% 81.82 43 0,1% 7.16 44 16% -0.28 35 86% 31 2 21.59 32 4%",-0.81,43,1%,1.0,1.73,32,14%,14.0,81.82,43,"0,1%",0.1,7.16,44,16%,16.0,-0.28,35,86%,86.0,21.59,32,4%,4.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,OEJ 102,01/11,SANCAO,,ALN 628,65,OEJ 102 01/11 SANCAO ALN 628 -0.50 23 4% 3.14 26 1% 70.37 20 4% 11.71 18 5% 0.52 65 9% 33 3 17.81 18 8%,-0.5,23,4%,4.0,3.14,26,1%,1.0,70.37,20,4%,4.0,11.71,18,5%,5.0,0.52,65,9%,9.0,17.81,18,8%,8.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,RNF 2523,04/12,TOTEM FIV RF 4 IRMAS,G,RNF 1769,65,"RNF 2523 04/12 TOTEM FIV RF 4 IRMAS G RNF 1769 -0.49 37 4% -0.12 50 93% 75.42 48 1% 20.20 48 0,5% 0.88 45 6% 5 1 27.95 37 2%",-0.49,37,4%,4.0,-0.12,50,93%,93.0,75.42,48,1%,1.0,20.2,48,"0,5%",0.5,0.88,45,6%,6.0,27.95,37,2%,2.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,GEGO 1111,08/12,NATUR FIV DOGOIAS,G,FEP 1034,65,GEGO 1111 08/12 NATUR FIV DOGOIAS G FEP 1034 -0.46 47 5% 2.02 46 8% 69.95 35 5% 12.35 41 5% 0.51 45 9% 6 3 23.53 31 3%,-0.46,47,5%,5.0,2.02,46,8%,8.0,69.95,35,5%,5.0,12.35,41,5%,5.0,0.51,45,9%,9.0,23.53,31,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,TROA 2561,08/15,BALANCETE TRO,,TABA R2816,65,TROA 2561 08/15 BALANCETE TRO TABA R2816 -0.42 20 6% 1.62 17 17% 74.99 16 1% 7.75 51 14% 0.94 49 5% 17 3 23.70 16 3%,-0.42,20,6%,6.0,1.62,17,17%,17.0,74.99,16,1%,1.0,7.75,51,14%,14.0,0.94,49,5%,5.0,23.7,16,3%,3.0,"IPP,MP120,STAY,P450,PE365,MGTe"
Tabapuã,ALD 2105,01/14,VERISSIMO DO COCA,G,ALD 1119,65,ALD 2105 01/14 VERISSIMO DO COCA G ALD 1119 -0.40 38 7% -0.39 50 97% 65.93 45 10% 6.81 44 17% -0.53 41 100% 5 1 12.98 38 16%,-0.4,38,7%,7.0,-0.39,50,97%,97.0,65.93,45,10%,10.0,6.81,44,17%,17.0,-0.53,41,100%,100.0,12.98,38,16%,16.0,"IPP,MP120,STAY,P450,PE365,MGTe"
