breed,animal_id,birth_month_year,animal_name,sex,sire,source_pages,source_page_count,3Pac,3Pdep,3Ptop_pct,ACABac,ACABdep,ACABtop_pct,AOLac,AOLdep,AOLtop_pct,CARac,CARdep,CARtop_pct,IMSac,IMSdep,IMStop_pct,IPPac,IPPdep,IPPtop_pct,MARac,MARdep,MARtop_pct,MGTe_COac,MGTe_COdep,MGTe_COtop_pct,MGTe_CRac,MGTe_CRdep,MGTe_CRtop_pct,MGTe_F1ac,MGTe_F1dep,MGTe_F1top_pct,MGTe_REac,MGTe_REdep,MGTe_REtop_pct,MGTeac,MGTedep,MGTetop_pct,MP120ac,MP120dep,MP120top_pct,MP210ac,MP210dep,MP210top_pct,P120ac,P120dep,P120top_pct,P210ac,P210dep,P210top_pct,P365ac,P365dep,P365top_pct,P450ac,P450dep,P450top_pct,PACac,PACdep,PACtop_pct,PE365ac,PE365dep,PE365top_pct,STAYac,STAYdep,STAYtop_pct
Nelore,FANO 2491,11/19,DOUSE DA AGRONOVA,G,REMC A331,"12,18,19,20,27",5,84,90.94,2,77,0.53,8,80,7.98,0.1,69,-0.15,1,,,,45,-1.3,2,77,0.13,5,69,35.81,0.1,51,32.32,2,69,32.34,0.5,77,42.09,0.5,51,35.29,0.5,51,3.02,15,,,,,,,,,,,,,79,30.76,4,,,,68,0.85,19,81,98.3,2
Nelore,FGP A1248,09/20,GIBSON FIV GUADALUPE,G,REM A1811,"12,20,24,27",4,85,86.11,8,73,0.42,11,75,7.34,0.1,,,,,,,45,-1.21,3,,,,52,30.26,1,50,32.31,2,52,27.4,2,73,41.33,0.5,50,34.96,1,50,7.28,0.1,50,9.75,0.1,,,,,,,,,,77,33.02,3,53,14.42,0.1,66,1.46,6,83,89.74,5
Nelore,REMP 1611,10/21,REM1611L FIV GENETICA,G,REMP 816,"12,17,20",3,59,90.56,2,63,1.54,0.1,64,5.79,1,,,,,,,,,,,,,46,33.26,0.1,46,31.18,3,46,35.17,0.1,63,43.8,0.1,46,34.96,1,46,3.06,14,,,,,,,,,,,,,70,37.4,1,,,,59,1.85,2,50,98.04,2
Nelore,EPCF 4353,08/20,ROLEX FIV DA TERRA BR,G,REM A1811,"12,17,18,19,20,26,27",7,85,85.51,10,88,1.13,1,91,7.47,0.1,45,-0.09,11,,,,45,-0.9,19,90,0.22,1,45,39.34,0.1,49,29.62,4,45,38.79,0.1,88,46.75,0.1,49,34.75,1,49,5.41,2,,,,93,8.86,7,92,15.94,6,,,,89,37.22,1,,,,85,1,15,83,88.05,6
Nelore,EAO B8522,11/21,EMBLEMA FIV DA EAO,G,REM A7,"12,16,20,23,29",5,73,95.41,0.1,67,0.69,5,68,3.76,8,,,,,,,46,-1.52,0.1,64,0.27,0.1,49,23.01,5,51,36.54,0.1,49,24.35,3,67,30.62,6,51,34.73,1,51,6.03,1,51,9.44,0.5,,,,71,18.42,3,,,,71,29.73,5,,,,64,2.03,1,69,98.65,1
Nelore,EPCF 5140,08/21,5140 FIV DA TERRA BRA,G,REMP 602,"13,16",2,73,81.61,23,,,,63,3.69,9,,,,,,,,,,,,,,,,43,34.34,1,,,,,,,43,34.67,1,43,4.72,4,43,6.61,4,,,,58,22.09,0.5,,,,66,37.85,1,,,,57,2.54,0.1,69,94.79,3
Nelore,KPA 12,09/20,QUAZAR KA,G,RDM A99,"13,17,23,26,27",5,73,86.5,7,73,0.6,7,75,7.18,0.1,,,,,,,41,-0.69,39,,,,,,,,,,,,,73,44.82,0.1,43,34.65,1,43,4.16,6,,,,86,10.2,4,89,19.02,3,,,,85,38.44,1,,,,76,2,1,69,85.4,9
Nelore,FNAN 27,02/22,FNAN BENDITO,G,REMP 602,13,1,75,82.97,17,,,,64,6.52,0.5,,,,,,,,,,,,,,,,,,,,,,,,,48,34.61,1,48,5.33,2,,,,,,,,,,,,,70,28.4,6,,,,60,2.5,0.1,69,98.93,1
Nelore,FVCP 1762,07/21,SANSÃƒO FIV FVC,G,REMP 602,"13,16",2,74,87.1,6,,,,61,3.71,8,,,,,,,,,,,,,,,,44,35.98,0.5,,,,,,,44,34.59,1,44,7.11,0.1,43,10.82,0.1,,,,65,18.54,3,,,,66,34.09,2,,,,57,2.01,1,69,95.29,2
Nelore,MDLO 2230,08/21,I2230 DA MDLO,G,SINO 1730,"13,19,25,26,27",5,75,85.67,9,62,0.11,33,63,6.93,0.1,42,-0.19,0.1,,,,43,-1.27,2,58,0.05,24,42,31.74,0.5,,,,,,,,,,46,34.55,1,46,4.27,6,,,,66,16.45,0.1,71,22.72,0.5,,,,69,37.99,1,,,,58,1.44,6,68,83.85,10
Nelore,REMP 1749,12/21,REM LANCELOT FIV GEN.,G,REMP 816,"13,18",2,74,87.06,6,65,1.27,0.5,66,4.92,3,51,-0.021,54,,,,,,,64,0.12,7,,,,,,,51,31.74,0.5,,,,49,34.47,1,49,1.76,36,,,,,,,,,,,,,69,37.96,1,,,,63,2.6,0.1,69,99.15,0.1
Nelore,COL 28075,06/21,VIPUL FIV COL,G,COL 25550,"13,16",2,73,88.94,4,,,,67,3.09,13,,,,,,,,,,,,,,,,49,37.31,0.1,,,,,,,49,34.4,1,49,8.43,0.1,48,12.56,0.1,,,,67,16.65,5,,,,69,31.36,4,,,,63,1.7,3,68,98.54,2
Nelore,FNAN 23,11/21,FNAN AUSPICIOSO,G,LCCF 619,"13,25",2,74,90.74,2,,,,60,4.89,3,,,,,,,,,,,,,,,,,,,,,,,,,42,34.34,1,42,1.59,40,,,,61,13.97,0.1,61,25.49,0.1,,,,66,36.14,2,,,,55,1.65,4,68,97.92,2
Nelore,FANO 2978,09/20,EMBATE DA AGRONOVA,G,BONS 3108,"13,23,24",3,86,77.59,42,,,,92,5.49,2,,,,,,,55,-0.9,19,,,,,,,,,,,,,,,,51,34.25,1,51,6.16,1,50,7.92,2,,,,,,,,,,93,30.93,4,62,12.02,2,90,2.33,0.1,81,96.04,2
Nelore,REMC A3775,09/20,REM JUNCO GEN. ADT,G,REM A1936,"13,17",2,85,91.03,2,70,0.52,8,72,6.89,0.1,,,,,,,,,,,,,,,,,,,,,,70,43.73,0.1,50,34.18,2,50,1.01,61,,,,,,,,,,,,,78,38.44,1,,,,67,1.36,7,81,88.72,6
Nelore,MFBN 9026,10/21,TRIJAK FIV G.SALES,G,REM A1576,"13,17,19",3,51,90.4,2,63,0.55,8,64,8.47,0.1,43,-0.08,17,,,,,,,57,0.01,44,43,34.36,0.1,,,,,,,63,50.29,0.1,43,33.97,2,47,0.2,83,,,,,,,,,,,,,67,42.01,0.1,,,,59,1.68,4,43,88.84,6
Nelore,RDM A5295,06/21,GARFIELD MAT.,G,SINO 1730,"13,26",2,73,91.3,2,,,,70,4.49,4,,,,,,,,,,,,,,,,,,,,,,,,,50,33.94,2,50,4.88,3,,,,76,10.96,3,75,21.18,1,,,,72,38.63,0.5,,,,66,1.8,3,66,86.05,8
Nelore,ANP 167,08/20,BOEING FIV,G,FPO 2683,"13,27",2,84,91.15,2,77,0.1,34,78,6.32,0.5,,,,,,,44,-1.18,4,,,,,,,,,,,,,,,,49,33.82,2,49,2.68,19,,,,,,,,,,,,,75,33.26,3,,,,65,1.34,8,80,99.12,1
Nelore,RDM A3393,11/19,ELGIN MAT.,G,BONS 3108,13,1,85,99.06,0.1,,,,82,4.83,3,,,,,,,,,,,,,,,,,,,,,,,,,54,33.8,2,54,3.56,10,,,,,,,,,,,,,88,33.8,3,,,,79,0.94,16,82,97.6,2
Nelore,KAPM 10287,11/19,PHD KA,G,REM 6447,"13,25,26,27",4,74,78.25,38,70,0.27,17,70,6.44,0.5,,,,,,,48,-1.08,7,,,,,,,,,,,,,,,,48,33.76,2,48,2.95,15,,,,80,14.42,0.1,83,23.86,0.1,,,,82,38.73,0.5,,,,68,1.82,2,70,88.32,6
Nelore,IFG 10432,09/21,SILVERADO DO IF,G,HORA 3150,13,1,72,85.94,9,,,,64,3.65,9,,,,,,,,,,,,,,,,,,,,,,,,,48,33.7,2,48,5.78,2,,,,,,,,,,,,,69,36.78,1,,,,63,1.94,2,67,97.19,2
Nelore,XRGM 4111,08/19,IDEALIZADOR FIV DA XA,G,REMC 8053,"13,25,26,27",4,85,90.57,2,76,0.41,12,79,6.16,1,,,,,,,48,-1.32,2,,,,,,,,,,,,,,,,50,33.62,2,50,2.9,16,,,,73,12.09,2,75,23.96,0.1,,,,78,37.34,1,,,,69,1.66,4,83,80.6,15
Nelore,REM 12045,08/21,REM LEGACY GEN.ADT,G,REM A1576,"13,17,18,19,26,27",6,72,90.3,2,65,0.76,4,66,6.61,0.5,51,-0.109,5,,,,40,-1.46,0.5,43,0.07,17,43,33.58,0.1,,,,43,31.52,0.5,65,45.01,0.1,44,33.6,2,44,3.19,13,,,,74,11.82,2,76,21.04,1,,,,72,40.35,0.5,,,,60,1.45,6,66,78.32,19
Nelore,IPB 6732,09/19,ARMEIRO DA IPB,G,REMC 5326,13,1,87,84.29,13,,,,84,5.74,1,,,,,,,,,,,,,,,,,,,,,,,,,59,33.48,2,59,5.24,2,,,,,,,,,,,,,87,31.94,4,,,,79,1.7,3,82,98.49,2
